Vehicle ID,Fleet ID,Model Year,Initial Service Year,Data Collection Start,Data Collection End,Model Name,Manufacturer,Weight Class,Curb Weight,Capital Cost,Nominal Range,Nominal Efficiency,Peak Power,Peak Torque,Towing Capacity,Battery Chemistry,Rated Energy,Fuel Fired Heater?,Max Charge Rate,Charge Connector,Total Fleet Size,% Electrified,State,Region,Body Style,Sector,Vocation,Vehicle Platform,Fleet Type,Data Collection Method,Filename,Actual Filename
EV001,Fleet01,2016,2016,11/01/16,07/31/18,,Complete Coach Works,8,,600000,130,,130,,,Lithium-ion,308,FALSE,45,Meltric 100 Amp 3 Phase,Large,11,CA,West Coast,"(BNS) Bus, Non-School",(PTR) Passenger Transportation,(PTR) Transit Bus,(TRA) Transit Bus,(GLO) Government: Local,(VIR) Viriciti,vehicle.ev001.fleet01.2016.completecoachworks.8.308.45.ca.ptr.ptr.tra.vir.csv,
EV002,Fleet01,2017,2017,03/17/17,07/31/18,,Complete Coach Works,8,,600000,130,,130,,,Lithium-ion,308,FALSE,45,Meltric 100 Amp 3 Phase,Large,11,CA,West Coast,"(BNS) Bus, Non-School",(PTR) Passenger Transportation,(PTR) Transit Bus,(TRA) Transit Bus,(GLO) Government: Local,(VIR) Viriciti,vehicle.ev002.fleet01.2017.completecoachworks.8.308.45.ca.ptr.ptr.tra.vir.csv,
EV003,Fleet01,2017,2017,03/21/17,07/29/18,,Complete Coach Works,8,,600000,130,,130,,,Lithium-ion,308,FALSE,45,Meltric 100 Amp 3 Phase,Large,11,CA,West Coast,"(BNS) Bus, Non-School",(PTR) Passenger Transportation,(PTR) Transit Bus,(TRA) Transit Bus,(GLO) Government: Local,(VIR) Viriciti,vehicle.ev003.fleet01.2017.completecoachworks.8.308.45.ca.ptr.ptr.tra.vir.csv,
EV004,Fleet01,2017,2017,03/03/17,07/31/18,,Complete Coach Works,8,,600000,130,,130,,,Lithium-ion,308,FALSE,45,Meltric 100 Amp 3 Phase,Large,11,CA,West Coast,"(BNS) Bus, Non-School",(PTR) Passenger Transportation,(PTR) Transit Bus,(TRA) Transit Bus,(GLO) Government: Local,(VIR) Viriciti,vehicle.ev004.fleet01.2017.completecoachworks.8.308.45.ca.ptr.ptr.tra.vir.csv,
EV005,Fleet01,2017,2017,03/17/17,07/31/18,,Complete Coach Works,8,,600000,130,,130,,,Lithium-ion,308,FALSE,45,Meltric 100 Amp 3 Phase,Large,11,CA,West Coast,"(BNS) Bus, Non-School",(PTR) Passenger Transportation,(PTR) Transit Bus,(TRA) Transit Bus,(GLO) Government: Local,(VIR) Viriciti,vehicle.ev005.fleet01.2017.completecoachworks.8.308.45.ca.ptr.ptr.tra.vir.csv,
EV006,Fleet02,2018,2019,10/01/18,08/01/19,Bolt EV,Chevrolet,1,3563,36620,238,0.28,150,360,,Lithium-ion,60,FALSE,7,J1772,Small,100,CA,West Coast,(OTH) Other,(PTR) Passenger Transportation,(PSH) Shuttle,(LIG) Light-Duty Vehicle,(PRV) Private,(FLE) Fleet Karma,vehicle.ev006.fleet02.2018.chevrolet.1.60.7.ca.ptr.psh.lig.fle.csv,
EV007,Fleet02,2018,2019,10/01/18,08/01/19,Bolt EV,Chevrolet,1,3563,36620,238,0.28,150,360,,Lithium-ion,60,FALSE,7,J1772,Small,100,CA,West Coast,(OTH) Other,(PTR) Passenger Transportation,(PSH) Shuttle,(LIG) Light-Duty Vehicle,(PRV) Private,(FLE) Fleet Karma,vehicle.ev007.fleet02.2018.chevrolet.1.60.7.ca.ptr.psh.lig.fle.csv,
EV008,Fleet02,2018,2019,10/01/18,08/01/19,Bolt EV,Chevrolet,1,3563,36620,238,0.28,150,360,,Lithium-ion,60,FALSE,7,J1772,Small,100,CA,West Coast,(OTH) Other,(PTR) Passenger Transportation,(PSH) Shuttle,(LIG) Light-Duty Vehicle,(PRV) Private,(FLE) Fleet Karma,vehicle.ev008.fleet02.2018.chevrolet.1.60.7.ca.ptr.psh.lig.fle.csv,
EV009,Fleet02,2018,2019,10/01/18,08/01/19,Bolt EV,Chevrolet,1,3563,36620,238,0.28,150,360,,Lithium-ion,60,FALSE,7,J1772,Small,100,CA,West Coast,(OTH) Other,(PTR) Passenger Transportation,(PSH) Shuttle,(LIG) Light-Duty Vehicle,(PRV) Private,(FLE) Fleet Karma,vehicle.ev009.fleet02.2018.chevrolet.1.60.7.ca.ptr.psh.lig.fle.csv,
EV010,Fleet02,2018,2019,10/01/18,08/01/19,Bolt EV,Chevrolet,1,3563,36620,238,0.28,150,360,,Lithium-ion,60,FALSE,7,J1772,Small,100,CA,West Coast,(OTH) Other,(PTR) Passenger Transportation,(PSH) Shuttle,(LIG) Light-Duty Vehicle,(PRV) Private,(FLE) Fleet Karma,vehicle.ev010.fleet02.2018.chevrolet.1.60.7.ca.ptr.psh.lig.fle.csv,
EV011,Fleet02,2018,2019,10/01/18,08/01/19,Bolt EV,Chevrolet,1,3563,36620,238,0.28,150,360,,Lithium-ion,60,FALSE,7,J1772,Small,100,CA,West Coast,(OTH) Other,(PTR) Passenger Transportation,(PSH) Shuttle,(LIG) Light-Duty Vehicle,(PRV) Private,(FLE) Fleet Karma,vehicle.ev011.fleet02.2018.chevrolet.1.60.7.ca.ptr.psh.lig.fle.csv,
EV012,Fleet02,2018,2019,10/01/18,08/01/19,Bolt EV,Chevrolet,1,3563,36620,238,0.28,150,360,,Lithium-ion,60,FALSE,7,J1772,Small,100,CA,West Coast,(OTH) Other,(PTR) Passenger Transportation,(PSH) Shuttle,(LIG) Light-Duty Vehicle,(PRV) Private,(FLE) Fleet Karma,vehicle.ev012.fleet02.2018.chevrolet.1.60.7.ca.ptr.psh.lig.fle.csv,
