Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV005,3/17/17 4:00 AM,,0.3,2.378531111,0.060561111,2.439092222,,,5,1.85138,,,
EV005,3/19/17 4:00 AM,,NA,0.011439444,NA,NA,,,NA,NA,,,
EV005,3/21/17 4:00 AM,,59.3,2.663835556,3.305161389,5.968996945,,,44,138.60244,,,
EV005,3/27/17 4:00 AM,,23.8,2.418505,1.216602222,3.635107222,,,19,53.00777,,,
EV005,4/2/17 4:00 AM,,NA,0.003267778,NA,NA,,,NA,NA,,,
EV005,4/3/17 4:00 AM,,85.9,5.0598525,4.153505556,9.213358056,,,55,165.76341,,,
EV005,4/4/17 4:00 AM,,71.3,2.585389444,3.324532778,5.909922222,,,54,180.9599,,,
EV005,4/5/17 4:00 AM,,61.3,2.023503889,2.775557222,4.799061111,,,36,101.95443,,,
EV005,4/6/17 4:00 AM,,60.1,4.0201875,2.636098333,6.656285833,,,36,111.67662,,,
EV005,4/7/17 4:00 AM,,61.2,2.301962778,2.839750833,5.141713611,,,46,146.85739,,,
EV005,4/10/17 4:00 AM,,62.1,1.891481944,2.692022778,4.583504722,,,34,98.85769,,,
EV005,4/11/17 4:00 AM,,62.1,3.439565,2.771938056,6.211503056,,,55,156.89096,,,
EV005,4/13/17 4:00 AM,,53.6,2.593736389,2.337219722,4.930956111,,,38,90.66814,,,
EV005,4/18/17 4:00 AM,,NA,2.414813056,2.311745,4.726558056,,,34,91.2822,,,
EV005,4/24/17 4:00 AM,,77.7,2.807256111,3.386521389,6.1937775,,,69,186.89593,,,
EV005,4/26/17 4:00 AM,,52.2,1.861420278,2.335538889,4.196959167,,,39,102.64254,,,
EV005,4/30/17 4:00 AM,,NA,0.481070556,0.017357222,0.498427778,,,NA,0.33369,,,
EV005,5/1/17 4:00 AM,,71.5,2.771115278,3.301324444,6.072439722,,,61,166.5059,,,
EV005,5/3/17 4:00 AM,,NA,23.97009278,NA,NA,,,3,NA,,,
EV005,5/6/17 4:00 AM,,NA,17.31281556,0.047491389,17.36030695,,,5,0.604,,,
EV005,5/8/17 4:00 AM,,39,4.205728889,1.695915278,5.901644167,,,29,80.36688,,,
EV005,5/15/17 4:00 AM,,81.7,9.181959167,3.482512222,12.66447139,,,62,153.15917,,,
EV005,5/16/17 4:00 AM,,76.1,10.57693417,3.493549444,14.07048361,,,64,195.58868,,,
EV005,5/22/17 4:00 AM,,52.3,20.88402583,2.262027222,23.14605305,,,37,113.52704,,,
EV005,5/23/17 4:00 AM,,52.6,13.66509778,2.328198333,15.99329611,,,42,118.33116,,,
EV005,5/24/17 4:00 AM,,69.5,20.93825417,3.008191944,23.94644611,,,45,149.65345,,,
EV005,5/26/17 4:00 AM,,80.4,20.28321528,3.715719167,23.99893445,,,51,167.01742,,,
EV005,5/28/17 4:00 AM,,0.3,18.22574556,0.038067778,18.26381334,,,4,0.99636,,,
