Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time
EV007,3/19/19 3:09 PM,3/19/19 3:14 PM,0.35,0.014863388,0.072568306,0.087431694,50.2,50.2,0,0.34,69.8,7606.25,7606.25,17
EV007,3/19/19 1:52 PM,3/19/19 1:54 PM,0.17,0.021169399,0.019540984,0.040710383,37.6,37.6,0,0.21,69.8,7606.09,7606.09,52
EV007,3/19/19 9:29 AM,3/19/19 10:39 AM,55.41,0.046786885,1.122885246,1.169672131,62.7,37.6,25.1,13.25,53.6,7550.71,7605.39,4
EV007,3/18/19 7:30 PM,3/18/19 8:50 PM,54.79,0.133852459,1.204672131,1.33852459,87.5,63.5,24,13.73,73.4,7495.94,7549.38,10
EV007,3/18/19 2:38 PM,3/18/19 2:41 PM,0.24,0.008262295,0.031081967,0.039344262,87.8,87.8,0,0.28,75.2,7495.7,7495.7,21
EV007,3/18/19 9:27 AM,3/18/19 10:36 AM,55.26,0.034344262,1.110464481,1.144808743,72.9,49.4,23.5,12.96,53.6,7440.47,7495.15,3
EV007,3/15/19 7:29 PM,3/15/19 8:44 PM,54.76,0.075098361,1.176540984,1.251639344,100,72.5,27.5,15.71,64.4,7385.74,7440.42,6
EV007,3/15/19 3:02 PM,3/15/19 3:03 PM,0.13,0.003959016,0.014893443,0.018852459,100,100,0,0.06,68,7385.62,7385.62,21
EV007,3/15/19 9:29 AM,3/15/19 10:46 AM,55.27,0.063989071,1.21579235,1.279781421,100,73.7,26.3,14.23,46.4,7330.37,7385.06,5
EV007,3/14/19 11:09 PM,3/14/19 11:14 PM,2.23,0.008770492,0.078934426,0.087704918,100,100,0,0.54,53.6,7328.15,7329.39,10
EV007,3/14/19 9:23 PM,3/14/19 9:32 PM,2.56,0.045,0.105,0.15,62.7,62,0.7,0.72,59,7325.58,7328.06,30
EV007,3/14/19 7:36 PM,3/14/19 8:55 PM,54.77,0.065560109,1.245642077,1.311202186,87.5,62.7,24.8,14.05,59,7270.84,7325.52,5
EV007,3/14/19 3:40 PM,3/14/19 3:42 PM,0.18,0.008737705,0.024868852,0.033606557,87.5,87.5,0,0.27,66.2,7270.65,7270.65,26
EV007,3/14/19 9:29 AM,3/14/19 10:47 AM,55.29,0.039393443,1.273721311,1.313114754,72.2,47.1,25.1,13.8,42.8,7215.4,7270.08,3
EV007,3/13/19 7:29 PM,3/13/19 8:42 PM,54.74,0.048196721,1.156721311,1.204918033,100,72.5,27.5,15.62,57.2,7160.68,7214.12,4
EV007,3/13/19 6:29 PM,3/13/19 6:31 PM,0.04,0.00768306,0.013081967,0.020765027,0,0,0,0.13,71.6,,,37
EV007,3/13/19 3:21 PM,3/13/19 3:22 PM,0.19,0.003540984,0.018590164,0.022131148,100,100,0,0.19,64.4,7160.45,7160.45,16
EV007,3/13/19 9:16 AM,3/13/19 10:24 AM,55.26,0.02257377,1.106114754,1.128688525,84.3,60.8,23.5,13.53,42.8,7105.22,7159.9,2
EV007,3/13/19 12:35 AM,3/13/19 12:39 AM,0.75,0.015530055,0.038021858,0.053551913,85.1,85.1,0,0.26,57.2,7104.48,7104.48,29
EV007,3/12/19 9:55 PM,3/12/19 10:13 PM,3.59,0.102092896,0.198180328,0.300273224,86.7,85.5,1.2,0.89,57.2,7100.87,7103.36,34
EV007,3/12/19 8:52 PM,3/12/19 8:52 PM,0.01,0.006557377,0.006557377,0.013114754,0,0,0,0.01,59,,,50
EV007,3/12/19 7:35 PM,3/12/19 8:49 PM,53.44,0.111295082,1.12531694,1.236612022,59.6,32.9,26.7,14.48,62.6,7047.45,7099.64,9
EV007,3/12/19 5:29 PM,3/12/19 5:31 PM,0.17,0.007174863,0.020420765,0.027595628,39.2,39.2,0,0.16,64.4,7047.27,7047.27,26
EV007,3/12/19 9:27 AM,3/12/19 10:50 AM,60.12,0.041508197,1.342098361,1.383606557,68.2,39.2,29,15.24,44.6,6987.19,7046.84,3
EV007,3/11/19 7:33 PM,3/11/19 8:48 PM,54.78,0.063196721,1.200737705,1.263934426,100,68.6,31.4,17.88,50,6932.43,6987.12,5
EV007,3/11/19 3:04 PM,3/11/19 3:07 PM,0.17,0.007688525,0.028923497,0.036612022,100,100,0,0.27,59,6932.26,6932.26,21
EV007,3/11/19 9:37 AM,3/11/19 10:43 AM,55.26,0.033188525,1.073095628,1.106284153,100,74.9,25.1,13.92,44.6,6877.04,6931.72,3
EV007,3/11/19 12:25 AM,3/11/19 12:28 AM,0.75,0.007229508,0.032934426,0.040163934,100,100,0,0.46,48.2,6876.29,6876.29,18
EV007,3/10/19 7:38 PM,3/10/19 7:42 PM,0.76,0.017691257,0.05307377,0.070765027,64.7,64.3,0.4,0.43,59,6875.52,6875.52,25
EV007,3/9/19 8:27 PM,3/9/19 8:30 PM,1.05,0.009491803,0.043240437,0.05273224,66.3,65.5,0.8,0.49,50,6874.47,6874.47,18
EV007,3/9/19 8:13 PM,3/9/19 8:18 PM,0.96,0.018811475,0.050860656,0.069672131,66.7,66.3,0.4,0.57,51.8,6873.51,6873.51,27
EV007,3/9/19 7:47 PM,3/9/19 7:55 PM,2.68,0.017830601,0.119327869,0.13715847,69,67.1,1.9,1.11,53.6,6870.82,6873.31,13
EV007,3/9/19 6:21 PM,3/9/19 6:28 PM,1.88,0.031398907,0.08936612,0.120765027,70.2,69.4,0.8,0.85,57.2,6868.94,6870.18,26
EV007,3/8/19 7:27 PM,3/8/19 8:44 PM,54.79,0.064371585,1.223060109,1.287431694,100,70.2,29.8,16.95,48.2,6814.17,6868.85,5
EV007,3/8/19 3:31 PM,3/8/19 3:33 PM,0.17,0.006786885,0.022721311,0.029508197,100,100,0,0.24,59,6814,6814,23
EV007,3/8/19 9:31 AM,3/8/19 10:38 AM,55.27,0.022420765,1.098617486,1.121038251,97.3,72.5,24.8,13.53,41,6758.76,6813.44,2
EV007,3/7/19 6:44 PM,3/7/19 6:51 PM,2.12,0.029803279,0.080579235,0.110382514,98.8,98,0.8,0.76,55.4,6756.64,6757.89,27
EV007,3/7/19 6:30 PM,3/7/19 6:37 PM,2.11,0.030333333,0.086333333,0.116666667,99.6,99.2,0.4,0.42,59,6754.53,6755.77,26
EV007,3/7/19 9:33 AM,3/7/19 9:35 AM,0,0.022131148,0,0.022131148,99.6,99.6,0,0.01,62.6,6754.53,6754.53,100
EV007,3/7/19 1:47 AM,3/7/19 1:55 AM,3.37,0.018169399,0.111612022,0.129781421,100,99.6,0.4,0.98,51.8,6751.15,6753.64,14
EV007,3/6/19 7:34 PM,3/6/19 8:57 PM,53.72,0.166163934,1.218535519,1.384699454,87.8,57.6,30.2,16.92,51.8,6697.45,6750.89,12
EV007,3/6/19 3:18 PM,3/6/19 3:20 PM,0.24,0.006775956,0.027103825,0.033879781,88.2,88.2,0,0.29,57.2,6697.22,6697.22,20
EV007,3/6/19 9:37 AM,3/6/19 11:00 AM,55.37,0.027497268,1.34736612,1.374863388,74.5,47.5,27,15.36,48.2,6641.89,6696.57,2
EV007,3/5/19 8:50 PM,3/5/19 8:51 PM,0,0.004942623,0.002434426,0.007377049,0,0,0,0.01,50,,,67
EV007,3/5/19 7:30 PM,3/5/19 8:50 PM,54.62,0.106666667,1.226666667,1.333333333,100,74.9,25.1,14.51,55.4,6587.29,6640.73,8
