Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Trip Percent Idling Time
EV016,8/1/19 12:09 PM,8/1/19 1:18 PM,35.14,0.275267,0.871678,1.146944,59.6,42.7,16.9,9.11,93.2,29583.64,29618.43,24
EV016,8/1/19 9:03 AM,8/1/19 10:32 AM,33.75,0.655844,0.834711,1.490556,67.5,51.8,15.7,8.8,80.6,29549.9,29583.45,44
EV016,8/1/19 6:58 AM,8/1/19 8:46 AM,23.05,1.18305,0.60945,1.7925,78.4,67.5,10.9,6.34,71.6,29526.85,29549.22,66
EV016,8/1/19 5:11 AM,8/1/19 6:55 AM,49.68,0.570992,1.159286,1.730278,100,78.4,21.6,12.62,68,29477.18,29525.65,33
EV016,8/1/19 12:51 AM,8/1/19 12:52 AM,0,0.006389,0,0.006389,0,0,0,0.01,82.4,,,100
EV016,7/31/19 2:19 PM,7/31/19 2:19 PM,0,0.006944,0,0.006944,0,0,0,0.01,95,,,100
EV016,7/31/19 12:03 PM,7/31/19 2:18 PM,69.88,0.649278,1.589611,2.238889,49.4,12.5,36.9,21.63,91.4,29407.31,29476.91,29
EV016,7/31/19 10:29 AM,7/31/19 11:22 AM,21.34,0.37695,0.52055,0.8975,52.9,42.4,10.5,5.58,86,29385.98,29407.11,42
EV016,7/31/19 9:02 AM,7/31/19 10:26 AM,44.99,0.447289,0.950489,1.397778,74.5,53.3,21.2,12.53,78.8,29341,29385.74,32
EV016,7/31/19 7:37 AM,7/31/19 7:58 AM,4.6,0.217,0.133,0.35,67.1,64.7,2.4,1.32,71.6,29336.4,29340.13,62
EV016,7/31/19 5:45 AM,7/31/19 7:31 AM,55.33,0.385917,1.36825,1.754167,94.9,67.1,27.8,15.84,66.2,29281.09,29335.77,22
EV016,7/31/19 5:22 AM,7/31/19 5:38 AM,12.57,0.018822,0.250067,0.268889,100,94.9,5.1,3.1,66.2,29268.52,29280.95,7
EV016,7/31/19 5:09 AM,7/31/19 5:18 AM,0,0.137778,0,0.137778,100,100,0,0.39,71.6,29268.52,29268.52,100
EV016,7/30/19 2:38 PM,7/30/19 2:38 PM,0,0.003322,0.000289,0.003611,0,0,0,0.01,96.8,,,92
EV016,7/30/19 2:37 PM,7/30/19 2:37 PM,0,0.015833,0,0.015833,5.5,5.5,0,0.04,96.8,29268.52,29268.52,100
EV016,7/30/19 2:36 PM,7/30/19 2:36 PM,0,0.010278,0,0.010278,5.5,5.5,0,-0.03,96.8,29268.52,29268.52,100
EV016,7/30/19 12:00 PM,7/30/19 2:30 PM,70.9,0.723389,1.771056,2.494444,40.8,5.9,34.9,20.22,91.4,29197.64,29268.48,29
EV016,7/30/19 10:16 AM,7/30/19 11:13 AM,35.81,0.16955,0.772394,0.941944,54.1,33.3,20.8,10.77,84.2,29161.84,29196.64,18
EV016,7/30/19 10:11 AM,7/30/19 10:13 AM,0.2,0.012931,0.024014,0.036944,54.1,54.1,0,0.07,82.4,29161.64,29161.64,35
EV016,7/30/19 9:03 AM,7/30/19 10:09 AM,30.99,0.349689,0.743089,1.092778,69.8,54.1,15.7,9.39,78.8,29130.66,29160.48,32
EV016,7/30/19 7:44 AM,7/30/19 8:00 AM,4.73,0.1325,0.1325,0.265,64.7,62.4,2.3,1.38,71.6,29125.93,29129.66,50
EV016,7/30/19 5:43 AM,7/30/19 7:37 AM,58.45,0.437511,1.464711,1.902222,94.9,64.7,30.2,16.83,68,29067.48,29125.89,23
EV016,7/30/19 5:12 AM,7/30/19 5:36 AM,12.64,0.132458,0.268931,0.401389,100,94.9,5.1,3.5,68,29054.84,29067.27,33
EV016,7/30/19 5:09 AM,7/30/19 5:12 AM,0,0.0425,0,0.0425,100,100,0,0.02,73.4,29054.84,29054.84,100
EV016,7/30/19 1:33 AM,7/30/19 1:33 AM,0,0.005,0,0.005,0,0,0,-0.02,78.8,,,100
