Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV024,8/31/18 12:00 AM,,57.29,,,,,,36.6,103.603,,0,22930.146
EV024,9/1/18 12:00 AM,,84.134,,,,,,58.8,155.74,,22930.146,22956.99
EV024,9/2/18 12:00 AM,,75.709,,,,,,60.6,165.59,,22956.99,23032.76
EV024,9/3/18 12:00 AM,,94.013,,,,,,68.2,184.139,,23032.76,23127.333
EV024,9/4/18 12:00 AM,,,,,,,,-0.4,2.085,,23127.333,
EV024,9/5/18 12:00 AM,,87.178,,,,,,59.9,156.032,,0,23214.76
EV024,9/6/18 12:00 AM,,86.122,,,,,,57.3,149.739,,23214.76,23300.944
EV024,9/7/18 12:00 AM,,84.072,,,,,,55.2,146.953,,23300.944,23385.078
EV024,9/8/18 12:00 AM,,84.569,,,,,,59.9,157.443,,23385.078,23469.708
EV024,9/9/18 12:00 AM,,91.466,,,,,,71.4,191.735,,23469.708,23562.914
EV024,9/10/18 12:00 AM,,91.528,,,,,,73.4,195.314,,23562.914,23654.504
EV024,9/11/18 12:00 AM,,78.479,,,,,,59.6,159.78,,23654.504,23733.294
EV024,9/12/18 12:00 AM,,84.693,,,,,,56.4,151.403,,23733.294,23818.733
EV024,9/13/18 12:00 AM,,88.918,,,,,,60.7,159.464,,23818.733,23909.453
EV024,9/14/18 12:00 AM,,81.027,,,,,,57.4,156.871,,23909.453,23990.169
EV024,9/15/18 12:00 AM,,97.99,,,,,,61.8,166.942,,23990.169,24089.029
EV024,9/16/18 12:00 AM,,,,,,,,-0.2,2.743,,24089.029,
EV024,9/17/18 12:00 AM,,70.153,,,,,,55.9,147.559,,0,24159.244
EV024,9/18/18 12:00 AM,,80.405,,,,,,58.3,154.998,,24159.244,24240.892
EV024,9/19/18 12:00 AM,,87.178,,,,,,58.8,156.109,,24240.892,24328.319
EV024,9/20/18 12:00 AM,,85.749,,,,,,60.4,158.88,,24328.319,24414.131
EV024,9/21/18 12:00 AM,,96.81,,,,,,60.8,157.461,,24414.131,24511.686
EV024,9/22/18 12:00 AM,,80.592,,,,,,57.5,154.607,,24511.686,24592.34
EV024,9/23/18 12:00 AM,,97.307,,,,,,69.8,182.912,,24592.34,24689.647
EV024,9/24/18 12:00 AM,,2.299,,,,,,0.3,3.243,,24689.647,24692.07
EV024,9/25/18 12:00 AM,,78.976,,,,,,53.5,139.474,,24692.07,24771.17
EV024,9/26/18 12:00 AM,,78.852,,,,,,49.1,132.394,,24771.17,24850.085
EV024,9/27/18 12:00 AM,,81.4,,,,,,62.1,160.485,,24850.085,24931.546
EV024,9/28/18 12:00 AM,,77.547,,,,,,61.2,161.657,,24931.546,25009.963
EV024,9/29/18 12:00 AM,,79.66,,,,,,55,146.702,,25009.963,25089.685
EV024,9/30/18 12:00 AM,,85.936,,,,,,54.5,148.925,,25089.685,25176.18
EV024,10/1/18 12:00 AM,,0,,,,,,-0.5,2.242,,25176.18,25176.304
EV024,10/2/18 12:00 AM,,0.497,,,,,,0,5.226,,25176.304,25176.926
EV024,10/3/18 12:00 AM,,0.684,,,,,,0.7,7.302,,25176.926,25177.982
EV024,10/4/18 12:00 AM,,68.102,,,,,,46.5,124.073,,25177.982,25246.209
EV024,10/5/18 12:00 AM,,78.293,,,,,,52.4,137.189,,25246.209,25324.812
EV024,10/6/18 12:00 AM,,78.417,,,,,,54,139.208,,25324.812,25403.602
EV024,10/7/18 12:00 AM,,1.181,,,,,,-0.3,2.169,,25403.602,25405.963
EV024,10/8/18 12:00 AM,,11.868,,,,,,0.9,8.258,,25405.963,25417.894
EV024,10/9/18 12:00 AM,,48.84,,,,,,27.9,81.638,,25417.894,25468.535
EV024,10/10/18 12:00 AM,,89.664,,,,,,50.4,132.069,,25468.535,25559.256
EV024,10/11/18 12:00 AM,,82.083,,,,,,49.9,130.528,,25559.256,25641.401
EV024,10/12/18 12:00 AM,,77.423,,,,,,49.3,127.09,,25641.401,25718.886
EV024,10/13/18 12:00 AM,,80.219,,,,,,47.8,131.201,,25718.886,25799.913
EV024,10/14/18 12:00 AM,,91.466,,,,,,45.7,122.723,,25799.913,25892.124
EV024,10/15/18 12:00 AM,,0.124,,,,,,0.6,2.632,,25892.124,25892.31
EV024,10/16/18 12:00 AM,,85.501,,,,,,63.5,156.547,,25892.31,25979.24
EV024,10/17/18 12:00 AM,,72.514,,,,,,42.8,119.445,,25979.24,26052.376
EV024,10/18/18 12:00 AM,,85.19,,,,,,60.3,149.069,,26052.376,26137.628
EV024,10/19/18 12:00 AM,,84.693,,,,,,62.5,158.686,,26137.628,26222.383
EV024,10/20/18 12:00 AM,,78.355,,,,,,56.7,151.379,,26222.383,26301.918
EV024,10/21/18 12:00 AM,,93.579,,,,,,63.1,165.976,,26301.918,26396.864
EV024,10/22/18 12:00 AM,,0,,,,,,-0.1,2.385,,26396.864,26397.175
EV024,10/23/18 12:00 AM,,76.801,,,,,,52.4,133.926,,26397.175,26474.038
EV024,10/24/18 12:00 AM,,80.281,,,,,,53.6,136.423,,26474.038,26555.065
EV024,10/25/18 12:00 AM,,81.648,,,,,,55.9,144.409,,26555.065,26636.775
EV024,10/26/18 12:00 AM,,87.303,,,,,,53.7,139.456,,26636.775,26724.948
EV024,10/27/18 12:00 AM,,81.151,,,,,,54.6,141.203,,26724.948,26807.217
EV024,10/28/18 12:00 AM,,96.064,,,,,,65.7,171.027,,26807.217,26903.344
EV024,10/29/18 12:00 AM,,77.423,,,,,,55.4,142.154,,26903.344,26980.829
EV024,10/30/18 12:00 AM,,79.349,,,,,,55.6,141.167,,26980.829,27060.24
EV024,10/31/18 12:00 AM,,77.423,,,,,,52.8,134.85,,27060.24,27137.725
EV024,11/1/18 12:00 AM,,76.304,,,,,,60.3,150.28,,27137.725,27214.091
EV024,11/2/18 12:00 AM,,77.734,,,,,,55.3,142.224,,27214.091,27293.503
EV024,11/3/18 12:00 AM,,80.157,,,,,,59.2,152.311,,27293.503,27373.722
EV024,11/4/18 12:00 AM,,1.491,,,,,,2.4,10.752,,27373.722,27375.524
