Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV026,9/28/18 4:39 PM,9/19/18 4:41 PM,0.001,0.017,0.006,0.022,87.5,87,0.5,0.116,94.64,,
EV026,9/18/18 6:21 PM,9/18/18 6:22 PM,0.072,0.000,0.019,0.019,87.5,87,0.5,0.131,78.8,,
EV026,9/18/18 5:59 PM,9/18/18 6:02 PM,0.033,0.006,0.047,0.053,91,90,1,0.283,79.52,,
EV026,9/18/18 5:03 PM,9/18/18 5:12 PM,0.13,0.103,0.042,0.144,93.5,91,2.5,1.069,90.32,,
EV026,9/18/18 10:51 AM,9/18/18 11:13 AM,2.703,0.167,0.208,0.375,100,93,7,4.873,76.28,,
EV026,9/18/18 10:23 AM,9/18/18 10:35 AM,2.382,0.014,0.175,0.189,33.5,26,7.5,4.114,75.56,,
EV026,9/12/18 2:46 PM,9/12/18 2:48 PM,0.143,0.000,0.036,0.036,53,52,1,0.323,93.2,,
EV026,9/12/18 2:30 PM,9/12/18 2:31 PM,0.032,0.000,0.028,0.028,54,53,1,0.161,99.68,,
EV026,9/10/18 4:52 PM,9/10/18 4:53 PM,0.037,0.014,0.017,0.031,54.5,53.5,1,0.178,90.32,,
EV026,9/10/18 3:56 PM,9/10/18 3:58 PM,0.139,0.000,0.036,0.036,55,54.5,0.5,0.207,101.48,,
EV026,9/6/18 2:58 PM,9/6/18 3:00 PM,0.063,0.017,0.028,0.044,55.5,55,0.5,0.211,84.92,,
EV026,9/6/18 1:29 PM,9/6/18 1:36 PM,0.317,0.008,0.111,0.119,56,55,1,0.777,83.84,,
EV026,9/6/18 12:25 PM,9/6/18 12:46 PM,3.32,0.100,0.253,0.353,59,55.5,3.5,5.478,80.6,,
EV026,9/6/18 11:09 AM,9/6/18 11:23 AM,3.27,0.003,0.231,0.233,72,59,13,5.237,75.56,,
EV026,9/6/18 9:59 AM,9/6/18 10:25 AM,8.051,0.014,0.417,0.431,90,72,18,13.018,71.96,,
EV026,9/6/18 9:25 AM,9/6/18 9:28 AM,0.163,0.000,0.050,0.050,91.5,90,1.5,0.341,73.76,,
EV026,9/5/18 9:51 PM,9/5/18 9:56 PM,0.335,0.014,0.069,0.083,92.5,91,1.5,0.661,65.84,,
EV026,9/5/18 6:34 PM,9/5/18 6:43 PM,0.228,0.097,0.061,0.158,95.5,93,2.5,0.687,76.64,,
EV026,9/5/18 1:28 PM,9/5/18 6:12 PM,55.864,1.344,3.389,4.733,91,92.5,-1.5,115.267,87.08,,
EV026,9/5/18 10:32 AM,9/5/18 1:17 PM,33.199,0.744,2.014,2.758,86.5,85,1.5,66.384,86.72,,
EV026,9/5/18 9:32 AM,9/5/18 10:21 AM,11.479,0.150,0.675,0.825,87.5,88,-0.5,23.747,78.44,,
EV026,9/5/18 8:16 AM,9/5/18 9:21 AM,17.166,0.183,0.903,1.086,99.5,88.5,11,37.211,68.36,,
EV026,9/5/18 5:42 AM,9/5/18 7:59 AM,30.881,0.517,1.756,2.272,76,72.5,3.5,67.211,60.44,,
EV026,9/4/18 6:59 PM,9/4/18 7:04 PM,0.247,0.047,0.036,0.083,78.5,76,2.5,0.604,87.8,,
EV026,9/4/18 6:12 PM,9/4/18 6:36 PM,10.036,0.028,0.381,0.408,99,78,21,17.693,90.68,,
EV026,9/4/18 3:02 PM,9/4/18 6:00 PM,33.026,0.764,2.197,2.961,96.5,62,34.5,84.06,94.64,,
EV026,9/4/18 3:02 PM,9/4/18 6:00 PM,33.03,0.764,2.200,2.964,96.5,62,34.5,84.077,94.64,,
EV026,9/4/18 1:24 PM,9/4/18 2:40 PM,13.718,0.342,0.919,1.261,88.5,56.5,32,34.211,96.08,,
EV026,8/30/18 5:29 AM,8/30/18 5:05 PM,134.081,2.975,8.633,11.608,86,56.5,29.5,288.219,68.36,,
EV026,8/28/18 5:11 PM,8/28/18 6:14 PM,14.324,0.214,0.825,1.039,99,92,7,26.743,80.6,,
EV026,8/28/18 10:03 AM,8/28/18 4:59 PM,80.926,1.978,4.953,6.931,100,67.5,32.5,163.961,77.36,,
EV026,8/28/18 5:36 AM,8/28/18 9:52 AM,54.035,1.119,3.150,4.269,85,64,21,120.052,62.6,,
EV026,8/8/18 2:08 PM,8/8/18 4:29 PM,24.31,0.569,1.783,2.353,98.5,92,6.5,57.173,96.44,,
EV026,8/8/18 5:27 AM,8/8/18 1:54 PM,101.897,2.131,6.317,8.447,77.5,67.5,10,210.457,77.36,,
EV026,7/18/18 11:13 AM,7/18/18 4:29 PM,57.103,1.536,3.736,5.272,98.5,90.5,8,118.108,96.44,,
EV026,7/18/18 10:12 AM,7/18/18 10:59 AM,10.841,0.100,0.678,0.778,98.5,73,25.5,20.292,88.52,,
EV026,7/18/18 9:10 AM,7/18/18 9:57 AM,10.89,0.131,0.642,0.772,99,75,24,19.828,81.32,,
EV026,7/18/18 5:26 AM,7/18/18 8:57 AM,47.555,1.017,2.503,3.519,86.5,74.5,12,90.151,69.44,,
EV026,7/16/18 6:21 AM,7/16/18 4:20 PM,111.528,2.864,7.117,9.981,99,93.5,5.5,228.127,80.96,,
EV026,7/16/18 5:27 AM,7/16/18 6:11 AM,14.838,0.139,0.583,0.722,89,55,34,26.238,61.16,,
EV026,7/12/18 5:12 PM,7/12/18 6:51 PM,21.599,0.383,1.278,1.661,98,93,5,42.507,93.56,,
EV026,7/12/18 11:11 AM,7/12/18 4:55 PM,65.243,1.425,4.300,5.725,97.5,72.5,25,137.823,93.56,,
EV026,7/12/18 8:10 AM,7/12/18 10:50 AM,33.068,0.511,2.156,2.667,99,55,44,72.675,76.64,,
EV026,7/12/18 5:28 AM,7/12/18 7:57 AM,36.829,0.572,1.906,2.478,96.5,44.5,52,73.226,66.2,,
EV026,7/11/18 4:28 PM,7/11/18 7:23 PM,33.102,0.864,2.056,2.919,80,99,-19,72.71,92.84,,
EV026,7/10/18 10:11 AM,7/10/18 4:02 PM,63.317,1.767,4.089,5.856,98.5,77,21.5,132.182,96.08,,
EV026,7/10/18 8:13 AM,7/10/18 9:59 AM,21.888,0.453,1.314,1.767,98,73.5,24.5,47.853,82.4,,
EV026,7/10/18 5:25 AM,7/10/18 7:56 AM,36.582,0.706,1.808,2.514,85.5,77.5,8,73.644,73.4,,
EV026,7/2/18 5:16 PM,7/2/18 6:16 PM,14.175,0.231,0.756,0.986,99,94,5,30.176,84.92,,
EV026,7/2/18 3:11 PM,7/2/18 5:02 PM,23.207,0.431,1.417,1.847,99.5,65.5,34,51.611,89.6,,
EV026,7/2/18 10:35 AM,7/2/18 3:00 PM,51.996,1.242,3.164,4.406,85,65.5,19.5,111.11,86.72,,
EV026,7/2/18 8:09 AM,7/2/18 10:23 AM,28.858,0.578,1.661,2.239,100,87,13,56.441,69.8,,
EV026,7/2/18 5:39 AM,7/2/18 7:56 AM,30.871,0.583,1.708,2.292,86,72,14,59.76,61.88,,
EV026,6/29/18 8:07 AM,6/29/18 4:48 PM,100.689,2.522,6.169,8.692,99.5,76.5,23,210.566,85.28,,
EV026,6/29/18 5:40 AM,6/29/18 7:56 AM,30.935,0.461,1.794,2.256,84.5,72.5,12,59.02,63.68,,
