Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature
EV041,05/01/20,,52.173,,14.24,,,,67.42,107.872,53
EV041,05/02/20,,44.642,,14.3,,,,53.63,85.808,64
EV041,05/03/20,,30.872,,17.05,,,,40.73,65.168,63
EV041,05/04/20,,41.939,,18.4,,,,55.96,89.536,54
EV041,05/05/20,,46.019,,17.84,,,,68.65,109.84,45
EV041,05/06/20,,52.819,,19.26,,,,73.67,117.872,48
EV041,05/07/20,,45.356,,19.25,,,,58.72,93.952,51
EV041,05/08/20,,46.087,,14.01,,,,62.35,99.76,45
EV041,05/09/20,,37.077,,13.3,,,,62.57,100.112,40
EV041,05/10/20,,50.133,,17.05,,,,65.29,104.464,51
EV041,05/11/20,,41.293,,20.98,,,,70.13,112.208,41
EV041,05/12/20,,55.641,,19.68,,,,67.5,108,44
EV041,05/13/20,,62.305,,20.69,,,,74.79,119.664,50
EV041,05/14/20,,46.019,,13.91,,,,52.59,84.144,63
EV041,05/15/20,,38.471,,11.03,,,,47,75.2,66
EV041,05/16/20,,48.348,,10.62,,,,51.3,82.08,67
EV041,05/17/20,,61.149,,15.08,,,,68.45,109.52,72
EV041,05/18/20,,43.707,,16.14,,,,50.21,80.336,68
EV041,05/19/20,,20.536,,14.76,,,,28.89,46.224,57
EV041,05/20/20,,47.957,,17.85,,,,64.02,102.432,52
EV041,05/21/20,,56.593,,18.74,,,,72.11,115.376,57
EV041,05/22/20,,53.601,,14.62,,,,58.26,93.216,65
EV041,05/23/20,,42.194,,11.7,,,,48.83,78.128,67
EV041,05/24/20,,44.812,,17.5,,,,56.83,90.928,77
EV041,05/25/20,,49.028,,19.14,,,,60.08,96.128,76
EV041,05/26/20,,42.551,,16.79,,,,56.25,90,76
EV041,05/27/20,,62.883,,17.76,,,,70.67,113.072,78
EV041,05/28/20,,41.735,,16.56,,,,53.52,85.632,74
EV041,05/29/20,,30.6,,12.8,,,,35.92,57.472,68
EV041,05/30/20,,49.572,,13.77,,,,56.76,90.816,64
EV041,05/31/20,,43.758,,16.38,,,,51.19,81.904,57
EV041,06/01/20,,35.564,,17.6,,,,43.66,69.856,57
EV041,06/02/20,,48.365,,20.87,,,,66.4,106.24,74
EV041,06/03/20,,52.02,,19.58,,,,63.53,101.648,79
EV041,06/04/20,,30.209,,17.69,,,,42.15,67.44,74
EV041,06/05/20,,36.924,,14.77,,,,42.44,67.904,78
EV041,06/06/20,,19.72,,6.32,,,,22.19,35.504,76
EV041,06/07/20,,53.074,,17.03,,,,58.55,93.68,68
EV041,06/08/20,,45.968,,19.27,,,,59.52,95.232,70
EV041,06/09/20,,54.536,,19.83,,,,66.6,106.56,77
EV041,06/10/20,,52.921,,20.55,,,,74.8,119.68,80
EV041,06/11/20,,64.124,,20.92,,,,71.98,115.168,70
EV041,06/12/20,,39.627,,12.55,,,,51.71,82.736,68
EV041,06/13/20,,32.708,,11.38,,,,37.43,59.888,62
EV041,06/14/20,,51.612,,17.87,,,,57.34,91.744,60
EV041,06/15/20,,51.051,,18.87,,,,53.82,86.112,65
EV041,06/16/20,,46.393,,19.58,,,,57.57,92.112,68
EV041,06/17/20,,53.21,,19.13,,,,63.65,101.84,70
EV041,06/18/20,,59.942,,20.95,,,,65.94,105.504,71
EV041,06/19/20,,62.543,,16.87,,,,70.02,112.032,71
EV041,06/20/20,,38.641,,14.13,,,,49.81,79.696,76
EV041,06/21/20,,66.504,,16.18,,,,69.24,110.784,80
EV041,06/22/20,,61.642,,19.36,,,,67.11,107.376,76
EV041,06/23/20,,40.63,,20.52,,,,53.34,85.344,70
EV041,06/24/20,,61.608,,19.13,,,,67.31,107.696,70
EV041,06/25/20,,29.818,,17.83,,,,42.21,67.536,70
EV041,06/26/20,,39.474,,13.47,,,,46.95,75.12,74
EV041,06/27/20,,36.21,,12.45,,,,41.95,67.12,76
EV041,06/28/20,,42.687,,14.79,,,,48.94,78.304,77
EV041,06/29/20,,42.993,,18.01,,,,57.91,92.656,77
EV041,06/30/20,,42.942,,17.13,,,,56.97,91.152,78
EV041,07/01/20,,38.811,,17.57,,,,54,86.4,79
EV041,07/02/20,,33.592,,20.09,,,,52.8,84.48,77
EV041,07/03/20,,32.98,,13.41,,,,41.02,65.632,78
EV041,07/04/20,,33.694,,8.15,,,,45.25,72.4,81
EV041,07/05/20,,50.592,,16.53,,,,67.38,107.808,79
EV041,07/06/20,,34.544,,15.85,,,,49.78,79.648,81
EV041,07/07/20,,36.363,,19.59,,,,55.04,88.064,82
EV041,07/08/20,,30.736,,18.24,,,,45.43,72.688,79
EV041,07/09/20,,32.385,,13.64,,,,45.04,72.064,82
EV041,07/10/20,,23.188,,11.69,,,,34.77,55.632,80
EV041,07/11/20,,40.069,,10.52,,,,45.94,73.504,77
EV041,07/12/20,,39.27,,17.09,,,,48.79,78.064,73
EV041,07/13/20,,51.323,,18.69,,,,57.65,92.24,73
EV041,07/14/20,,54.927,,19.38,,,,66.18,105.888,73
EV041,07/15/20,,60.826,,15.35,,,,64.74,103.584,77
EV041,07/16/20,,71.927,,19.47,,,,88.13,141.008,80
EV041,07/17/20,,56.44,,14.68,,,,65.69,105.104,79
EV041,07/18/20,,32.81,,12.3,,,,45.74,73.184,79
EV041,07/19/20,,56.491,,13.73,,,,66.77,106.832,84
EV041,07/20/20,,92.514,,19.02,,,,95.29,152.464,80
EV041,07/21/20,,65.433,,21.02,,,,77.21,123.536,81
EV041,07/22/20,,54.519,,20,,,,69.47,111.152,75
EV041,07/23/20,,58.48,,21.41,,,,72.94,116.704,78
EV041,07/24/20,,43.486,,14.7,,,,56.21,89.936,76
EV041,07/25/20,,25.007,,11.4,,,,37.97,60.752,78
EV041,07/26/20,,62.815,,14.78,,,,71.8,114.88,78
EV041,07/27/20,,92.021,,21.05,,,,100.36,160.576,83
EV041,07/28/20,,83.674,,20.2,,,,95.53,152.848,77
EV041,07/29/20,,53.992,,17.41,,,,60.04,96.064,77
EV041,07/30/20,,60.724,,19.98,,,,68.12,108.992,75
EV041,07/31/20,,53.431,,15.91,,,,64.24,102.784,76
EV041,08/01/20,,32.402,,13.12,,,,46.75,74.8,78
EV041,08/02/20,,13.158,,5.9,,,,15.25,24.4,72
EV041,08/03/20,,51.187,,20.14,,,,62.14,99.424,71
EV041,08/04/20,,50.864,,19.63,,,,62.35,99.76,68
EV041,08/05/20,,49.181,,17.57,,,,60.73,97.168,65
EV041,08/06/20,,41.14,,18.96,,,,45.3,72.48,68
EV041,08/07/20,,86.275,,20.3,,,,86.43,138.288,71
EV041,08/08/20,,48.212,,13.85,,,,51.65,82.64,72
EV041,08/09/20,,47.43,,16.6,,,,53.94,86.304,75
EV041,08/10/20,,60.962,,20.37,,,,68.23,109.168,77
EV041,08/11/20,,55.403,,20.97,,,,68.43,109.488,77
EV041,08/12/20,,52.088,,20.04,,,,71.39,114.224,77
EV041,08/13/20,,18.598,,8.2,,,,22.63,36.208,77
EV041,08/14/20,,20.179,,5.23,,,,20.9,33.44,78
EV041,08/15/20,,0,,0,,,,0,0,76
EV041,08/16/20,,49.334,,17.35,,,,60.24,96.384,73
EV041,08/17/20,,60.622,,19.42,,,,73.8,118.08,72
EV041,08/18/20,,43.69,,19.43,,,,55.64,89.024,69
EV041,08/19/20,,57.188,,20.69,,,,69.21,110.736,67
EV041,08/20/20,,58.922,,19.27,,,,70.97,113.552,67
EV041,08/21/20,,59.84,,16.14,,,,65.2,104.32,73
EV041,08/22/20,,33.609,,14.52,,,,42.61,68.176,75
EV041,08/23/20,,35.003,,17.17,,,,49.12,78.592,76
EV041,08/24/20,,41.956,,14.91,,,,52.62,84.192,79
EV041,08/25/20,,57.953,,20.13,,,,68.58,109.728,83
EV041,08/26/20,,65.144,,20.56,,,,76.95,123.12,79
EV041,08/27/20,,54.179,,17.12,,,,69.24,110.784,81
EV041,08/28/20,,40.732,,16.9,,,,57.21,91.536,79
EV041,08/29/20,,28.713,,14.13,,,,42.32,67.712,76
EV041,08/30/20,,57.239,,17.02,,,,68.88,110.208,67
EV041,08/31/20,,58.599,,20.95,,,,64.9,103.84,69
EV041,09/01/20,,58.106,,20.27,,,,70.99,113.584,75
EV041,09/02/20,,65.042,,20.48,,,,82.2,131.52,77
EV041,09/03/20,,74.681,,20.78,,,,87.14,139.424,75
EV041,09/04/20,,49.504,,14.44,,,,52.47,83.952,69
EV041,09/05/20,,35.751,,13.33,,,,48.94,78.304,66
EV041,09/06/20,,51.901,,18.19,,,,65.36,104.576,67
EV041,09/07/20,,66.776,,17.4,,,,75.68,121.088,77
EV041,09/08/20,,56.168,,16.27,,,,59.77,95.632,76
EV041,09/09/20,,53.38,,15.64,,,,59.75,95.6,75
EV041,09/10/20,,62.713,,20.33,,,,79.7,127.52,75
EV041,09/11/20,,56.967,,16.63,,,,58.72,93.952,64
EV041,09/12/20,,24.531,,11.58,,,,31.89,51.024,71
EV041,09/13/20,,52.513,,16.82,,,,61.75,98.8,73
EV041,09/14/20,,60.826,,20.16,,,,67.82,108.512,63
EV041,09/15/20,,54.604,,20.98,,,,64.04,102.464,59
EV041,09/16/20,,44.897,,19.4,,,,55.8,89.28,62
EV041,09/17/20,,45.118,,21.15,,,,58.86,94.176,63
EV041,09/18/20,,35.02,,12.29,,,,40.22,64.352,56
EV041,09/19/20,,21.131,,12.93,,,,30.96,49.536,53
EV041,09/20/20,,69.632,,18.15,,,,74.22,118.752,56
EV041,09/21/20,,36.091,,9.82,,,,44.61,71.376,57
EV041,09/22/20,,56.95,,20.11,,,,66.85,106.96,57
EV041,09/23/20,,69.632,,20.43,,,,77.53,124.048,63
EV041,09/24/20,,66.81,,21.35,,,,77.5,124,67
EV041,09/25/20,,29.104,,10.84,,,,39.24,62.784,66
EV041,09/26/20,,34.34,,13.05,,,,45.68,73.088,70
EV041,09/27/20,,42.33,,17.15,,,,52.67,84.272,69
EV041,09/28/20,,82.518,,21.84,,,,91.58,146.528,65
EV041,09/29/20,,67.626,,21.41,,,,77.95,124.72,55
EV041,09/30/20,,59.585,,18.5,,,,69.26,110.816,56
EV041,10/01/20,,56.678,,18.36,,,,68.77,110.032,54
EV041,10/02/20,,58.82,,21.31,,,,76.23,121.968,50
EV041,10/03/20,,46.342,,14.5,,,,52.91,84.656,51
EV041,10/04/20,,45.016,,17.42,,,,56.5,90.4,55
