Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature
EV044,05/01/20,,24.701,,2.63,,,,19.47,31.152,52
EV044,05/02/20,,0,,0.05,,,,0.18,0.288,69
EV044,05/03/20,,0,,0,,,,0,0,61
EV044,05/04/20,,0,,0.13,,,,0.51,0.816,45
EV044,05/05/20,,0,,0.37,,,,1.42,2.272,45
EV044,05/06/20,,0,,0.03,,,,0.16,0.256,50
EV044,05/07/20,,0,,0.05,,,,0.24,0.384,56
EV044,05/08/20,,33.048,,3.45,,,,45.26,72.416,40
EV044,05/09/20,,38.726,,3.2,,,,33.36,53.376,45
EV044,05/10/20,,0,,0,,,,0,0,45
EV044,05/11/20,,0,,0,,,,0,0,45
EV044,05/12/20,,0,,0,,,,0,0,51
EV044,05/13/20,,0,,0.02,,,,0,0,57
EV044,05/14/20,,60.265,,5.62,,,,37.29,59.664,64
EV044,05/15/20,,42.738,,4.43,,,,27.06,43.296,67
EV044,05/16/20,,15.759,,1.32,,,,14.07,22.512,61
EV044,05/17/20,,48.807,,4.27,,,,48.76,78.016,61
EV044,05/18/20,,0.442,,0.05,,,,0.45,0.72,59
EV044,05/19/20,,0,,0,,,,0,0,57
EV044,05/20/20,,0.68,,0.27,,,,0.77,1.232,60
EV044,05/21/20,,54.349,,4.68,,,,28.09,44.944,62
EV044,05/22/20,,62.645,,6.33,,,,49.05,78.48,64
EV044,05/23/20,,62.271,,5.02,,,,46.36,74.176,68
EV044,05/24/20,,34.663,,3.5,,,,23.27,37.232,77
EV044,05/25/20,,0,,0.03,,,,0.19,0.304,79
EV044,05/26/20,,35.734,,3.62,,,,32.46,51.936,80
EV044,05/27/20,,9.095,,0.87,,,,7.79,12.464,80
EV044,05/28/20,,85.068,,6.43,,,,68.96,110.336,74
EV044,05/29/20,,0,,0,,,,0,0,67
EV044,05/30/20,,0,,0,,,,0,0,64
EV044,05/31/20,,0,,0.02,,,,0,0,59
EV044,06/01/20,,0,,0.37,,,,0.7,1.12,66
EV044,06/02/20,,0,,0.05,,,,0.15,0.24,81
EV044,06/03/20,,0,,0.17,,,,0.24,0.384,78
EV044,06/04/20,,0.578,,0.35,,,,0.89,1.424,77
EV044,06/05/20,,0,,0.42,,,,0.51,0.816,81
EV044,06/06/20,,0,,0.08,,,,0.19,0.304,69
EV044,06/07/20,,38.488,,2.93,,,,20.71,33.136,69
EV044,06/08/20,,0,,0.37,,,,0.48,0.768,78
EV044,06/09/20,,0,,0,,,,0,0,83
EV044,06/10/20,,0,,0.08,,,,0.23,0.368,73
EV044,06/11/20,,31.858,,2.42,,,,14.69,23.504,71
EV044,06/12/20,,0,,0.27,,,,0.51,0.816,68
EV044,06/13/20,,0,,0,,,,0,0,61
EV044,06/14/20,,0,,0.08,,,,0.25,0.4,64
EV044,06/15/20,,0,,0,,,,0.01,0.016,64
EV044,06/16/20,,17.289,,1.9,,,,11.3,18.08,72
EV044,06/17/20,,9.758,,1.35,,,,6.91,11.056,76
EV044,06/18/20,,2.822,,0.27,,,,1.83,2.928,76
EV044,06/19/20,,1.955,,0.28,,,,1.47,2.352,81
EV044,06/20/20,,0,,0.15,,,,0.53,0.848,81
EV044,06/21/20,,66.215,,5.98,,,,48.49,77.584,77
EV044,06/22/20,,0,,0,,,,0,0,76
EV044,06/23/20,,0,,0.02,,,,0.11,0.176,71
EV044,06/24/20,,108.817,,9.83,,,,69.13,110.608,70
EV044,06/25/20,,0,,0,,,,0,0,74
EV044,06/26/20,,0,,0,,,,0,0,78
EV044,06/27/20,,0,,0,,,,0,0,81
EV044,06/28/20,,24.956,,2.17,,,,17.99,28.784,78
EV044,06/29/20,,0,,0.17,,,,0.24,0.384,83
EV044,06/30/20,,0,,0,,,,0.01,0.016,81
EV044,07/01/20,,0,,0.08,,,,0.33,0.528,81
EV044,07/02/20,,20.179,,1.38,,,,8.11,12.976,81
EV044,07/03/20,,37.145,,3.33,,,,21.81,34.896,79
EV044,07/04/20,,0,,0,,,,0,0,81
EV044,07/05/20,,9.282,,0.93,,,,6.54,10.464,82
EV044,07/06/20,,0,,0,,,,0.09,0.144,85
EV044,07/07/20,,1.224,,0.43,,,,1.13,1.808,85
EV044,07/08/20,,0.102,,0.15,,,,0.42,0.672,84
EV044,07/09/20,,0,,0.03,,,,0.13,0.208,83
EV044,07/10/20,,0,,0.17,,,,0.36,0.576,79
EV044,07/11/20,,0,,0.8,,,,0.88,1.408,78
EV044,07/12/20,,0,,0,,,,0,0,73
EV044,07/13/20,,27.098,,2.33,,,,17.45,27.92,73
EV044,07/14/20,,0,,0,,,,0,0,76
EV044,07/15/20,,0,,0.1,,,,0.29,0.464,78
EV044,07/16/20,,0,,0.13,,,,0.22,0.352,77
EV044,07/17/20,,0,,0,,,,0,0,78
EV044,07/18/20,,0,,0,,,,0,0,84
EV044,07/19/20,,0,,0,,,,0,0,77
EV044,07/20/20,,18.241,,1.78,,,,10.47,16.752,77
EV044,07/21/20,,0,,0,,,,0,0,77
EV044,07/22/20,,82.518,,8.97,,,,58.6,93.76,79
