Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature
EV046,05/01/20,,0,,0,,,,0,0,
EV046,05/02/20,,0,,0,,,,0,0,
EV046,05/03/20,,0,,0,,,,0,0,
EV046,05/04/20,,0,,0,,,,0,0,
EV046,05/05/20,,0,,0.02,,,,0.12,0.192,
EV046,05/06/20,,0,,0.03,,,,0.29,0.464,
EV046,05/07/20,,54.434,,6.32,,,,60.44,96.704,
EV046,05/08/20,,37.4,,4.31,,,,46.33,74.128,
EV046,05/09/20,,26.843,,3.03,,,,37.76,60.416,
EV046,05/10/20,,0,,0,,,,0,0,
EV046,05/11/20,,1.785,,0.34,,,,2.12,3.392,
EV046,05/12/20,,0,,0,,,,0,0,
EV046,05/13/20,,57.035,,5.52,,,,59.06,94.496,
EV046,05/14/20,,0,,0,,,,0,0,
EV046,05/15/20,,0,,0,,,,0,0,
EV046,05/16/20,,30.209,,3.38,,,,34.18,54.688,
EV046,05/17/20,,0,,0,,,,0,0,
EV046,05/18/20,,44.03,,5.3,,,,48.25,77.2,
EV046,05/19/20,,0,,0,,,,0,0,
EV046,05/20/20,,0,,0,,,,0,0,
EV046,05/21/20,,0,,0,,,,0,0,
EV046,05/22/20,,0,,0,,,,0,0,
EV046,05/23/20,,0,,0,,,,0,0,
EV046,05/24/20,,0,,0,,,,0,0,
EV046,05/25/20,,0,,0,,,,0,0,
EV046,05/26/20,,0,,0,,,,0,0,
EV046,05/27/20,,35.734,,4.58,,,,61.22,97.952,
EV046,05/28/20,,0,,0,,,,0,0,
EV046,05/29/20,,0,,0,,,,0,0,
EV046,05/30/20,,0,,0,,,,0,0,
EV046,05/31/20,,0,,0,,,,0,0,
EV046,06/01/20,,0,,0,,,,0.02,0.032,
EV046,06/02/20,,0,,0,,,,0,0,
EV046,06/03/20,,0,,0,,,,0,0,
EV046,06/04/20,,0,,0,,,,0,0,
EV046,06/05/20,,0,,0,,,,0.01,0.016,
EV046,06/06/20,,18.479,,1.87,,,,21.97,35.152,
EV046,06/07/20,,13.787,,3.25,,,,30.96,49.536,
EV046,06/08/20,,0,,0.18,,,,0.17,0.272,
EV046,06/09/20,,3.315,,0.66,,,,5.58,8.928,
EV046,06/10/20,,67.252,,6.51,,,,78.93,126.288,
EV046,06/11/20,,2.176,,0.97,,,,5.57,8.912,
EV046,06/12/20,,62.169,,6.89,,,,84.98,135.968,
EV046,06/13/20,,0,,0,,,,0,0,
EV046,06/14/20,,27.727,,3.68,,,,31.94,51.104,
EV046,06/15/20,,0,,0.53,,,,0.49,0.784,
EV046,06/16/20,,0,,0,,,,0,0,
EV046,06/17/20,,52.479,,6.48,,,,76.21,121.936,68
EV046,06/18/20,,24.395,,2.05,,,,23.37,37.392,73
EV046,06/19/20,,58.854,,5.7,,,,73.27,117.232,71
EV046,06/20/20,,1.836,,0.45,,,,3.95,6.32,73
EV046,06/21/20,,12.104,,1.67,,,,18.59,29.744,75
EV046,06/22/20,,61.404,,6.9,,,,81.49,130.384,75
EV046,06/23/20,,7.446,,1.1,,,,11.12,17.792,
EV046,06/24/20,,0,,0,,,,0,0,63
EV046,06/25/20,,49.742,,6.22,,,,69.11,110.576,68
EV046,06/26/20,,52.938,,6.33,,,,73.94,118.304,69
EV046,06/27/20,,16.643,,1.15,,,,15.7,25.12,69
EV046,06/28/20,,10.591,,1.42,,,,15.99,25.584,71
EV046,06/29/20,,62.424,,5.9,,,,72.81,116.496,
EV046,06/30/20,,59.126,,8.85,,,,100.29,160.464,69
EV046,07/01/20,,43.282,,7.2,,,,65.96,105.536,
EV046,07/02/20,,86.462,,8.73,,,,98.94,158.304,
EV046,07/03/20,,58.242,,6.76,,,,74.39,119.024,73
EV046,07/04/20,,14.246,,2.08,,,,24.81,39.696,76
EV046,07/05/20,,0,,0,,,,0,0,71
EV046,07/06/20,,55.182,,7.42,,,,83.41,133.456,78
EV046,07/07/20,,36.669,,3.67,,,,43.65,69.84,78
EV046,07/08/20,,44.744,,4.57,,,,51.48,82.368,81
EV046,07/09/20,,64.991,,6.13,,,,72.42,115.872,82
EV046,07/10/20,,68.714,,6.63,,,,74.24,118.784,
EV046,07/11/20,,23.851,,2.43,,,,23.1,36.96,85
EV046,07/12/20,,0,,0,,,,0,0,82
EV046,07/13/20,,8.959,,1.23,,,,11.37,18.192,68
EV046,07/14/20,,3.264,,1.15,,,,2.56,4.096,70
EV046,07/15/20,,38.641,,4.45,,,,42.28,67.648,74
EV046,07/16/20,,3.893,,0.55,,,,3.37,5.392,76
EV046,07/17/20,,13.396,,1.55,,,,15.16,24.256,73
EV046,07/18/20,,0,,0,,,,0,0,77
EV046,07/19/20,,0,,0,,,,0,0,78
EV046,07/20/20,,0,,1.02,,,,0.99,1.584,
EV046,07/21/20,,0,,0,,,,0,0,
EV046,07/22/20,,0,,0.08,,,,0.08,0.128,74
EV046,07/23/20,,0,,0,,,,0,0,76
EV046,07/24/20,,0,,0.4,,,,0.8,1.28,75
EV046,07/25/20,,0,,0,,,,0,0,74
EV046,07/26/20,,0,,0,,,,0,0,77
EV046,07/27/20,,0,,0.35,,,,0.81,1.296,78
EV046,07/28/20,,0.119,,1.01,,,,1.11,1.776,73
EV046,07/29/20,,1.615,,0.17,,,,0.99,1.584,
EV046,07/30/20,,0,,0.05,,,,0.19,0.304,
EV046,07/31/20,,38.76,,4.19,,,,44.05,70.48,72
EV046,08/01/20,,0,,0,,,,0,0,73
EV046,08/02/20,,0,,0,,,,0,0,75
EV046,08/03/20,,48.926,,6.02,,,,65.27,104.432,72
EV046,08/04/20,,0,,0.02,,,,0.19,0.304,74
EV046,08/05/20,,47.651,,6.21,,,,65.04,104.064,69
EV046,08/06/20,,60.401,,6.17,,,,75.88,121.408,66
EV046,08/07/20,,75.293,,8.05,,,,91.18,145.888,
EV046,08/08/20,,4.709,,0.57,,,,5.28,8.448,
EV046,08/09/20,,11.203,,2.37,,,,20.52,32.832,
EV046,08/10/20,,63.257,,7.55,,,,73.41,117.456,79
EV046,08/11/20,,38.862,,5.28,,,,49.2,78.72,76
EV046,08/12/20,,0,,0.33,,,,0.35,0.56,
EV046,08/13/20,,9.758,,0.8,,,,12.23,19.568,
EV046,08/14/20,,12.189,,2.08,,,,14.34,22.944,74
EV046,08/15/20,,45.951,,5.1,,,,53.43,85.488,74
EV046,08/16/20,,0,,0,,,,0,0,73
EV046,08/17/20,,60.741,,7.42,,,,79.26,126.816,
EV046,08/18/20,,86.275,,9.39,,,,98.74,157.984,68
EV046,08/19/20,,72.284,,6.9,,,,86.77,138.832,64
EV046,08/20/20,,38.998,,6.38,,,,63.49,101.584,69
EV046,08/21/20,,84.286,,9.28,,,,98.64,157.824,73
EV046,08/22/20,,0.782,,0.05,,,,0.78,1.248,74
EV046,08/23/20,,33.252,,3.74,,,,36.4,58.24,73
EV046,08/24/20,,75.939,,6.58,,,,85.57,136.912,
EV046,08/25/20,,11.118,,3.2,,,,19.97,31.952,
EV046,08/26/20,,32.266,,2.97,,,,35.72,57.152,
EV046,08/27/20,,20.536,,2.93,,,,29.14,46.624,
EV046,08/28/20,,21.131,,2.35,,,,26.19,41.904,66
EV046,08/29/20,,20.468,,3.18,,,,24.94,39.904,73
EV046,08/30/20,,0,,0,,,,0,0,64
EV046,08/31/20,,0,,0.05,,,,0.4,0.64,67
EV046,09/01/20,,15.317,,1.32,,,,19.03,30.448,75
EV046,09/02/20,,33.524,,3.99,,,,57.57,92.112,
EV046,09/03/20,,45.186,,3.58,,,,43.2,69.12,
EV046,09/04/20,,8.194,,0.77,,,,8.12,12.992,
EV046,09/05/20,,0,,0,,,,0,0,
EV046,09/06/20,,13.94,,1.77,,,,18.56,29.696,61
EV046,09/07/20,,28.373,,4.1,,,,37.6,60.16,61
EV046,09/08/20,,0,,0,,,,0.01,0.016,69
EV046,09/09/20,,62.764,,6.15,,,,72.21,115.536,71
EV046,09/10/20,,15.164,,4.16,,,,22.93,36.688,
EV046,09/11/20,,0,,0,,,,0,0,
EV046,09/12/20,,0,,0,,,,0,0,
EV046,09/13/20,,21.454,,3.05,,,,32.21,51.536,
EV046,09/14/20,,0,,0.08,,,,0.18,0.288,
EV046,09/15/20,,0,,0,,,,0,0,53
EV046,09/16/20,,0,,0,,,,0,0,66
EV046,09/17/20,,0,,0.32,,,,0.35,0.56,65
EV046,09/18/20,,0,,1.03,,,,0.82,1.312,56
EV046,09/19/20,,0,,0,,,,0,0,48
EV046,09/20/20,,13.906,,1.62,,,,18.26,29.216,53
EV046,09/21/20,,1.394,,0.52,,,,1.4,2.24,54
EV046,09/22/20,,0,,0,,,,0,0,64
EV046,09/23/20,,0,,0,,,,0,0,
EV046,09/24/20,,49.963,,5.92,,,,74.01,118.416,
EV046,09/25/20,,67.099,,6.5,,,,82.65,132.24,65
EV046,09/26/20,,0,,0,,,,0,0,66
EV046,09/27/20,,8.262,,0.97,,,,12.08,19.328,71
EV046,09/28/20,,2.771,,0.93,,,,11.1,17.76,72
EV046,09/29/20,,0,,0.23,,,,0.1,0.16,58
EV046,09/30/20,,0,,0,,,,0,0,56
EV046,10/01/20,,0,,0.08,,,,0.15,0.24,57
EV046,10/02/20,,0,,0.74,,,,1.65,2.64,
EV046,10/03/20,,13.787,,1.95,,,,21.58,34.528,
EV046,10/04/20,,14.11,,3.83,,,,49.75,79.6,
EV046,10/05/20,,59.755,,6.66,,,,88.81,142.096,
EV046,10/06/20,,48.96,,5.4,,,,66.34,106.144,
EV046,10/07/20,,28.016,,3.34,,,,39.95,63.92,
EV046,10/08/20,,4.165,,0.32,,,,2.31,3.696,
EV046,10/09/20,,7.616,,0.78,,,,6.51,10.416,53
EV046,10/10/20,,14.858,,2.03,,,,20.17,32.272,66
EV046,10/11/20,,4.165,,0.6,,,,10.05,16.08,52
EV046,10/12/20,,0,,0,,,,0,0,59
EV046,10/13/20,,0,,0,,,,0,0,54
EV046,10/14/20,,0,,0,,,,0,0,58
EV046,10/15/20,,0,,0,,,,0,0,60
EV046,10/16/20,,0,,0,,,,0,0,
EV046,10/17/20,,0,,0,,,,0,0,46
EV046,10/18/20,,0,,0,,,,0,0,49
EV046,10/19/20,,0,,0,,,,0,0,49
EV046,10/20/20,,0,,0,,,,0,0,48
EV046,10/21/20,,53.38,,6.35,,,,78.39,125.424,53
EV046,10/22/20,,0,,0,,,,0,0,54
EV046,10/23/20,,48.195,,5.18,,,,62.04,99.264,68
EV046,10/24/20,,0,,0,,,,0,0,59
EV046,10/25/20,,13.226,,2.45,,,,30.28,48.448,53
EV046,10/26/20,,0,,0,,,,0,0,45
EV046,10/27/20,,0,,0,,,,0,0,45
EV046,10/28/20,,42.041,,5.21,,,,63.79,102.064,46
EV046,10/29/20,,82.688,,8.17,,,,117.2,187.52,47
EV046,10/30/20,,72.573,,7.52,,,,103.43,165.488,42
EV046,10/31/20,,0,,0,,,,0,0,37
EV046,11/01/20,,16.813,,2.12,,,,26.81,42.896,45
EV046,11/02/20,,0,,0,,,,0,0,42
EV046,11/03/20,,0,,0,,,,0,0,46
EV046,11/04/20,,56.797,,4.65,,,,63.7,101.92,51
EV046,11/05/20,,73.423,,7.08,,,,100.08,160.128,61
EV046,11/06/20,,72.624,,5.63,,,,85.5,136.8,58
EV046,11/07/20,,10.2,,1.42,,,,13.84,22.144,56
EV046,11/08/20,,7.956,,1.25,,,,10.14,16.224,50
EV046,11/09/20,,30.413,,3.59,,,,41.13,65.808,58
EV046,11/10/20,,76.551,,7.68,,,,94.07,150.512,63
EV046,11/11/20,,9.656,,1.7,,,,12.69,20.304,57
EV046,11/12/20,,0,,0,,,,0,0,45
EV046,11/13/20,,0,,0,,,,0,0,41
EV046,11/14/20,,0,,0,,,,0,0,43
EV046,11/15/20,,9.826,,1.85,,,,19.64,31.424,44
EV046,11/16/20,,41.514,,5.28,,,,82,131.2,41
EV046,11/17/20,,0,,0,,,,0,0,36
EV046,11/18/20,,0,,0,,,,0,0,45
EV046,11/19/20,,0.102,,0.05,,,,0.52,0.832,41
EV046,11/20/20,,17.204,,2.14,,,,28.06,44.896,56
EV046,11/21/20,,1.479,,0.3,,,,1.36,2.176,50
EV046,11/22/20,,0,,0,,,,0,0,47
EV046,11/23/20,,33.048,,5.92,,,,86.37,138.192,36
EV046,11/24/20,,46.716,,7.69,,,,86.91,139.056,37
EV046,11/25/20,,48.263,,4.41,,,,64.94,103.904,41
EV046,11/26/20,,36.533,,3.4,,,,57.27,91.632,50
EV046,11/27/20,,11.832,,2.85,,,,36.5,58.4,42
EV046,11/28/20,,0,,0,,,,0,0,39
EV046,11/29/20,,9.299,,1.4,,,,16.17,25.872,44
EV046,11/30/20,,6.783,,0.65,,,,10.17,16.272,45
EV046,12/01/20,,0,,0,,,,0,0,31
EV046,12/02/20,,0,,0,,,,0,0,36
EV046,12/03/20,,5.372,,0.75,,,,7.44,11.904,40
EV046,12/04/20,,2.346,,0.36,,,,4.11,6.576,42
EV046,12/05/20,,0,,0,,,,0,0,35
EV046,12/06/20,,2.04,,0.33,,,,5.44,8.704,29
EV046,12/07/20,,0,,0,,,,0.39,0.624,
EV046,12/08/20,,0,,0,,,,0,0,
EV046,12/09/20,,0,,0,,,,0,0,
EV046,12/10/20,,0.255,,0.2,,,,0.39,0.624,
EV046,12/11/20,,0,,0,,,,0,0,43
EV046,12/12/20,,4.216,,0.48,,,,7.77,12.432,43
EV046,12/13/20,,0,,0,,,,0,0,36
EV046,12/14/20,,0,,0,,,,0,0,35
EV046,12/15/20,,24.786,,2.41,,,,43.4,69.44,
EV046,12/16/20,,7.446,,0.78,,,,11.21,17.936,
EV046,12/17/20,,24.344,,2.4,,,,44.24,70.784,
EV046,12/18/20,,0,,0,,,,0,0,
EV046,12/19/20,,0,,0,,,,0,0,26
EV046,12/20/20,,0,,0.03,,,,0.14,0.224,37
EV046,12/21/20,,0,,0,,,,0,0,37
EV046,12/22/20,,0,,0,,,,0,0,36
EV046,12/23/20,,0,,0,,,,0,0,39
EV046,12/24/20,,0,,0,,,,0,0,43
EV046,12/25/20,,0,,0,,,,0,0,
EV046,12/26/20,,0,,0,,,,0,0,
EV046,12/27/20,,0,,0,,,,0,0,
EV046,12/28/20,,0,,0,,,,0.54,0.864,31
EV046,12/29/20,,0,,0,,,,0,0,
EV046,12/30/20,,0,,0.1,,,,0.62,0.992,
EV046,12/31/20,,0.102,,0.33,,,,0.41,0.656,33
EV046,01/01/21,,0,,0,,,,0,0,31
EV046,01/02/21,,0,,0,,,,0,0,33
EV046,01/03/21,,0,,0,,,,0,0,34
EV046,01/04/21,,0,,0.63,,,,2.86,4.576,34
EV046,01/05/21,,0,,0.31,,,,0.7,1.12,34
EV046,01/06/21,,21.998,,3.31,,,,36.64,58.624,33
EV046,01/07/21,,14.059,,2.49,,,,34.95,55.92,31
EV046,01/08/21,,11.866,,2.29,,,,22.97,36.752,25
EV046,01/09/21,,17.663,,1.57,,,,30.64,49.024,27
EV046,01/10/21,,5.389,,1.51,,,,21.95,35.12,26
EV046,01/11/21,,55.573,,6.31,,,,97.3,155.68,31
EV046,01/12/21,,19.567,,2.92,,,,33.36,53.376,29
EV046,01/13/21,,1.989,,1.75,,,,18.99,30.384,
EV046,01/14/21,,18.955,,2.36,,,,25.13,40.208,34
EV046,01/15/21,,24.922,,3.47,,,,41.96,67.136,38
EV046,01/16/21,,0,,0,,,,0,0,34
EV046,01/17/21,,0,,0,,,,0,0,33
EV046,01/18/21,,0,,0.05,,,,0.46,0.736,32
EV046,01/19/21,,0,,0.25,,,,1.5,2.4,32
EV046,01/20/21,,8.058,,1.97,,,,19.44,31.104,29
EV046,01/21/21,,44.149,,4.32,,,,69.72,111.552,31
EV046,01/22/21,,68.816,,6.38,,,,115.04,184.064,
EV046,01/23/21,,5.032,,0.83,,,,11.41,18.256,22
EV046,01/24/21,,0.476,,0.13,,,,1.66,2.656,
EV046,01/25/21,,48.059,,4.85,,,,82.03,131.248,27
EV046,01/26/21,,57.001,,9.33,,,,107.7,172.32,29
EV046,01/27/21,,0,,0,,,,0.48,0.768,
EV046,01/28/21,,40.715,,4.43,,,,80.52,128.832,
EV046,01/29/21,,18.87,,3.12,,,,38,60.8,16
EV046,01/30/21,,0,,0,,,,0,0,16
EV046,01/31/21,,0,,0,,,,0,0,21
EV046,02/01/21,,0,,1.02,,,,6.44,10.304,
EV046,02/02/21,,23.698,,4.23,,,,49.07,78.512,25
EV046,02/03/21,,63.835,,6.75,,,,93.86,150.176,29
EV046,02/04/21,,55.896,,9.16,,,,93.2,149.12,27
EV046,02/05/21,,64.566,,7.18,,,,106.67,170.672,29
EV046,02/06/21,,39.474,,4.99,,,,75.86,121.376,20
EV046,02/07/21,,7,,1.75,,,,23.71,37.936,19
EV046,02/08/21,,0,,0.2,,,,1.43,2.288,13
EV046,02/09/21,,0,,0.96,,,,4.41,7.056,18
EV046,02/10/21,,0,,0.05,,,,0.05,0.08,14
EV046,02/11/21,,0,,0,,,,0,0,
EV046,02/12/21,,39,,5.7,,,,89.34,142.944,
EV046,02/13/21,,12,,1.6,,,,34.59,55.344,13
EV046,02/14/21,,12,,1.9,,,,29.12,46.592,16
EV046,02/15/21,,26,,4.51,,,,59.39,95.024,
EV046,02/16/21,,14,,2.15,,,,35.28,56.448,17
EV046,02/17/21,,25,,2.59,,,,50.58,80.928,13
EV046,02/18/21,,34,,4.47,,,,65.54,104.864,22
EV046,02/19/21,,0,,0,,,,0,0,25
EV046,02/20/21,,0,,0,,,,0,0,17
EV046,02/21/21,,22,,2.92,,,,43.31,69.296,21
EV046,02/22/21,,36,,5.85,,,,82,131.2,28
EV046,02/23/21,,41,,7.01,,,,83.74,133.984,34
EV046,02/24/21,,71,,8.98,,,,122.64,196.224,41
EV046,02/25/21,,0,,0,,,,0,0,35
EV046,02/26/21,,0,,0,,,,0,0,28
EV046,02/27/21,,0,,0,,,,0,0,32
EV046,02/28/21,,7,,0.77,,,,16.08,25.728,37
EV046,03/01/21,,2,,0.58,,,,5.08,8.128,31
EV046,03/02/21,,41,,5.09,,,,85.61,136.976,26
EV046,03/03/21,,0,,0,,,,0,0,31
EV046,03/04/21,,17,,2.57,,,,40.81,65.296,29
EV046,03/05/21,,0,,0,,,,0,0,24
EV046,03/06/21,,23,,3.1,,,,50.51,80.816,26
EV046,03/07/21,,0,,0,,,,0,0,24
EV046,03/08/21,,31,,3.92,,,,56.35,90.16,29
EV046,03/09/21,,0,,0,,,,8.06,12.896,37
EV046,03/10/21,,67,,8.13,,,,104.38,167.008,44
EV046,03/11/21,,0,,0,,,,0,0,42
EV046,03/12/21,,7,,0.72,,,,12.92,20.672,39
EV046,03/13/21,,19,,2.83,,,,37.17,59.472,27
EV046,03/14/21,,0,,0,,,,0,0,35
EV046,03/15/21,,0,,0,,,,0,0,26
EV046,03/16/21,,22,,2,,,,43.16,69.056,33
EV046,03/17/21,,30,,3.03,,,,50.95,81.52,
EV046,03/18/21,,0,,0,,,,0,0,
EV046,03/19/21,,7,,1.05,,,,17.28,27.648,31
EV046,03/20/21,,7,,0.82,,,,10.49,16.784,35
EV046,03/21/21,,0,,0,,,,0,0,44
EV046,03/22/21,,16,,1.88,,,,25.44,40.704,46
EV046,03/23/21,,0,,0,,,,0,0,50
EV046,03/24/21,,46,,5.32,,,,58.6,93.76,59
EV046,03/25/21,,62,,8.97,,,,89.69,143.504,53
EV046,03/26/21,,46,,6.49,,,,84.13,134.608,45
EV046,03/27/21,,37,,4.42,,,,58.35,93.36,46
EV046,03/28/21,,22,,2.57,,,,40.86,65.376,45
EV046,03/29/21,,40,,4.15,,,,77.46,123.936,31
