Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature
EV050,05/01/20,,9.52,,2.23,,,,23.42,37.472,67
EV050,05/02/20,,10.829,,1.67,,,,5.74,9.184,67
EV050,05/03/20,,4.743,,0.62,,,,2.46,3.936,66
EV050,05/04/20,,59.075,,6.25,,,,53.94,86.304,65
EV050,05/05/20,,59.143,,8.55,,,,49.28,78.848,69
EV050,05/06/20,,40.375,,4.28,,,,38.27,61.232,68
EV050,05/07/20,,83.657,,8.09,,,,51.76,82.816,72
EV050,05/08/20,,55.386,,9.94,,,,44.33,70.928,75
EV050,05/09/20,,70.941,,7.76,,,,68.18,109.088,77
EV050,05/10/20,,9.724,,0.87,,,,10.24,16.384,71
EV050,05/11/20,,57.851,,6.8,,,,60.24,96.384,66
EV050,05/12/20,,22.576,,3.27,,,,23.18,37.088,67
EV050,05/13/20,,30.872,,3.31,,,,21.38,34.208,62
EV050,05/14/20,,41.531,,6.23,,,,50.31,80.496,64
EV050,05/15/20,,46.206,,5.13,,,,59.35,94.96,66
EV050,05/16/20,,58.395,,8.47,,,,73.31,117.296,70
EV050,05/17/20,,1.071,,0.07,,,,0,0,69
EV050,05/18/20,,18.683,,2.38,,,,27.45,43.92,64
EV050,05/19/20,,58.072,,9.6,,,,59.05,94.48,60
EV050,05/20/20,,55.301,,4.52,,,,49.5,79.2,63
EV050,05/21/20,,3.06,,0.3,,,,0,0,69
EV050,05/22/20,,13.243,,1.6,,,,11.71,18.736,69
EV050,05/23/20,,99.518,,9.67,,,,84.19,134.704,70
EV050,05/24/20,,19.006,,2.47,,,,12.1,19.36,73
EV050,05/25/20,,50.575,,5.55,,,,35.25,56.4,80
EV050,05/26/20,,29.92,,2.5,,,,23.09,36.944,84
EV050,05/27/20,,17.748,,5.22,,,,14.87,23.792,88
EV050,05/28/20,,51.493,,7.19,,,,41.23,65.968,85
EV050,05/29/20,,138.652,,10.58,,,,126.96,203.136,78
EV050,05/30/20,,63.189,,6.65,,,,59.84,95.744,70
EV050,05/31/20,,46.291,,5.84,,,,45.39,72.624,68
EV050,06/01/20,,0,,0.1,,,,0.15,0.24,72
EV050,06/02/20,,71.213,,9.27,,,,77.19,123.504,78
EV050,06/03/20,,54.927,,6.35,,,,48.82,78.112,84
EV050,06/04/20,,61.829,,5.25,,,,52.08,83.328,86
EV050,06/05/20,,29.002,,4,,,,29.42,47.072,79
EV050,06/06/20,,42.534,,4.43,,,,50.4,80.64,66
EV050,06/07/20,,41.531,,4.07,,,,35.06,56.096,64
EV050,06/08/20,,62.424,,6.16,,,,58.83,94.128,68
