Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle,HV Acces. Energy,LV Acces. Energy,Elect. Heater Energy,Traction Energy
EV072,01/01/2020 12:58,01/01/2020 13:14,4.58,,,0.26666666666666666,93,91,2,7.46,40,,,,,0.25,0.77,0,6.43
EV072,01/01/2020 15:11,01/01/2020 17:57,24.7,,,2.433333333333333,90,79,11,50.33,29,,,,,2.78,6.37,5.4,35.77
EV072,01/01/2020 18:23,01/01/2020 19:51,17.630000000000003,,,1.3166666666666667,79,73,6,29.82,25,,,,,1.51,4.23,2.7,21.39
EV072,01/01/2020 20:20,01/01/2020 21:52,17.86,,,1.25,72,65,7,31.69,24,,,,,1.67,3.72,2.3,24
EV072,01/01/2020 22:20,01/01/2020 23:53,17.86,,,1.2666666666666666,65,57,8,37.28,28,,,,,1.32,4.11,2.75,29.1
EV072,01/02/2020 00:20,01/02/2020 00:38,5.98,,,0.31666666666666665,56,54,2,9.32,27,,,,,0.28,1.11,0,7.93
EV072,01/02/2020 06:54,01/02/2020 13:27,60.82,,,4.733333333333333,90,66,24,115.57,27,,,,,6.75,13.47,6.46,88.89
EV072,01/02/2020 13:50,01/02/2020 15:42,15.3,,,1.2166666666666666,65,59,6,29.82,31,,,,,1.8,3.37,0.56,24.09
EV072,01/02/2020 00:13,01/02/2020 00:38,5.98,,,0.43333333333333335,57,54,3,11.18,28,,,,,0.38,1.5,1.68,7.62
EV072,01/03/2020 07:07,01/03/2020 16:39,116.2,,,9.3,92,48,44,199.45,32,,,,,9.58,26.35,3.24,160.27
EV072,01/04/2020 06:23,01/04/2020 11:21,66.1,,,4.85,89,64,25,117.43,25,,,,,5.47,13.32,3.31,95.33
EV072,01/04/2020 12:22,01/04/2020 16:52,51.57,,,4.4,63,44,19,87.61,40,,,,,4.84,11.52,1.07,70.18
EV072,01/05/2020 06:00,01/05/2020 16:10,130.1,,,10,90,44,46,210.63,34,,,,,11.53,26.21,0.33,172.57
