Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Ending Odometer
EV087,05/01/20,,33.898,,8.48,,,,30.09,48.144,67.4,,
EV087,05/02/20,,54.519,,14.18,,,,57.51,92.016,67,,
EV087,05/03/20,,18.394,,8.59,,,,37.8,60.48,65.9,,
EV087,05/04/20,,27.03,,7.77,,,,24.54,39.264,67.4,,
EV087,05/05/20,,59.755,,15.37,,,,57.42,91.872,72.4,,
EV087,05/06/20,,65.297,,14.19,,,,56.5,90.4,75.3,,
EV087,05/07/20,,44.302,,10.9,,,,33.98,54.368,75.4,,
EV087,05/08/20,,48.892,,11.92,,,,44.64,71.424,73.5,,
EV087,05/09/20,,87.907,,15.07,,,,89.63,143.408,69.8,,
EV087,05/10/20,,31.96,,7.31,,,,34.21,54.736,66.2,,
EV087,05/11/20,,38.522,,9.91,,,,33.42,53.472,66.2,,
EV087,05/12/20,,42.092,,10.91,,,,40.42,64.672,61.9,,
EV087,05/13/20,,52.479,,13.29,,,,48.82,78.112,62,,
EV087,05/14/20,,57.613,,14.79,,,,51.87,82.992,63.9,,
EV087,05/15/20,,43.911,,11.59,,,,44.54,71.264,66.9,,
EV087,05/16/20,,50.014,,10.92,,,,54.89,87.824,69.6,,
EV087,05/17/20,,30.379,,9.6,,,,37.61,60.176,68.4,,
EV087,05/18/20,,44.557,,12.26,,,,40.23,64.368,64.5,,
EV087,05/19/20,,62.951,,15.42,,,,63.69,101.904,60.2,,
EV087,05/20/20,,64.974,,15.68,,,,66.45,106.32,62.3,,
EV087,05/21/20,,60.605,,14.92,,,,57.39,91.824,66.8,,
EV087,05/22/20,,46.359,,11.02,,,,41.87,66.992,65.7,,
EV087,05/23/20,,64.09,,14.23,,,,55.52,88.832,64.3,,
EV087,05/24/20,,13.073,,3.23,,,,18.89,30.224,67.1,,
EV087,05/25/20,,0,,0,,,,0,0,71.4,,
EV087,05/26/20,,33.541,,9.84,,,,29.86,47.776,74.6,,
EV087,05/27/20,,54.298,,17.11,,,,51.12,81.792,75.9,,
EV087,05/28/20,,67.218,,17.34,,,,65.52,104.832,70.7,,
EV087,05/29/20,,31.178,,9.64,,,,33.57,53.712,67,,
EV087,05/30/20,,65.96,,16.83,,,,78.71,125.936,65.7,,
EV087,05/31/20,,2.465,,3.8,,,,7.62,12.192,66.3,,
EV087,06/01/20,,41.004,,11.17,,,,40.54,64.864,70.6,,
EV087,06/02/20,,36.346,,10.59,,,,42.73,68.368,75.5,,
EV087,06/03/20,,44.302,,12.83,,,,44.52,71.232,78.2,,
EV087,06/04/20,,48.144,,10.26,,,,40.85,65.36,72.1,,
EV087,06/05/20,,40.205,,14.45,,,,45.44,72.704,64,,
EV087,06/06/20,,24.803,,5.78,,,,26.72,42.752,64.3,,
EV087,06/07/20,,55.454,,14.04,,,,57.09,91.344,69.7,,
EV087,06/08/20,,57.545,,11.22,,,,53.08,84.928,69.3,,
EV087,06/09/20,,87.227,,15.79,,,,68.32,109.312,72.8,,
EV087,06/10/20,,82.501,,15.75,,,,71.64,114.624,75.6,,
EV087,06/11/20,,61.217,,12.81,,,,59.69,95.504,76,,
EV087,06/12/20,,30.464,,9.3,,,,28.94,46.304,71.1,,
EV087,06/13/20,,61.03,,10.1,,,,68.65,109.84,67.2,,
EV087,06/14/20,,62.764,,10.93,,,,66.94,107.104,67.6,,
EV087,06/15/20,,27.506,,8.77,,,,23.62,37.792,71,,
EV087,06/16/20,,66.657,,12.59,,,,66.28,106.048,67.3,,
EV087,06/17/20,,59.381,,14.19,,,,60.6,96.96,67.7,,
EV087,06/18/20,,78.404,,17.91,,,,75.83,121.328,65.3,,
EV087,06/19/20,,74.732,,13.41,,,,73.9,118.24,64.8,,
EV087,06/20/20,,63.376,,12.18,,,,69.1,110.56,67,,
EV087,06/21/20,,13.175,,3.5,,,,15.65,25.04,68.6,,
EV087,06/22/20,,19.414,,6.62,,,,17.48,27.968,71,,
EV087,06/23/20,,69.819,,12.86,,,,65.67,105.072,72.3,,
EV087,06/24/20,,40.528,,10.66,,,,35.31,56.496,71.5,,
EV087,06/25/20,,45.849,,15.61,,,,46.68,74.688,69.4,,
EV087,06/26/20,,66.912,,18.4,,,,73.6,117.76,71.4,,
EV087,06/27/20,,62.067,,12.98,,,,57.64,92.224,71.3,,
EV087,06/28/20,,59.568,,12.75,,,,55,88,67.8,,
EV087,06/29/20,,54.383,,15.66,,,,44.99,71.984,66.8,,
EV087,06/30/20,,51.034,,14.73,,,,53.66,85.856,68.1,,
EV087,07/01/20,,76.67,,17.58,,,,78.26,125.216,67,,
EV087,07/02/20,,60.163,,14.42,,,,70.01,112.016,69.4,,
EV087,07/03/20,,41.956,,10.21,,,,49.85,79.76,73.2,,
EV087,07/04/20,,69.377,,15.68,,,,62.26,99.616,77.1,,
EV087,07/05/20,,57.817,,12.62,,,,51.92,83.072,78.5,,
EV087,07/06/20,,26.792,,9.34,,,,25.51,40.816,78.2,,
EV087,07/07/20,,48.858,,13.23,,,,41.11,65.776,76.4,,
EV087,07/08/20,,59.976,,17.69,,,,66.05,105.68,75.2,,
EV087,07/09/20,,57.868,,16.06,,,,59.52,95.232,73.2,,
EV087,07/10/20,,44.557,,14.66,,,,48.8,78.08,79.7,,
EV087,07/11/20,,46.903,,13.06,,,,40.48,64.768,83.5,,
EV087,07/12/20,,38.607,,13.98,,,,45.72,73.152,82.7,,
EV087,07/13/20,,34.204,,12.98,,,,33.09,52.944,78.7,,
