Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature
EV088,05/01/20,,39.678,,12.15,,,,43.79,70.064,67.4
EV088,05/02/20,,42.245,,11.11,,,,39.09,62.544,67
EV088,05/03/20,,27.659,,6.18,,,,30.26,48.416,65.9
EV088,05/04/20,,43.418,,15.49,,,,46.78,74.848,67.4
EV088,05/05/20,,34.204,,13.84,,,,40.05,64.08,72.4
EV088,05/06/20,,36.805,,16.24,,,,37.47,59.952,75.3
EV088,05/07/20,,32.64,,8.98,,,,32.7,52.32,75.4
EV088,05/08/20,,39.712,,15.76,,,,42.96,68.736,73.5
EV088,05/09/20,,48.671,,9.81,,,,45.25,72.4,69.8
EV088,05/10/20,,23.681,,5.72,,,,29.85,47.76,66.2
EV088,05/11/20,,44.285,,13.07,,,,42.58,68.128,66.2
EV088,05/12/20,,43.52,,13.09,,,,46.92,75.072,61.9
EV088,05/13/20,,45.067,,16.79,,,,47.16,75.456,62
EV088,05/14/20,,49.538,,14.23,,,,49.62,79.392,63.9
EV088,05/15/20,,33.099,,11.77,,,,38.9,62.24,66.9
EV088,05/16/20,,49.079,,12.28,,,,50.6,80.96,69.6
EV088,05/17/20,,27.319,,8.12,,,,28,44.8,68.4
EV088,05/18/20,,34.969,,13.33,,,,41.62,66.592,64.5
EV088,05/19/20,,50.082,,13.28,,,,49.78,79.648,60.2
EV088,05/20/20,,39.1,,13.21,,,,43.2,69.12,62.3
EV088,05/21/20,,43.673,,11.23,,,,43.01,68.816,66.8
EV088,05/22/20,,53.006,,14.37,,,,50.87,81.392,65.7
EV088,05/23/20,,54.111,,13,,,,57.65,92.24,64.3
EV088,05/24/20,,43.792,,11.67,,,,43.3,69.28,67.1
EV088,05/25/20,,34.408,,10.76,,,,37.47,59.952,71.4
EV088,05/26/20,,44.064,,10.93,,,,42.26,67.616,74.6
EV088,05/27/20,,51.068,,13.28,,,,47.08,75.328,75.9
EV088,05/28/20,,44.234,,12.12,,,,44.08,70.528,70.7
EV088,05/29/20,,60.469,,15.68,,,,67.8,108.48,67
EV088,05/30/20,,37.91,,9.5,,,,36.02,57.632,65.7
EV088,05/31/20,,19.431,,9.1,,,,29.23,46.768,66.3
EV088,06/01/20,,46.988,,12.95,,,,49.42,79.072,70.6
EV088,06/02/20,,46.308,,13.42,,,,48.65,77.84,75.5
EV088,06/03/20,,42.568,,12.25,,,,41.25,66,78.2
EV088,06/04/20,,39.95,,12.09,,,,42.78,68.448,72.1
EV088,06/05/20,,54.774,,13.49,,,,49.87,79.792,64
EV088,06/06/20,,55.828,,13.32,,,,68.93,110.288,64.3
EV088,06/07/20,,33.575,,10.29,,,,35.93,57.488,69.7
EV088,06/08/20,,53.941,,16.68,,,,56.06,89.696,69.3
EV088,06/09/20,,70.652,,16.18,,,,64.23,102.768,72.8
EV088,06/10/20,,63.716,,15.27,,,,55.14,88.224,75.6
EV088,06/11/20,,56.899,,15.74,,,,54.57,87.312,76
EV088,06/12/20,,36.125,,8.36,,,,30.65,49.04,71.1
EV088,06/13/20,,74.987,,14.77,,,,73.41,117.456,67.2
EV088,06/14/20,,37.451,,10.86,,,,36.64,58.624,67.6
EV088,06/15/20,,62.56,,14.82,,,,51.65,82.64,71
EV088,06/16/20,,65.144,,16.33,,,,53.64,85.824,67.3
EV088,06/17/20,,65.943,,17.11,,,,64.57,103.312,67.7
EV088,06/18/20,,60.673,,15.77,,,,53.96,86.336,65.3
EV088,06/19/20,,42.653,,12,,,,52.61,84.176,64.8
EV088,06/20/20,,38.182,,9.56,,,,43.39,69.424,67
EV088,06/21/20,,47.702,,11.54,,,,45.11,72.176,68.6
EV088,06/22/20,,64.022,,15.88,,,,59.62,95.392,71
EV088,06/23/20,,63.359,,15.7,,,,57.09,91.344,72.3
EV088,06/24/20,,76.908,,16,,,,78.45,125.52,71.5
EV088,06/25/20,,62.084,,14.94,,,,58.35,93.36,69.4
EV088,06/26/20,,66.725,,13.87,,,,68.49,109.584,71.4
EV088,06/27/20,,72.284,,14.75,,,,77.05,123.28,71.3
EV088,06/28/20,,65.467,,15.01,,,,61.69,98.704,67.8
EV088,06/29/20,,42.568,,12.74,,,,47.85,76.56,66.8
EV088,06/30/20,,79.662,,15.46,,,,77.11,123.376,68.1
EV088,07/01/20,,50.49,,14.27,,,,57.16,91.456,67
EV088,07/02/20,,53.142,,12.57,,,,57.5,92,69.4
EV088,07/03/20,,42.806,,11.53,,,,39.62,63.392,73.2
EV088,07/04/20,,41.497,,12.33,,,,43.01,68.816,77.1
EV088,07/05/20,,46.189,,8.88,,,,39.93,63.888,78.5
EV088,07/06/20,,43.588,,9.6,,,,38.3,61.28,78.2
EV088,07/07/20,,55.862,,12.01,,,,52.54,84.064,76.4
EV088,07/08/20,,58.99,,15.18,,,,54.71,87.536,75.2
EV088,07/09/20,,48.416,,10.8,,,,45.61,72.976,73.2
EV088,07/10/20,,51.238,,13.87,,,,59.32,94.912,79.7
EV088,07/11/20,,41.548,,10.16,,,,56.37,90.192,83.5
EV088,07/12/20,,57.766,,12.03,,,,45.79,73.264,82.7
EV088,07/13/20,,49.096,,11.37,,,,47.45,75.92,78.7
EV088,07/14/20,,68.595,,14.72,,,,61.89,99.024,72.3
EV088,07/15/20,,63.342,,14.29,,,,72.41,115.856,70.5
EV088,07/16/20,,54.23,,13.9,,,,54.83,87.728,70.9
EV088,07/17/20,,62.696,,14.48,,,,67.81,108.496,72.4
EV088,07/18/20,,32.436,,7.81,,,,39.89,63.824,74.2
EV088,07/19/20,,51.459,,11.4,,,,48.23,77.168,74
EV088,07/20/20,,34.221,,11.91,,,,41.79,66.864,74.7
EV088,07/21/20,,27.795,,9,,,,32.14,51.424,72.7
EV088,07/22/20,,35.343,,11.65,,,,45.76,73.216,72.2
EV088,07/23/20,,38.896,,12.03,,,,42.66,68.256,68.1
EV088,07/24/20,,25.483,,7.05,,,,34.49,55.184,69.8
EV088,07/25/20,,27.744,,7.85,,,,30.84,49.344,72.8
EV088,07/26/20,,0,,0,,,,0,0,76.7
EV088,07/27/20,,0,,0.32,,,,0.44,0.704,75.9
EV088,07/28/20,,9.367,,3.26,,,,10.75,17.2,75
EV088,07/29/20,,63.036,,14.26,,,,57.28,91.648,76.2
EV088,07/30/20,,27.166,,8.04,,,,29.66,47.456,80.3
EV088,07/31/20,,15.963,,4.24,,,,18.62,29.792,86
EV088,08/01/20,,39.304,,9.44,,,,42.38,67.808,84.5
EV088,08/02/20,,32.385,,9.03,,,,36.8,58.88,79
EV088,08/03/20,,51.68,,13.73,,,,46.96,75.136,79
EV088,08/04/20,,60.792,,15.11,,,,55.53,88.848,76.8
EV088,08/05/20,,43.452,,12.02,,,,41.25,66,71.3
EV088,08/06/20,,63.393,,12.26,,,,63.23,101.168,71
EV088,08/07/20,,79.305,,15.01,,,,71.84,114.944,72.8
EV088,08/08/20,,45.832,,11.78,,,,39.14,62.624,75
EV088,08/09/20,,29.733,,8.95,,,,36.43,58.288,76.8
EV088,08/10/20,,53.023,,12.76,,,,44.61,71.376,76.5
EV088,08/11/20,,49.419,,11.39,,,,45.5,72.8,77.3
EV088,08/12/20,,33.371,,11.47,,,,34.7,55.52,77.8
EV088,08/13/20,,26.588,,6.17,,,,25.67,41.072,84.1
EV088,08/14/20,,20.4,,8.79,,,,25.02,40.032,86.8
EV088,08/15/20,,9.214,,4.89,,,,10.11,16.176,89.3
EV088,08/16/20,,0,,0.07,,,,0.09,0.144,86.6
EV088,08/17/20,,0,,0.25,,,,0.25,0.4,87.2
EV088,08/18/20,,20.876,,7.32,,,,26.03,41.648,87.4
EV088,08/19/20,,21.998,,9.79,,,,23.55,37.68,87.1
EV088,08/20/20,,19.125,,8.78,,,,29.26,46.816,85.3
EV088,08/21/20,,34.799,,8.12,,,,36.71,58.736,85.2
EV088,08/22/20,,42.721,,9.58,,,,40.32,64.512,85.2
EV088,08/23/20,,0.255,,0.05,,,,0.32,0.512,81.6
EV088,08/24/20,,18.02,,4.95,,,,22.75,36.4,81.5
EV088,08/25/20,,23.035,,11.11,,,,31.22,49.952,81.7
EV088,08/26/20,,20.587,,7.6,,,,26.06,41.696,82
EV088,08/27/20,,25.109,,11.05,,,,36.59,58.544,82
EV088,08/28/20,,8.619,,3.97,,,,15,24,80
EV088,08/29/20,,30.396,,7.73,,,,35.47,56.752,76.3
EV088,08/30/20,,19.227,,7.18,,,,21.35,34.16,72.6
EV088,08/31/20,,27.047,,6.03,,,,24.42,39.072,72.2
EV088,09/01/20,,42.704,,10.89,,,,42.07,67.312,69.7
EV088,09/02/20,,43.979,,10.71,,,,39.29,62.864,73.4
EV088,09/03/20,,28.305,,7.79,,,,33.67,53.872,77.7
EV088,09/04/20,,42.398,,12.16,,,,46.63,74.608,81.9
EV088,09/05/20,,35.904,,11.52,,,,43.91,70.256,91.4
EV088,09/06/20,,12.376,,2.4,,,,10.94,17.504,92.5
EV088,09/07/20,,57.562,,14.3,,,,51.65,82.64,81.2
EV088,09/08/20,,54.808,,12.54,,,,49.88,79.808,73.1
EV088,09/09/20,,49.062,,13,,,,48.88,78.208,74.6
EV088,09/10/20,,48.161,,13.72,,,,46.59,74.544,72.4
EV088,09/11/20,,44.676,,13.74,,,,41.96,67.136,72.7
EV088,09/12/20,,29.104,,5.64,,,,30.73,49.168,73.7
EV088,09/13/20,,37.162,,10.46,,,,39.89,63.824,73.8
EV088,09/14/20,,71.553,,15.54,,,,70.28,112.448,75.4
EV088,09/15/20,,67.728,,14.83,,,,54.98,87.968,77.4
EV088,09/16/20,,64.549,,16.71,,,,61.9,99.04,77.3
