Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV092,05/01/20,,36.686,,14.62,,,,56.96,91.136,66.4,,
EV092,05/02/20,,22.712,,14.49,,,,41.82,66.912,66.6,,
EV092,05/03/20,,35.173,,15.25,,,,59.31,94.896,66.1,,
EV092,05/04/20,,27.489,,13.89,,,,45.97,73.552,67.6,,
EV092,05/05/20,,27.251,,12.33,,,,45.7,73.12,72.8,,
EV092,05/06/20,,25.279,,15.44,,,,42.55,68.08,74.9,,
EV092,05/07/20,,26.282,,10.38,,,,44,70.4,70.7,,
EV092,05/08/20,,31.875,,17.67,,,,54.7,87.52,65.8,,
EV092,05/09/20,,44.846,,18.72,,,,62.16,99.456,65.5,,
EV092,05/10/20,,44.387,,17.01,,,,50.32,80.512,65.2,,
EV092,05/11/20,,39.389,,18.25,,,,58.16,93.056,65.2,,
EV092,05/12/20,,33.388,,19.71,,,,56.56,90.496,63.1,,
EV092,05/13/20,,42.126,,17.72,,,,58.22,93.152,64.7,,
EV092,05/14/20,,35.241,,15.4,,,,47.21,75.536,65.6,,
EV092,05/15/20,,24.616,,12.32,,,,41.59,66.544,66,,
EV092,05/16/20,,42.007,,16.9,,,,58.82,94.112,68.3,,
EV092,05/17/20,,41.412,,20.41,,,,62.12,99.392,66.4,,
EV092,05/18/20,,31.059,,18.31,,,,57.9,92.64,64.8,,
EV092,05/19/20,,21.301,,9.35,,,,42.71,68.336,63.6,,
EV092,05/20/20,,15.572,,8.68,,,,29.65,47.44,65,,
EV092,05/21/20,,16.286,,7.42,,,,24.03,38.448,68.5,,
EV092,05/22/20,,10.761,,7.51,,,,23.69,37.904,64.3,,
EV092,05/23/20,,6.426,,7.26,,,,19.14,30.624,65.2,,
EV092,05/24/20,,33.711,,15.76,,,,48.66,77.856,65.9,,
EV092,05/25/20,,16.065,,13.76,,,,32.88,52.608,66.6,,
EV092,05/26/20,,24.718,,13.97,,,,43.49,69.584,66.8,,
EV092,05/27/20,,29.24,,15.93,,,,47.18,75.488,63.9,,
EV092,05/28/20,,38.488,,18.94,,,,57.8,92.48,63.8,,
EV092,05/29/20,,21.913,,12.74,,,,35.99,57.584,64.7,,
EV092,05/30/20,,51.034,,20.29,,,,77.65,124.24,67.4,,
EV092,05/31/20,,22.202,,15.11,,,,49.12,78.592,67,,
EV092,06/01/20,,20.128,,12.85,,,,45.9,73.44,70.4,,
