Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV093,02/18/20,,46.4,3.9,5.3,8.5,86.2,21.4,64.8,95.7,66,2520.3,2566.6
EV093,02/19/20,,48.9,8.4,5.8,13.3,99.9,37,62.8,103.5,64,2566.6,2615.6
EV093,02/21/20,,27.3,6.2,3.4,9.1,99.1,47.6,51.5,79.9,70,2615.6,2643.8
EV093,03/16/20,,26.1,7.4,2.6,9.7,99.3,36.7,62.6,99.4,61,2643.8,2669.9
EV093,03/28/20,,23.6,1.4,2.5,3.5,100,59.2,40.7,71.6,64,2673.4,2697.2
EV093,04/03/20,,3.7,6,0.4,6.3,99.9,95.6,4.3,9.6,66,2697.2,2701.5
EV093,04/30/20,,3.7,4.5,5,8.7,98.5,39,59.4,101.5,71,2701.5,2748.4
EV093,05/02/20,,50.6,3.6,5.7,8.5,100,19,80.9,122.6,78,2748.4,2799.2
EV093,05/06/20,,22.2,4.1,5.4,8.7,100,28.4,71.6,111.8,91,2799.2,2848.7
EV093,05/07/20,,4.2,5.6,0.4,6,99.9,92.8,7.1,8,81,2848.7,2853.1
EV093,05/08/20,,22.2,4.7,4.9,8.9,96.2,37.3,58.8,93.8,73,2853.1,2896.3
EV093,05/09/20,,43.9,6.4,5.2,10.8,99.9,47.9,52,95,71,2896.3,2940.3
EV093,05/11/20,,47.5,9,5.5,13.7,98.2,40,58.2,100.4,72,2940.3,2989.7
EV093,05/12/20,,63.1,9.7,6,14.8,99.8,24.8,75.1,116.4,69,2989.7,3042.7
EV093,05/13/20,,47.2,9.3,5.3,14,99.9,30.7,69.2,109.8,71,3042.7,3090
EV093,05/15/20,,52.6,4.1,5.5,9,100,33.4,66.6,106.3,77,3090,3142.6
EV093,05/16/20,,51.6,9,5.4,13.6,99.8,30.1,69.7,110.2,74,3142.6,3194.3
EV093,05/18/20,,51.8,3.6,6,8.9,99.8,20.5,79.3,120.8,72,3194.3,3246.2
EV093,05/19/20,,47.1,9.5,5.6,14.4,99.6,36.8,62.8,102.1,70,3246.2,3293.4
EV093,05/20/20,,3.6,5.8,0.4,6.1,99.9,92.8,7.1,7.7,74,3293.4,3297.1
EV093,05/21/20,,50.2,3.8,5.5,8.7,96.3,18.1,78.3,118.2,81,3297.1,3347.5
EV093,05/22/20,,49.6,9.6,5.5,14.3,99.5,36.3,63.2,102.3,70,3347.5,3397.2
