Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV096,06/04/18,,,0.053633611,,,,,0.5,,60,,
EV096,06/05/18,,0.6928387,3.374943056,0.111004444,3.4861625,,,1,5.77203,56,,
EV096,06/06/18,,0.5033178,1.521296944,0.055803889,1.578397778,,,0.5,1.59978,57,,
EV096,06/07/18,,0.2112692,0.416818889,0.044342222,1.297910278,,,1,2.93547,62,,
EV096,06/08/18,,0.2236968,0.152313333,0.024830278,0.177626111,,,0.5,0.59109,59,,
EV096,06/09/18,,,,,,,,,,58,,
EV096,06/11/18,,,,,,,,,,59,,
EV096,06/12/18,,0.3324383,0.059914722,0.049793611,,,,,0.70872,63,,
EV096,06/13/18,,,0.028889722,,,,,0.5,0.08194,67,,
EV096,06/18/18,,,,,,,,,,70,,
EV096,06/19/18,,,,,,,,,,65,,
EV096,06/22/18,,0.2019485,0.923080278,0.0371625,0.960773611,,,3,7.25747,65,,
EV096,06/23/18,,,,,,,,,,67,,
EV096,06/25/18,,,0.002797222,,,,,0.5,,57,,
EV096,06/27/18,,,2.099238056,,,,,8,19.7801,64,,
EV096,06/28/18,,,0.012979722,,,,,0.5,0.05068,72,,
EV096,07/03/18,,,0.202041667,,,,,2,0.41037,72,,
EV096,07/09/18,,6.7388661,0.8466925,0.291026389,,,,5,15.00754,75,,
EV096,07/10/18,,,,,,,,,,71,,
EV096,07/16/18,,,0.066761667,,,,,31,0.60744,69,,
EV096,07/17/18,,9.7183832,0.872466944,0.494702222,,,,17.5,37.69679,65,,
EV096,07/18/18,,,,,,,,,,67,,
EV096,07/19/18,,,,,,,,,,69,,
EV096,07/20/18,,,,,,,,,,68,,
EV096,07/23/18,,,,,,,,,,65,,
EV096,07/24/18,,,,,,,,,,71,,
EV096,07/25/18,,,,,,,,,,66,,
EV096,07/26/18,,,,,,,,,,63,,
EV096,07/27/18,,,,,,,,,,62,,
EV096,07/30/18,,,,,,,,,,69,,
EV096,07/31/18,,,,,,,,,,73,,
EV096,08/01/18,,,,,,,,,,64,,
EV096,08/04/18,,,,,,,,,,63,,
EV096,08/06/18,,,,,,,,,,68,,
EV096,08/07/18,,,,,,,,,,64,,
EV096,08/09/18,,,,,,,,,,75,,
EV096,08/10/18,,,,,,,,,,74,,
EV096,08/13/18,,,,,,,,,,78,,
EV096,08/14/18,,,,,,,,,,74,,
EV096,08/15/18,,,,,,,,,,66,,
EV096,08/16/18,,,,,,,,,,67,,
EV096,08/17/18,,,,,,,,,,69,,
EV096,08/20/18,,,,,,,,,,69,,
EV096,08/21/18,,,,,,,,,,63,,
EV096,08/22/18,,,,,,,,,,65,,
EV096,08/23/18,,,,,,,,,,68,,
EV096,08/24/18,,,,,,,,,,67,,
EV096,08/25/18,,,,,,,,,,66,,
EV096,08/27/18,,,,,,,,,,71,,
EV096,08/28/18,,,,,,,,,,57,,
EV096,08/29/18,,,,,,,,,,58,,
EV096,08/30/18,,,,,,,,,,61,,
EV096,08/31/18,,,,,,,,,,68,,
EV096,09/01/18,,,,,,,,,,71,,
EV096,09/02/18,,,,,,,,,,68,,
EV096,09/03/18,,,,,,,,,,64,,
EV096,09/04/18,,,,,,,,,,65,,
EV096,09/05/18,,,,,,,,,,66,,
EV096,09/06/18,,,,,,,,,,56,,
EV096,09/07/18,,,0.0736025,,,,,,0.35727,62,,
EV096,09/09/18,,,,,,,,,,58,,
EV096,09/10/18,,,0.043411111,,,,,,0.14258,60,,
EV096,09/11/18,,,0.002743333,,,,,,,70,,
EV096,09/12/18,,,,,,,,,,72,,
EV096,09/13/18,,,,,,,,,,71,,
EV096,09/14/18,,,,,,,,,,74,,
EV096,09/18/18,,,,,,,,,,56,,
EV096,09/19/18,,,,,,,,,,55,,
EV096,09/20/18,,,,,,,,,,55,,
EV096,09/21/18,,,,,,,,,,54,,
EV096,09/22/18,,,,,,,,,,49,,
EV096,09/24/18,,,,,,,,,,57,,
EV096,09/25/18,,,0.496025556,,,,,,0.45913,51,,
EV096,09/26/18,,,1.246858056,,,,,0.5,2.61418,48,,
EV096,09/27/18,,0.6679835,1.086936111,0.082139167,1.171809444,,,0.5,2.06505,50,,
EV096,09/28/18,,,0.025667222,,,,,,,44,,
EV096,09/29/18,,,,,,,,,,38,,
EV096,10/01/18,,,,,,,,,,44,,
EV096,10/02/18,,6.7388661,1.243473333,0.261260556,10.18541107,,,8,15.37074547,48,,
EV096,10/03/18,,10.4267564,0.607116111,0.387574167,0.994888099,,,6.5,15.78138453,53,,
EV096,10/04/18,,14.9100131,0.235776944,0.478977222,0.714770278,,,7.5,24.53781,41,,
EV096,10/05/18,,,,,,,,,,42,,
EV096,10/08/18,,,,,,,,,,45,,
EV096,10/09/18,,,,,,,,,,44,,
EV096,10/10/18,,,,,,,,,,42,,
EV096,10/11/18,,,,,,,,,,35,,
EV096,10/12/18,,,,,,,,,,32,,
EV096,10/13/18,,,,,,,,,,37,,
EV096,10/14/18,,,,,,,,,,35,,
EV096,10/15/18,,,,,,,,,,35,,
EV096,10/16/18,,,,,,,,,,40,,
EV096,10/17/18,,,,,,,,,,35,,
EV096,10/18/18,,,,,,,,,,43,,
EV096,10/19/18,,,,,,,,,,57,,
EV096,10/22/18,,,,,,,,,,42,,
EV096,10/23/18,,,,,,,,,,40,,
EV096,10/24/18,,,,,,,,,,37,,
EV096,10/25/18,,,,,,,,,,44,,
EV096,10/26/18,,,,,,,,,,45,,
EV096,10/29/18,,,0.943486944,,,,,3,8.91285,40,,
EV096,10/30/18,,,,,,,,,,43,,
EV096,10/31/18,,,,,,,,,,38,,
EV096,11/01/18,,6.8010041,1.558536667,0.268335,,,,5,17.67091,34,,
EV096,11/02/18,,,,,,,,,,35,,
EV096,11/03/18,,,,,,,,,,37,,
EV096,11/04/18,,,,,,,,,,36,,
EV096,11/05/18,,,0.516696389,,,,,0.5,0.8245,36,,
EV096,11/06/18,,,,,,,,,,37,,
EV096,11/07/18,,,,,,,,,,31,,
EV096,11/08/18,,,,,,,,,,24,,
EV096,11/09/18,,,,,,,,,,20,,
EV096,11/10/18,,,,,,,,,,15,,
EV096,11/11/18,,,,,,,,,,20,,
EV096,11/12/18,,,4.394618889,,,,,2,7.21582,19,,
EV096,11/13/18,,,0.557365556,,,,,0.5,0.7463,10,,
EV096,11/14/18,,,,,,,,,,20,,
EV096,11/15/18,,,1.867468611,,,,,1,4.80008,33,,
EV096,11/16/18,,,0.332834444,,,,,0.5,0.91992,28,,
EV096,11/17/18,,,,,,,,,,19,,
EV096,11/18/18,,,,,,,,,,15,,
EV096,11/19/18,,,1.769683611,,,,,2,7.38639,19,,
EV096,11/20/18,,,,,,,,,,7,,
EV096,11/21/18,,,1.762543333,,,,,0.5,2.50346,15,,
EV096,11/22/18,,,,,,,,,,21,,
EV096,11/23/18,,,,,,,,,,35,,
EV096,11/24/18,,,,,,,,,,36,,
EV096,11/25/18,,,,,,,,,,23,,
EV096,11/26/18,,0.372828,2.122716667,0.041537222,2.164539722,,,2,6.00162,13,,
EV096,11/27/18,,,1.015996667,,,,,1.5,3.57166,15,,
EV096,11/28/18,,,0.168948889,,,,,0.5,1.85344,15,,
EV096,11/29/18,,,6.370714167,,,,,3,9.38873,25,,
EV096,11/30/18,,,0.5679225,,,,,0.5,0.78681,28,,
EV096,12/03/18,,,3.654424444,,,,,1.5,6.06848,24,,
EV096,12/04/18,,,2.885916944,,,,,,,18,,
EV096,12/05/18,,,1.142258056,,,,,1,4.22452,22,,
EV096,12/06/18,,4.9368641,0.632117778,0.242505,3.403066667,,,106.5,13.33226,16,,
EV096,12/07/18,,0.7239077,12.47494667,0.095220556,12.57779833,,,5,12.21892,9,,
EV096,12/08/18,,,20.90295167,,,,,,,14,,
EV096,12/10/18,,,13.34164889,,,,,4,13.96928,22,,
EV096,12/11/18,,43.1828031,16.50585,1.041036667,17.54720139,,,29.5,94.79732,20,,
EV096,12/12/18,,,,,,,,,,26,,
EV096,12/13/18,,0.4629281,7.4728275,0.106453611,12.64901694,,,3,9.16759,29,,
EV096,12/14/18,,,23.99954778,,,,,0.5,1.6163,29,,
EV096,12/15/18,,,0.246678056,,,,,,,32,,
EV096,12/17/18,,,12.17487194,,,,,,0.06288,24,,
EV096,12/18/18,,,6.869113056,0.005930556,,,,5,15.8981,27,,
EV096,12/19/18,,,,,,,,,,32,,
EV096,12/20/18,,,3.539256667,,,,,92.5,5.33646,33,,
EV096,12/21/18,,17.5508781,2.361378056,1.039343611,5.628888611,,,13,48.18174593,18,,
EV096,12/22/18,,0.3137969,1.034651111,0.043071389,,,,2,2.149544068,22,,
EV096,12/23/18,,,0.007626389,,,,,,,24,,
EV096,12/24/18,,0.1770933,0.370171667,0.038485833,0.408674167,,,,1.84344,19,,
EV096,12/25/18,,,,,,,,,,19,,
EV096,12/26/18,,,,,,,,,,19,,
EV096,12/27/18,,,1.537558333,0.006666667,9.460739167,,,0.5,0.28057,31,,
EV096,12/28/18,,6.7512937,1.576009722,0.337706389,7.414776111,,,3.5,16.85985,20,,
EV096,12/29/18,,,,,,,,,,2,,
EV096,12/31/18,,15.7488761,0.998118611,0.813211667,6.396529722,,,11,44.69253,22,,
EV096,01/01/19,,,,,,,,,,-2,,
EV096,01/02/19,,,0.988739722,,,,,,1.78249,2,,
EV096,01/03/19,,0.3293314,3.967548611,0.054254444,4.022220278,,,1.5,7.3094,24,,
EV096,01/04/19,,17.4421366,5.415756667,0.919976667,14.26997831,,,10.5,39.96524,31,,
EV096,01/05/19,,,10.73555722,,,,,,0.00824,30,,
EV096,01/06/19,,,,,,,,,,23,,
EV096,01/07/19,,83.5818238,3.880121111,4.103398889,15.18810833,,,73,257.70456,32,,
EV096,01/08/19,,0.1739864,1.327086389,0.040632222,,,,,1.66423,26,,
EV096,01/09/19,,60.0781253,2.303276111,2.612289444,4.916284167,,,25,130.77659,9,,
EV096,01/10/19,,,0.0759675,,,,,,0.16168,8,,
EV096,01/11/19,,,0.035330278,,,,,,0.15259,21,,
EV096,01/14/19,,44.6834358,1.968805833,2.032591667,12.8258825,,,27.5,99.95804,30,,
EV096,01/15/19,,94.3130564,2.436381667,4.487065278,17.3906675,,,60.5,218.86535,19,,
EV096,01/16/19,,,0.096321944,,,,,,0.11791,7,,
EV096,01/17/19,,0.4784626,1.132446667,0.085855556,,,,,3.02948,3,,
EV096,01/18/19,,,1.267141111,,,,,,0.02837,-1,,
EV096,01/21/19,,,5.0632975,,,,,,0.0591,2,,
EV096,01/22/19,,100.3311217,3.591336667,5.722506389,18.79268167,,,100.5,347.45379,15,,
EV096,01/23/19,,,0.066813333,,,,,,0.15152,13,,
EV096,01/24/19,,,0.886798889,1.39E-05,0.887054444,,,,2.19402,8,,
EV096,01/25/19,,0.5778834,5.873988611,0.1124425,12.74492139,,,22,76.80855,-12,,
EV096,01/26/19,,,,,,,,,,-9,,
EV096,01/28/19,,,,,,,,,,5,,
EV096,01/29/19,,,2.024408056,,,,,0.5,5.4585,-10,,
EV096,01/30/19,,,0.032394167,0.005381944,,,,,0.3106,-23,,
EV096,01/31/19,,,2.633421389,,,,,1,5.31091,-21,,
EV096,02/01/19,,0.1522381,1.343972222,0.032765556,7.348909722,,,,0.5475,-3,,
EV096,02/02/19,,,,,,,,,,15,,
EV096,02/04/19,,37.90418,6.6799768,1.840781944,12.87961902,,,36.5,129.9901255,18,,
EV096,02/05/19,,0.6058455,0.518208477,0.083488056,1.880676255,,,0.5,2.463704529,2,,
EV096,02/06/19,,113.0165944,3.089911389,5.234282222,18.45617194,,,100.5,351.32508,16,,
EV096,02/07/19,,52.4227237,3.842063611,2.628164444,10.83251722,,,43,155.05061,15,,
EV096,02/08/19,,0.1335967,0.097909167,0.014261111,0.112563056,,,,0.44191,-2,,
EV096,02/09/19,,0.4629281,0.329322778,0.061173611,0.391091111,,,,1.51379,-7,,
EV096,02/10/19,,,,,,,,,,9,,
EV096,02/11/19,,0.2299106,1.072403889,0.050006667,,,,1.5,3.85397,17,,
EV096,02/12/19,,0.745656,0.259508889,0.114034722,,,,0.5,1.87454,21,,
EV096,02/13/19,,96.4754588,2.386755833,4.494168611,15.11956028,,,76.5,271.52595,18,,
EV096,02/14/19,,108.9558761,2.946135644,5.647001944,18.05168814,,,100.5,346.373288,18,,
