Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV106,10/1/2020,,23.23928259,8.559179167,0.6762675,9.235446667,,,16.82,32.72211,77,,1014.574883
EV106,10/2/2020,,38.40073968,6.567315833,0.981278889,7.548594722,,,28.4,56.75064,75,,1053.348445
EV106,10/3/2020,,64.99542671,7.257125,1.716110556,8.973235556,,,44.39,87.52956,76,,1118.59242
EV106,10/5/2020,,66.23816909,0.305598889,0.837744167,1.143343056,,,12.8,27.54127,74,,1185.079138
EV106,10/6/2020,,67.97800843,10.53576639,1.763288889,12.29905528,,,43.61,86.06445,72,,1253.802792
EV106,10/7/2020,,61.26719955,1.351024722,1.718625,3.069649722,,,34.8,69.64234,70,,1315.815637
EV106,10/9/2020,,70.21494472,7.039375556,1.593961667,8.633337222,,,39.6,78.67227,64,,1386.900501
EV106,10/10/2020,,73.19752645,8.311797222,1.619834444,9.931631667,,,46.79,91.46493,68,,1461.713593
EV106,10/12/2020,,59.27881174,9.730901111,1.485640556,11.21654167,,,36.4,72.77674,68,,1531.679989
EV106,10/13/2020,,71.70623558,8.888428056,1.343535278,10.23196333,,,33.59,65.47667,69,,1604.256144
EV106,10/14/2020,,62.26139346,11.26211917,1.633707222,12.89582639,,,40,77.56466,75,,1667.511731
EV106,10/16/2020,,72.0790583,9.151365833,1.663075278,10.81444111,,,43.6,84.81514,74,,1740.087887
EV106,10/17/2020,,75.55873698,0.962021944,1.486377222,2.448399167,,,43.19,83.47759,73,,1817.759286
EV106,10/19/2020,,58.78171479,2.274367778,0.720113056,2.994480833,,,18.8,35.17164,71,,1877.162372
EV106,10/20/2020,,69.22075082,5.850820278,1.681290556,7.532110833,,,44.01,85.83349,71,,1948.247236
EV106,10/21/2020,,59.1545375,7.103100833,1.085298889,8.188399722,,,25.2,48.89478,69,,2007.650322
EV106,10/27/2020,,70.4634932,10.75508222,2.068552222,12.82363444,,,53.2,103.36464,57,,2293.853893
EV106,10/28/2020,,63.00703889,7.045465,1.861138056,8.906603056,,,47.2,90.9331,59,,2356.985206
EV106,10/29/2020,,60.14873141,11.16937361,2.045213056,13.21458667,,,43.2,86.2136,60,,2417.258212
EV106,10/30/2020,,74.44026883,10.88382444,2.294351667,13.17817611,,,55.2,107.27737,60,,2491.822755
EV106,10/31/2020,,76.30438241,12.40525,2.080864722,14.48611472,,,55.2,108.67052,59,,2568.251412
EV106,11/2/2020,,70.21494472,6.720216944,2.511440833,9.231657778,,,47.2,93.53971,61,,2638.590631
EV106,11/25/2020,,67.85373419,1.193373611,3.548971944,4.742345556,,,52.8,95.24553,49,,3671.806649
EV106,11/27/2020,,65.11970095,2.382383333,3.968815278,6.351198611,,,45.6,95.66848,45,,3737.423447
EV106,11/28/2020,,76.30438241,1.707878611,4.072261389,5.78014,,,64.8,116.96483,46,,3813.852104
EV106,11/30/2020,,15.78282828,0.692249444,0.467921389,1.160170833,,,9.2,14.21828,47,,3829.759206
EV106,12/1/2020,,70.09067048,1.561427222,4.232055833,5.793483056,,,46.8,124.06838,47,,3900.222699
EV106,12/2/2020,,67.72945995,4.400338056,2.718725278,7.119063333,,,50.4,100.26859,48,,3968.449256
EV106,12/3/2020,,8.450648214,0.208211667,0.256798333,0.46501,,,7.6,12.2724,50,,3977.024179
EV106,12/4/2020,,17.52266762,0.221216944,0.735755833,0.956972778,,,11.2,20.19247,50,,3995.913863
EV106,12/5/2020,,76.05583393,3.235158611,4.729851389,7.96501,,,64.79,120.88148,49,,4072.218245
EV106,12/7/2020,,56.04768154,0.758000833,4.579284167,5.337285,,,39.99,103.14134,52,,4129.260121
EV106,12/8/2020,,69.46929929,2.511923889,6.464405556,8.976329444,,,54.4,102.8477,48,,4199.226517
EV106,12/9/2020,,57.91179512,1.469183889,3.461138333,4.930322222,,,48,84.68047,48,,4258.132506
EV106,12/11/2020,,65.86534638,2.235418333,3.752526944,5.987945278,,,54.4,156.68045,45,,4324.370675
EV106,12/12/2020,,9.693390599,0.881744444,0.3360225,1.217766944,,,10.8,16.51975,47,,4334.18834
EV106,12/17/2020,,37.65509425,1.404381944,0.995973611,2.400355556,,,25.21,50.56222,51,,4372.713354
EV106,12/21/2020,,64.12550704,2.780346111,4.499894167,7.280240278,,,52.8,143.88583,40,,4437.584506
EV106,12/22/2020,,69.96639625,3.309643611,2.931821389,6.241465,,,62.38,129.33867,41,,4507.923725
EV106,12/23/2020,,56.04768154,0.888525833,4.742355278,5.630881111,,,42.42,95.69062,41,,4564.34423
EV106,12/28/2020,,0.248548477,0.167054167,0.041818611,0.208872778,,,0.8,0.98637,48,,4564.717052
EV106,12/31/2020,,4.349598346,0.147539167,0.168558611,0.316097778,,,5.2,8.13449,48,,4569.315199
EV106,1/5/2021,,70.09067048,0.157308889,1.840891111,1.9982,,,62,104.87385,45,,4639.778692
EV106,1/6/2021,,54.43211644,0.1563675,1.627525833,1.783893333,,,51.21,84.86897,45,,4694.459357
EV106,1/8/2021,,56.04768154,0.208996944,1.662522778,1.871519722,,,54.8,88.01183,46,,4751.749781
EV106,1/9/2021,,76.18010817,0.092630556,1.6493475,1.741978056,,,58.41,96.32861,45,,4828.178438
EV106,1/11/2021,,60.02445717,0.562384167,2.302988611,2.865372778,,,58.8,94.8522,45,,4888.451444
EV106,1/12/2021,,71.08486439,0.230997222,2.303262778,2.53426,,,63.2,103.81155,47,,4959.660582
EV106,1/13/2021,,52.94082558,0.128604444,1.696745556,1.82535,,,50.4,83.63903,53,,5012.725682
EV106,1/14/2021,,48.83977571,0.189633056,1.390438611,1.580071667,,,37.6,61.12904,52,,5061.689732
EV106,1/15/2021,,71.58196135,0.328785,2.496998611,2.825783611,,,66.8,111.84228,51,,5133.520242
EV106,1/16/2021,,81.52390042,0.198600556,2.326534444,2.525135,,,79.2,130.9733,53,,5215.416965
EV106,1/19/2021,,69.59357353,0.210562222,1.8458025,2.056364722,,,70.8,113.78531,58,,5285.383361
EV106,1/20/2021,,52.07090591,0.140400833,1.500141389,1.640542222,,,48.8,78.39382,50,,5337.82709
EV106,1/22/2021,,60.27300565,0.207482222,1.8380075,2.045489722,,,54.8,87.770135,46,,5398.472918
EV106,1/23/2021,,75.93155969,0.106378889,1.918025556,2.024404444,,,68.41,108.152788,44,,5474.777301
EV106,1/25/2021,,52.07090591,0.220176389,1.501953056,1.722129444,,,46.4,72.16699,45,,5533.559015
EV106,1/26/2021,,68.97220234,0.156817778,1.816566389,1.973384167,,,65.61,98.148659,38,,5603.525412
EV106,1/27/2021,,52.6922771,0.2920725,1.666233333,1.958305833,,,54.4,79.319848,43,,5656.466237
EV106,1/28/2021,,0.248548477,0.007417778,0.032917778,0.040335556,,,0.4,0.279107,48,,5656.963334
