Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV108,10/01/20,9,39.74591779,0.205555556,1.549546667,1.753055556,,,27.42972379,52.64978166,77,28467.77433,28507.52025
EV108,10/02/20,11,39.81781259,0.148055556,1.625658333,1.771111111,,,27.03206247,52.64336108,75,35281.56542,35321.38323
EV108,10/03/20,12,65.52907569,0.103888889,2.497026944,2.598055556,,,42.04321314,80.48297254,76,39033.45757,39098.98665
EV108,10/05/20,19,56.43542223,0.099444444,2.915551944,3.010833333,,,43.88308575,84.61312231,74,62943.00934,62999.44476
EV108,10/06/20,17,28.08067193,0.263611111,1.891646389,2.151388889,,,17.33999669,35.03418664,72,57067.47748,57095.55816
EV108,10/08/20,16,67.78514068,0.516388889,2.792202222,3.304444444,,,48.06412082,91.56693531,66,54526.94706,54594.7322
EV108,10/10/20,13,23.67912584,0.601388889,1.52781,2.126111111,,,16.06783965,32.38587011,68,44915.20629,44938.88541
EV108,10/11/20,1,0,0.001944444,0.033871389,0.035555556,,,0,0.213634363,69,3469.706236,3469.706236
EV108,10/12/20,13,50.69987122,0.252777778,2.117496944,2.366944444,,,33.95912937,65.5412017,68,45365.91414,45416.61402
EV108,10/13/20,14,44.54575711,0.508333333,2.515865833,3.020833333,,,29.1841092,56.10762428,69,49506.54107,49551.08683
EV108,10/15/20,12,58.58622339,0.405555556,2.245815,2.648333333,,,40.79767523,77.9259555,74,43059.41943,43118.00565
EV108,10/16/20,13,42.87529767,0.654166667,2.359494444,3.010555556,,,28.36301131,54.75701922,74,47380.30536,47423.18066
EV108,10/17/20,18,51.20901731,0.851666667,2.655775278,3.502777778,,,32.47680561,64.11725649,73,66504.32098,66555.52999
EV108,10/19/20,12,1.648603591,0.001666667,1.163575556,1.164722222,,,-0.318518777,0,71,45408.10719,45409.7558
EV108,10/20/20,13,3.169842464,0.004444444,2.237257778,2.241666667,,,-0.612430029,0,71,49652.23026,49655.4001
EV108,10/21/20,12,2.705751292,0.005277778,1.909704722,1.914722222,,,-0.522765204,0,69,46233.28301,46235.98876
EV108,10/22/20,15,0.997200297,0.002777778,0.703818611,0.705833333,,,-0.192664277,0,67,58322.51469,58323.51189
EV108,10/23/20,18,1.381372486,0.045833333,0.974965278,1.02,,,-0.2668123,0.000696379,66,70599.55429,70600.93566
EV108,10/24/20,15,23.41004582,0.618611111,2.117880278,2.734166667,,,17.9657274,34.40240411,62,59125.13211,59148.54216
EV108,10/26/20,14,12.5146352,0.855555556,1.673506111,2.527222222,,,13.39894578,28.66504396,58,55551.68629,55564.20093
EV108,10/27/20,18,29.00633374,0.7525,3.236509444,3.986111111,,,20.74529973,39.37854994,57,71882.88625,71911.89258
EV108,10/28/20,1,0.063346431,0,0.066944444,0.066944444,,,-0.043848299,0,59,4030.789876,4030.853222
EV108,10/29/20,10,37.71155052,0.558888889,2.614617222,3.171944444,,,31.02816715,58.83138436,60,40671.45523,40709.16678
EV108,10/30/20,8,79.90491622,0.384166667,3.608228056,3.991111111,,,53.3433227,102.1482676,60,32955.62383,33035.52874
EV108,11/02/20,5,43.58748777,0.836388889,2.662775,3.498888889,,,29.46746877,58.45454745,61,20925.05528,20968.64277
EV108,11/03/20,1,6.887579908,0.448333333,0.447222222,0.895555556,,,6.437491323,12.44154144,63,4199.98125,4206.868829
EV108,11/04/20,9,42.43093648,0.107777778,2.117204722,2.224722222,,,-1.321990795,0.123495185,61,38077.26496,38119.6959
EV108,11/05/20,3,0.60003696,0.002222222,0.375848056,0.377777778,,,-0.239582589,0,62,12861.62743,12862.22747
EV108,11/06/20,4,1.72268866,1.743611111,0.320485556,2.063055556,,,3.923359772,7.895300931,57,17310.19319,17311.91588
EV108,11/09/20,3,0,0.189722222,0.014669722,0.203611111,,,0,0.093667611,46,12989.98441,12989.98441
EV108,11/10/20,3,0,0.010277778,9.289143611,9.298611111,,,1.058789667,0.633172909,,12989.98441,12989.98441
