Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV110,01/01/20,,0,,,0,100,100,NA,NA,54.5,364,364
EV110,01/02/20,,18,,,4.68,100,85.26,38.18,30.544,54.5,364,382
EV110,01/03/20,,33,,,9.07,83.44,85.11,67.69,54.152,60,383,416
EV110,01/04/20,,3,,,0.6,85.11,100,8.67,6.936,57,416,419
EV110,01/05/20,,0,,,0,100,100,NA,NA,56,419,419
EV110,01/06/20,,26,,,9.7,100,83.75,66.47,53.176,60.5,419,445
EV110,01/07/20,,51,,,12.81,81.58,96.56,109.22,87.376,59,446,497
EV110,01/08/20,,39,,,11.2,95.18,77.32,90.9,72.72,53.5,498,537
EV110,01/09/20,,13,,,3.9,75.23,89.75,29.69,23.752,52,538,551
EV110,01/10/20,,26,,,9.57,88.3,85.45,66.29,53.032,53,551,577
EV110,01/11/20,,0,,,0,83.86,100,2.06,1.648,49.5,578,578
EV110,01/12/20,,2,,,0.25,100,100,3.14,2.512,52,578,580
EV110,01/13/20,,27,,,7.33,100,83.06,62.3,49.84,54.5,580,607
EV110,01/14/20,,25,,,8.05,79.64,86.22,61.36,49.088,52.5,608,633
EV110,01/15/20,,25,,,7.75,87.85,86.11,52.78,42.224,54.5,633,658
EV110,01/16/20,,36,,,11.19,83.71,82.34,83.53,66.824,51,659,695
EV110,01/17/20,,36,,,12.83,79.93,88.49,84.18,67.344,54,696,732
EV110,01/18/20,,0,,,0,88.26,100,0.23,0.184,55,732,732
EV110,01/19/20,,0,,,0,100,100,NA,NA,58,732,732
EV110,01/20/20,,21,,,5.94,99.86,86.25,49.9,39.92,56.5,732,753
EV110,01/21/20,,31,,,7.57,90.98,77.47,72.15,57.72,55,753,784
EV110,01/22/20,,29,,,8.3,75.57,84.43,65.58,52.464,55,784,813
EV110,01/23/20,,29,,,8.68,86.78,77.9,62.41,49.928,60.5,813,842
EV110,01/24/20,,27,,,9.08,74.96,79.44,64.02,51.216,62,843,870
EV110,01/25/20,,2,,,0.53,77.63,100,6.48,5.184,59,871,873
EV110,01/26/20,,0,,,0,100,100,NA,NA,54,873,873
EV110,01/27/20,,18,,,4.37,100,88.5,37.11,29.688,59,873,891
EV110,01/28/20,,31,,,9.42,88.5,83.99,63.48,50.784,60,891,922
EV110,01/29/20,,35,,,8.53,83.41,78.37,67.92,54.336,57,922,957
EV110,01/30/20,,34,,,8.65,84.64,72.56,66.57,53.256,59,957,991
EV110,01/31/20,,30,,,9.5,72.17,76.45,64.13,51.304,61.5,992,1022
EV110,02/01/20,,2,,,0,75.5,100,3.63,2.904,63.5,1023,1025
EV110,02/02/20,,0,,,0,100,100,NA,NA,61,1025,1025
EV110,02/03/20,,17,,,6.15,100,84.47,40.78,32.624,52.5,1025,1042
EV110,02/04/20,,30,,,9.15,83.98,72.31,66.62,53.296,46.5,1043,1073
EV110,02/05/20,,29,,,8.82,70.55,71.7,69.96,55.968,48,1074,1103
EV110,02/06/20,,27,,,7.95,71.7,72.93,62.33,49.864,52,1103,1130
EV110,02/07/20,,34,,,9.09,75.54,80.86,68.1,54.48,54.5,1130,1164
EV110,02/08/20,,1,,,0,79.64,100,2.57,2.056,57,1164,1165
EV110,02/09/20,,0,,,0,100,100,NA,NA,50.5,1165,1165
EV110,02/10/20,,18,,,4.8,100,82.04,39.23,31.384,62,1165,1183
EV110,02/11/20,,5,,,1.17,82.04,99.33,10.81,8.648,60,1183,1188
EV110,02/12/20,,32,,,8.52,99.33,70.11,75.45,60.36,53.5,1188,1220
EV110,02/13/20,,28,,,7.48,72.78,74.82,56.82,45.456,56.5,1220,1248
EV110,02/14/20,,33,,,8.78,77.44,79.44,64.67,51.736,56.5,1248,1281
EV110,02/15/20,,5,,,1.07,76.94,100,13.69,10.952,55.5,1282,1287
EV110,02/16/20,,0,,,0,100,100,NA,NA,57.5,1287,1287
EV110,02/17/20,,17,,,4.96,100,82.57,39.47,31.576,58.5,1287,1304
EV110,02/18/20,,32,,,8.68,80.79,87.25,69.81,55.848,60.5,1306,1338
EV110,02/19/20,,32,,,10.67,85.15,70.9,71.97,57.576,63,1339,1371
EV110,02/20/20,,39,,,10.76,73.58,88.64,80.43,64.344,63,1371,1410
EV110,02/21/20,,30,,,9.15,86.75,85.18,62.89,50.312,66,1411,1441
EV110,02/22/20,,1,,,0,83.56,100,1.62,1.296,55.5,1441,1442
EV110,02/23/20,,0,,,0,100,100,NA,NA,56.5,1442,1442
EV110,02/24/20,,24,,,5.31,100,70.98,47.52,38.016,60.5,1442,1466
EV110,02/25/20,,31,,,8.64,70.98,79.84,63.32,50.656,63.5,1466,1497
EV110,02/26/20,,31,,,8.53,79.84,72.58,62.66,50.128,67,1497,1528
EV110,02/27/20,,33,,,8.84,71.97,75.1,63.76,51.008,66,1529,1562
EV110,02/28/20,,31,,,9.27,75.1,84.33,62.2,49.76,70,1562,1593
EV110,02/29/20,,4,,,1.25,81.85,100,12.13,9.704,62,1594,1598
EV110,03/01/20,,0,,,0,100,100,NA,NA,54,1598,1598
EV110,03/02/20,,46,,,12.03,100,80.14,104.71,83.768,55.5,1598,1644
EV110,03/03/20,,44,,,12.12,78.1,79.31,94.6,75.68,65,1645,1689
EV110,03/04/20,,25,,,9.05,77.13,92.22,56.92,45.536,62.5,1690,1715
EV110,03/05/20,,15,,,3.42,92.22,84.44,29.67,23.736,65.5,1715,1730
EV110,03/06/20,,43,,,12.47,82.8,74.02,86.85,69.48,63.5,1731,1774
EV110,03/07/20,,0,,,0.01,72.12,100,2.04,1.632,58.5,1775,1775
EV110,03/08/20,,0,,,0,100,100,NA,NA,57,1775,1775
EV110,03/09/20,,31,,,10.15,100,84.41,69.49,55.592,60.5,1775,1806
EV110,03/10/20,,47,,,13.61,83.01,76.43,100.05,80.04,61.5,1807,1854
EV110,03/11/20,,46,,,13.2,74.82,73.45,93.62,74.896,63.5,1854,1900
EV110,03/12/20,,27,,,7.2,76.98,76.33,53.98,43.184,57,1900,1927
EV110,03/13/20,,36,,,11.5,75.11,88.78,75.04,60.032,53,1928,1964
EV110,03/14/20,,3,,,0.25,88.78,100,8.51,6.808,56.5,1964,1967
EV110,03/15/20,,0,,,0,100,100,NA,NA,56.5,1967,1967
EV110,03/16/20,,32,,,11.57,100,78.27,76.47,61.176,54.5,1967,1999
EV110,03/17/20,,46,,,13.57,78.26,74.53,99.14,79.312,53,1999,2045
EV110,03/18/20,,40,,,12.48,74.07,78.71,92.09,73.672,50,2045,2085
EV110,03/19/20,,38,,,10.69,78.06,84.21,82.11,65.688,52.5,2086,2124
EV110,03/20/20,,2,,,1.8,82.04,84.05,6.52,5.216,55.5,2124,2126
EV110,03/21/20,,0,,,0,84.05,84.05,NA,NA,57,2126,2126
EV110,03/22/20,,0,,,0,84.05,84.05,NA,NA,57.5,2126,2126
EV110,03/23/20,,27,,,5.41,84.03,84.24,47.18,37.744,57,2126,2153
EV110,03/24/20,,41,,,13.21,84.24,84.53,88.39,70.712,56,2153,2194
EV110,03/25/20,,29,,,8.06,83.97,78,57.24,45.792,57,2194,2223
EV110,03/26/20,,36,,,12.63,75.9,84.68,78.64,62.912,50.5,2223,2259
EV110,03/27/20,,38,,,12.5,83.51,75.92,86.21,68.968,52.5,2259,2297
EV110,03/28/20,,3,,,0.58,73.99,100,8.3,6.64,54,2298,2301
EV110,03/29/20,,0,,,0,100,100,NA,NA,55,2301,2301
EV110,03/30/20,,35,,,10.98,100,79.07,70.74,56.592,59,2301,2336
EV110,03/31/20,,32,,,8.62,76.92,78.19,60.07,48.056,64,2337,2369
EV110,04/01/20,,43,,,12.83,76.26,74.95,87.87,70.296,64.5,2370,2413
EV110,04/02/20,,32,,,13.12,74.08,76.36,76.28,61.024,61,2414,2446
EV110,04/03/20,,26,,,8.9,75.08,82.22,60.46,48.368,60.5,2447,2473
EV110,04/04/20,,2,,,0.46,80.1,100,5.82,4.656,59.5,2474,2476
EV110,04/05/20,,12,,,3.59,100,88.8,28.14,22.512,56,2476,2488
EV110,04/06/20,,29,,,9.06,86.33,80.15,72.96,58.368,53.5,2489,2518
EV110,04/07/20,,36,,,10.42,78.27,83.03,77.1,61.68,55,2519,2555
EV110,04/08/20,,34,,,13.07,80.74,79.38,86.7,69.36,53,2556,2590
EV110,04/09/20,,35,,,11.72,77.66,73.58,82.85,66.28,50,2591,2626
EV110,04/10/20,,29,,,12.3,72.3,80.36,75.48,60.384,54,2627,2656
EV110,04/11/20,,1,,,0.24,80.36,100,3.87,3.096,58,2656,2657
EV110,04/12/20,,0,,,0,100,100,NA,NA,56.5,2657,2657
EV110,04/13/20,,24,,,9.06,100,76.06,58.8,47.04,57,2657,2681
EV110,04/14/20,,33,,,10.95,74.43,79.52,75.51,60.408,65,2682,2715
EV110,04/15/20,,34,,,12.2,77.92,78.58,72.82,58.256,66,2716,2750
EV110,04/16/20,,32,,,11.61,76.63,81.3,65.4,52.32,63.5,2751,2783
EV110,04/17/20,,47,,,13.89,79.99,86.42,92.11,73.688,59.5,2784,2831
EV110,04/18/20,,0,,,0,86.42,100,NA,NA,57.5,2831,2831
EV110,04/19/20,,0,,,0,100,100,NA,NA,60.5,2831,2831
EV110,04/20/20,,28,,,7.89,100,75.9,59.99,47.992,59,2831,2859
EV110,04/21/20,,51,,,14.15,75.9,81.1,93.88,75.104,64,2859,2910
EV110,04/22/20,,40,,,10.8,80.48,77.52,72.02,57.616,69,2911,2951
EV110,04/23/20,,41,,,12.84,81.34,84.83,77.22,61.776,73.5,2951,2992
