Vehicle ID,Date,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV111,01/01/20,4,,,2.5,98.77,88.73,11.27,18.032,54.5,288,292
EV111,01/02/20,14,,,9.13,87.36,88.08,33.39,53.424,54.5,292,306
EV111,01/03/20,12,,,6.67,99.99,89.34,26.04,41.664,60,306,318
EV111,01/04/20,0,,,0,100,100,NA,NA,57,318,318
EV111,01/05/20,1,,,0.5,100,97.08,2.92,4.672,56,318,319
EV111,01/06/20,14,,,8.5,95.19,85.07,34.26,54.816,60.5,320,334
EV111,01/07/20,0,,,0,85.07,85.07,NA,NA,59,334,334
EV111,01/08/20,16,,,8.47,85.07,78.67,35.97,57.552,53.5,334,350
EV111,01/09/20,17,,,10.48,78.36,92.08,41.76,66.816,52,351,368
EV111,01/10/20,19,,,10.29,100,90.48,43.77,70.032,53,368,387
EV111,01/11/20,0,,,0,98.53,98.53,NA,NA,49.5,387,387
EV111,01/12/20,6,,,3.69,98.53,89.65,18.2,29.12,52,387,393
EV111,01/13/20,23,,,11.26,88.11,83.78,55.97,89.552,54.5,393,416
EV111,01/14/20,26,,,14.22,83.18,84.78,65.49,104.784,52.5,417,443
EV111,01/15/20,25,,,13.68,83.19,85.63,62.11,99.376,54.5,444,469
EV111,01/16/20,25,,,14.2,84.87,90.76,59.93,95.888,51,470,495
EV111,01/17/20,22,,,12.49,88.97,88.37,55.14,88.224,54,495,517
EV111,01/18/20,0,,,0,100,100,NA,NA,55,517,517
EV111,01/19/20,6,,,3.79,100,87.78,18.04,28.864,58,517,523
EV111,01/20/20,20,,,9.3,100,88.35,42.01,67.216,56.5,523,543
EV111,01/21/20,20,,,11.3,87.03,84.13,49.58,79.328,55,543,563
EV111,01/22/20,24,,,11.72,83.17,92.44,53.5,85.6,55,563,587
EV111,01/23/20,25,,,12.94,91.57,84.41,56.25,90,60.5,587,612
EV111,01/24/20,25,,,12.43,83.6,88.46,56.26,90.016,62,612,637
EV111,01/25/20,0,,,0,100,100,NA,NA,59,637,637
EV111,01/26/20,8,,,4.03,100,89.45,18.97,30.352,54,637,645
EV111,01/27/20,23,,,12.32,88.9,80.37,49.84,79.744,59,645,668
EV111,01/28/20,27,,,14.13,79.69,74.86,62.24,99.584,60,668,695
EV111,01/29/20,22,,,12.28,76.19,91.01,50.85,81.36,57,695,717
EV111,01/30/20,24,,,13.34,90.02,83.94,55.86,89.376,59,718,742
EV111,01/31/20,23,,,12.95,82.99,87.44,52.3,83.68,61.5,742,765
EV111,02/01/20,0,,,0,100,100,NA,NA,63.5,765,765
EV111,02/02/20,5,,,4.45,100,92.39,15.35,24.56,61,765,770
EV111,02/03/20,20,,,10.7,91.35,89.19,45.01,72.016,52.5,771,791
EV111,02/04/20,25,,,13.69,98.03,88.98,59.75,95.6,46.5,791,816
EV111,02/05/20,23,,,13.48,88.13,84.33,57.57,92.112,48,816,839
EV111,02/06/20,25,,,13.65,83.38,92.46,58.04,92.864,52,839,864
EV111,02/07/20,16,,,8.45,91.3,90.01,35.8,57.28,54.5,864,880
EV111,02/08/20,0,,,0,100,100,NA,NA,57,880,880
EV111,02/09/20,7,,,4.35,100,80.37,20.5,32.8,50.5,880,887
EV111,02/10/20,23,,,11.95,79.07,79.72,53.36,85.376,62,888,911
EV111,02/11/20,28,,,14.77,78.57,72.21,66.92,107.072,60,911,939
EV111,02/12/20,19,,,10.65,76.15,79.5,48.82,78.112,53.5,939,958
EV111,02/13/20,26,,,13.1,78.11,82.42,63.68,101.888,56.5,959,985
EV111,02/14/20,19,,,10.48,80.91,91.82,45.26,72.416,56.5,986,1005
EV111,02/15/20,0,,,0,100,100,NA,NA,55.5,1005,1005
EV111,02/16/20,6,,,4.62,100,87.55,17.61,28.176,57.5,1005,1011
EV111,02/17/20,23,,,12.43,86.85,85.76,51.65,82.64,58.5,1011,1034
EV111,02/18/20,24,,,12.7,85.07,88.33,54.99,87.984,60.5,1034,1058
EV111,02/19/20,27,,,14.88,87.01,77.73,62.51,100.016,63,1059,1086
EV111,02/20/20,23,,,12.44,76.82,88.44,54.46,87.136,63,1087,1110
EV111,02/21/20,24,,,12.43,86.99,83.91,54.11,86.576,66,1111,1135
EV111,02/22/20,0,,,0,100,100,NA,NA,55.5,1135,1135
EV111,02/23/20,4,,,3.5,100,93.92,12.8,20.48,56.5,1135,1139
EV111,02/24/20,24,,,14.35,92.81,86.25,57.33,91.728,60.5,1139,1163
EV111,02/25/20,26,,,15.42,85.59,86.05,59.27,94.832,63.5,1164,1190
EV111,02/26/20,28,,,15.12,85.59,78.41,62.07,99.312,67,1190,1218
EV111,02/27/20,24,,,13,77.48,87.65,52.04,83.264,66,1218,1242
EV111,02/28/20,22,,,12.36,86.27,89.92,49.91,79.856,70,1243,1265
EV111,02/29/20,0,,,0,100,100,NA,NA,62,1265,1265
EV111,03/01/20,5,,,4,100,86.81,14.47,23.152,54,1265,1270
EV111,03/02/20,12,,,7.48,90.58,89.27,29.6,47.36,55.5,1270,1282
EV111,03/03/20,18,,,9.17,89.27,81.14,38.02,60.832,65,1281,1299
EV111,03/04/20,33,,,17,80.86,82.52,69.96,111.936,62.5,1299,1332
EV111,03/05/20,25,,,14.65,82.29,86.27,54.98,87.968,65.5,1332,1357
EV111,03/06/20,20,,,12.08,85.42,90.48,41.75,66.8,63.5,1357,1377
EV111,03/07/20,1,,,0.24,100,100,2.54,4.064,58.5,1377,1378
EV111,03/08/20,6,,,3.61,100,91.53,16.62,26.592,57,1378,1384
EV111,03/09/20,18,,,8.64,89.99,88.63,37.98,60.768,60.5,1385,1403
EV111,03/10/20,25,,,13.25,87.93,85.84,51.6,82.56,61.5,1403,1428
EV111,03/11/20,22,,,12.3,84.96,100,46.83,74.928,63.5,1428,1450
EV111,03/12/20,31,,,17.51,99.26,84.67,67.58,108.128,57,1450,1481
EV111,03/13/20,22,,,14.72,83.9,92.51,50.92,81.472,53,1481,1503
EV111,03/14/20,0,,,0,100,100,NA,NA,56.5,1503,1503
EV111,03/15/20,7,,,3.59,100,89.23,17.46,27.936,56.5,1503,1510
EV111,03/16/20,17,,,9.16,88.15,87.8,37.94,60.704,54.5,1510,1527
EV111,03/17/20,24,,,14.97,86.91,83.82,56.02,89.632,53,1528,1552
EV111,03/18/20,24,,,13.85,83.05,87.57,55.17,88.272,50,1552,1576
EV111,03/19/20,25,,,15.13,86.58,88.61,62.57,100.112,52.5,1576,1601
EV111,03/20/20,29,,,16.27,87.98,81.74,67.68,108.288,55.5,1602,1631
EV111,03/21/20,1,,,0.36,80.96,100,2.46,3.936,57,1631,1632
EV111,03/22/20,5,,,3.55,100,91.39,14.87,23.792,57.5,1632,1637
EV111,03/23/20,21,,,14.49,90.15,89.88,49.15,78.64,57,1638,1659
EV111,03/24/20,22,,,12.68,88.94,97.37,45.95,73.52,56,1659,1681
EV111,03/25/20,24,,,14.38,96.92,91.23,52,83.2,57,1681,1705
EV111,03/26/20,24,,,13.37,89.95,85.28,53.77,86.032,50.5,1705,1729
EV111,03/27/20,23,,,12.22,84.27,92.51,46.94,75.104,52.5,1730,1753
EV111,03/28/20,0,,,0,100,100,NA,NA,54,1753,1753
EV111,03/29/20,5,,,3.88,100,89.21,15.5,24.8,55,1753,1758
