Vehicle ID,Date,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Charging Time,SOC Used for Driving,SOC Used for Idling,Total Energy Charged,Total Energy Driven,Total Energy Idled,Total Energy Regenerated from Driving
EV112,12/01/20,7.705112,0.883028889,0.669785278,1.561124444,78.16,63,5.70666,14.77723,61.5,314.169728,321.87484,0.008310278,2.07106,3.6356,0.01606,5.23262,9.16037,0.06242
EV112,12/02/20,17.44336072,3.5615025,1.672535509,5.260183565,90.11,69.51,19.5302316,55.726416,62.5,326.473052,343.9164127,0.026145556,9.906742601,9.623489,0.06417,28.18826404,27.537926,0.636042794
EV112,12/04/20,37.14572541,3.988135,3.604965277,11.3497525,41.04,55.71,13.79730933,42.06624832,57,402.6670386,439.812764,3.756652222,7.138095291,6.659214035,125.87216,21.77450587,20.29144832,22.66878082
EV112,12/05/20,22.99106,4.026025,3.815071111,7.841096111,88.03,47.67,18.29184,58.66531,56,443.913872,466.904932,NA,14.99084,3.301,NA,48.07859,10.58627,2.96227
EV112,12/08/20,25.725132,5.618689722,3.483158889,11.82832333,90.06,88.97,22.21776,61.36669,69,503.442076,529.167208,2.726474722,17.33518,4.88258,65.71816,47.88708,13.47954,2.88302
EV112,12/09/20,32.31176,4.668837778,4.916746111,12.16641806,90.09,88.66,29.56171,82.99123,62,529.41576,561.72752,2.580834167,22.80902,6.75269,65.8902,64.01483,18.97639,3.9334
EV112,12/10/20,20.63901179,4.893153235,3.652936468,8.806278592,90.09,53.91,27.284247,65.78008,55,561.9752348,582.6142465,0.260188889,18.08421,9.200036996,0.52169,43.57251,22.20763928,3.00337
EV112,12/11/20,37.64643221,7.587930653,6.41904631,19.91218613,49.82,87.36,51.953353,114.61195,55.5,582.7393598,620.385792,5.905209167,40.26296,11.690393,157.0362,88.86068,25.75172072,4.45591
EV112,12/12/20,35.915764,6.646646112,5.472235,16.42168639,90.03,89.59,41.22786,91.71956,54.5,620.510068,656.425832,4.302805278,32.85678,8.37108,93.98986,73.08056,18.63892,3.79517
EV112,12/14/20,26.843616,4.808982778,3.658349722,11.50328111,90.31,88.82,33.92605,69.72711,56.5,656.550108,683.393724,3.035948611,27.12166,6.80439,69.32039,55.69347,14.03351,4.11236
EV112,12/15/20,16.652984,4.558758056,3.257070556,8.708763333,90.09,62.84,23.10076,47.51495,55.5,683.766552,700.419536,0.892934722,16.73563,6.36513,2.4622,34.37781,13.13692,4.46537
EV112,12/16/20,9.693528,2.96939,3.345329722,6.684154722,90.11,64.64,18.0315,34.25514,58.5,702.905056,712.598584,0.369435,12.95232,5.07918,0.59642,24.62835,9.62634,0.56051
EV112,12/17/20,33.7983423,4.110694565,5.295744167,10.44378262,90.22,70.94,45.14325341,86.122625,57,712.9761417,746.774484,1.037343889,38.60531,6.537943408,57.85445,73.643905,12.47847157,5.588569684
EV112,12/18/20,46.59694404,4.904302797,4.884019167,13.23375085,70.83,53.19,56.38908794,107.566794,58,747.278144,793.875088,3.445428889,48.2026915,8.186396442,89.68957,91.947704,15.61853813,8.73350631
EV112,12/19/20,25.23931366,5.495415693,4.320219444,14.99094042,53.12,90.09,38.58219865,71.636191,58,794.1123543,819.351668,5.175305278,30.3446685,8.23753015,127.22155,56.346141,15.2896403,3.490214006
EV112,12/22/20,30.074792,4.831295278,4.247781667,11.18200917,90.21,61.23,34.80713,72.55219,59.5,819.724496,849.799288,2.102932222,27.07849,7.72864,36.25255,56.41962,16.132,1.26189
EV112,12/23/20,37.90418,5.963514444,5.483618056,13.76471833,90.1,90.05,52.20755,95.63562,60,850.04784,887.95202,2.317585833,39.34224,12.86531,54.87981,72.042,23.59326,3.46113
EV112,12/24/20,48.46764,7.724110278,6.732269722,19.23789306,90.05,88.46,57.67569,119.07504,56,889.19478,937.66242,4.781513056,47.63357,10.04212,121.31763,98.30263,20.77219,5.32001
EV112,12/27/20,37.034248,3.466507222,5.3430125,11.50522778,90.4,88.64,39.22061,81.265,56.5,937.910972,974.94522,2.695708056,33.6014,5.61921,83.1264,69.60888,11.65615,5.90715
