Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC
EV116,5/27/2021,3.0,1.1806049,0.011111111,0.219444444,0.230555555,57.0,56.0,1.0,2.10936,59.0,159.3816615,160.5622664,57.0,56.0
EV116,5/28/2021,1.0,0.3728226,0.020555556,0.063055556,0.083611112,56.0,54.0,2.0,4.21872,61.0,160.5622664,160.935089,56.0,53.0
EV116,6/1/2021,1.0,0.1864113,0.023611111,0.071666667,0.09527777800000001,50.0,100.0,1.0,2.10936,63.0,160.935089,161.1215003,100.0,49.0
EV116,6/23/2021,8.0,47.0999218,0.213888889,1.240555556,1.4544444449999998,62.0,99.0,47.0,99.13992,69.0,161.3079116,208.4078334,100.0,54.0
EV116,6/29/2021,8.0,58.5952853,0.067222222,2.240833333,2.3080555549999997,93.0,49.0,76.0,160.31136,67.0,208.4078334,267.0031187,95.0,22.0
EV116,7/5/2021,10.0,48.3426638,0.063611111,2.149166667,2.212777778,97.0,80.0,56.0,118.12416,70.0,267.0031187,315.3457825,98.0,46.0
EV116,7/8/2021,11.0,76.5529072,0.099166667,2.625833333,2.725,99.0,14.0,94.0,198.27984,74.0,315.3457825,391.8986897,100.0,14.0
EV116,7/11/2021,5.0,54.9913335,0.040277778,2.640277778,2.6805555560000003,100.0,35.0,66.0,139.21776,72.0,391.8986897,446.8900232,100.0,35.0
EV116,7/12/2021,11.0,73.8188748,0.190833333,2.185833333,2.376666666,100.0,20.0,86.0,181.40496,69.0,446.8900232,520.708898,100.0,20.0
EV116,7/15/2021,5.0,85.0035528,0.107222222,3.064444444,3.1716666659999997,100.0,12.0,92.0,194.06112,71.0,520.708898,605.7124508,100.0,12.0
EV116,7/18/2021,5.0,2.3612098,0.125277778,0.264444444,0.389722222,95.0,94.0,6.0,12.65616,79.0,605.7124508,608.0736606,99.0,94.0
EV116,7/28/2021,9.0,79.5976251,0.198333333,2.361666667,2.56,100.0,58.0,74.0,156.09264,80.0,608.0736606,687.6712857,100.0,31.0
EV116,7/29/2021,14.0,74.5023829,0.286666667,2.825833333,3.1125,58.0,100.0,64.0,134.99904,79.0,687.6712857,762.1736686,100.0,37.0
EV116,8/1/2021,6.0,71.0227053,0.080555556,2.823333333,2.903888889,99.0,34.0,71.0,149.76456,81.0,762.2358057,833.258511,100.0,34.0
EV116,8/2/2021,8.0,51.8223414,0.346944444,3.001944444,3.348888888,100.0,52.0,49.0,103.35864,84.0,833.258511,885.0808524,100.0,52.0
EV116,8/3/2021,3.0,74.9994797,0.134722222,0.184166667,0.318888889,100.0,42.0,59.0,124.45224,82.0,885.0808524,960.0803321,100.0,42.0
EV116,8/4/2021,14.0,56.0476642,0.781666667,5.035555556,5.817222223,42.0,47.0,57.0,120.23352,79.0,960.1424692,1016.190133,100.0,41.0
EV116,8/5/2021,3.0,74.3781087,0.061666667,0.357777778,0.419444445,100.0,39.0,62.0,130.78032,76.0,1016.190133,1090.568242,100.0,39.0
EV116,8/16/2021,3.0,1.0563307,0.040833333,0.279722222,0.320555555,93.0,92.0,2.0,4.21872,76.0,1090.568242,1091.624573,94.0,92.0
EV116,8/17/2021,5.0,72.8868183,0.280277778,2.601944444,2.882222222,99.0,40.0,61.0,128.67096,72.0,1091.624573,1164.511391,100.0,40.0
EV116,8/19/2021,7.0,79.8461735,1.786944444,2.734722222,4.521666666,100.0,30.0,71.0,149.76456,67.0,1164.511391,1244.357565,100.0,30.0
EV116,8/22/2021,6.0,83.5743995,1.262222222,2.896388889,4.158611111,100.0,100.0,81.0,170.85816,65.0,1244.357565,1327.931964,100.0,25.0
EV116,8/23/2021,2.0,64.8089953,0.031111111,0.408888889,0.44,100.0,56.0,48.0,101.24928,66.0,1327.931964,1392.740959,100.0,56.0
EV116,8/24/2021,14.0,97.6173841,1.017777778,5.000555556,6.018333334,56.0,16.0,101.0,213.04536,69.0,1394.045839,1491.663223,100.0,16.0
EV116,8/25/2021,12.0,74.1916974,2.445555556,4.501666667,6.947222223000001,16.0,37.0,65.0,137.1084,78.0,1491.663223,1565.85492,100.0,16.0
EV116,8/29/2021,5.0,108.0564169,0.337777778,4.005838889,4.343616666999999,99.0,22.0,104.0,219.37344,83.0,1565.85492,1673.911337,100.0,5.0
EV116,8/30/2021,,75.1237539,,,,100.0,40.0,61.0,128.67096,71.0,1673.911337,1749.035091,100.0,39.0
EV116,8/31/2021,9.0,103.3961344,0.671111111,5.721105556,6.3922166670000005,40.0,16.0,85.0,179.2956,65.0,1749.035091,1852.431225,100.0,15.0
EV116,9/1/2021,13.0,45.1736717,0.334444444,2.835555556,3.17,100.0,65.0,38.0,80.15568,63.0,1852.431225,1897.604897,100.0,64.0
EV116,9/2/2021,9.0,80.156859,0.284722222,2.85945,3.144172222,100.0,36.0,68.0,143.43648,65.0,1897.604897,1977.761756,100.0,36.0
EV116,9/7/2021,7.0,49.0261719,1.125,2.377219444,3.502219444,100.0,60.0,44.0,92.81184,73.0,1977.761756,2026.787928,100.0,60.0
EV116,9/8/2021,9.0,80.9025042,0.851388889,3.390002778,4.241391667,100.0,21.0,87.0,183.51432,75.0,2026.787928,2107.690432,100.0,21.0
