Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Percent Idling Time,Drive Cycle
EV133,06/18/2019,,,,,1.74,,,,,60.62,,,,
EV133,06/19/2019,,,,,2.04,,,,,55.82,,,,
EV133,06/20/2019,,,,,6.65,,,,,44.78,,,,
EV133,06/21/2019,,116.94,,,5.39,,,,180.4,45.92,,,,
EV133,06/22/2019,,,,,8.24,,,,,49.46,,,,
EV133,06/24/2019,,0.63,,,2.42,,,,15.85,54.38,,,,
EV133,06/25/2019,,0.23,,,0.98,,,,5.55,53.24,,,,
EV133,06/26/2019,,11.23,,,2.5,,,,37.2,57.62,,,,
EV133,06/27/2019,,,,,0.79,,,,,54.86,,,,
EV133,06/29/2019,,0.39,,,0.43,,,,5.05,57.980000000000004,,,,
EV133,07/01/2019,,0,,,0.01,,,,0.2,64.7,,,,
EV133,07/02/2019,,96.08,,,3.65,,,,152.8,59.900000000000006,,,,
EV133,07/03/2019,,0,,,0.07,,,,0.85,54.08,,,,
EV133,07/05/2019,,0.24,,,1.03,,,,10.02,63.38,,,,
EV133,07/08/2019,,,,,1.57,,,,,57.379999999999995,,,,
EV133,07/11/2019,,22.12,,,3.92,,,,80.32,66.74000000000001,,,,
EV133,07/15/2019,,0.45,,,1.81,,,,10.36,63.44,,,,
EV133,07/16/2019,,0.22,,,1.21,,,,4.75,61.64,,,,
EV133,07/18/2019,,0.34,,,2.54,,,,7.7,58.64,,,,
EV133,07/19/2019,,0.02,,,0.08,,,,0.81,54.440000000000005,,,,
EV133,07/23/2019,,4.61,,,0.41,,,,12.12,70.69999999999999,,,,
EV133,07/25/2019,,0.2,,,1.81,,,,2.14,61.28,,,,
EV133,07/29/2019,,0.07,,,2.28,,,,11.17,66.92,,,,
EV133,08/05/2019,,3.17,,,0.13,,,,7.79,71.24,,,,
EV133,08/06/2019,,0,,,0.01,,,,0.13,70.7,,,,
EV133,08/07/2019,,1.19,,,0.28,,,,6.02,72.62,,,,
EV133,08/12/2019,,3.31,,,0.43,,,,11.43,54.74,,,,
EV133,08/13/2019,,0.05,,,1.08,,,,10.7,59.480000000000004,,,,
EV133,08/14/2019,,0.04,,,0.13,,,,1.67,63.02,,,,
EV133,08/15/2019,,24.53,,,0.84,,,,42.68,60.2,,,,
EV133,08/16/2019,,0.07,,,1.75,,,,9.23,58.7,,,,
