Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Energy Consumed While Driving,Energy Consumed While Idling,Average Speed,Maximum Speed
EV146,05/16/2022,,30.9442853734192,0.8074472222222222,1.1898513888888889,1.997298611111111,85.9725,57.92,28.3175,35.934714,64.94,7986.70762745566,8017.66434025292,85.9725,56.8775,0.40426965588937835,,34.612976,1.321486,12.6389922245533,52.6612085421141
EV146,05/17/2022,,63.1188857074684,1.301041111111111,2.363565,3.664606111111111,100,68.83,55.24,72.873892,65.66,8017.66434025292,8080.78943967231,100,49.9825,0.3550289094280407,,70.735924,2.130619,13.4353316530231,55.19281085958
EV146,05/18/2022,,63.1064582836236,1.4015055555555556,2.357603888888889,3.7591094444444444,100,63.635,56.65,74.164974,64.75999999999999,8080.78943967231,8143.90211166786,100,56.4875,0.372829143782134,,71.791717,2.372794,12.8319373877176,56.292346446751
EV146,05/19/2022,,63.112671995546,1.5721830555555556,2.3443886111111114,3.916571666666667,100,67.7775,56.3525,75.068856,63.31999999999999,8143.90211166786,8207.02099737533,100,65.2725,0.401418176242289,,71.940343,3.127494,6.19279492120591,56.7850745396882
EV146,05/20/2022,,63.9266682573769,1.75779,2.3574683333333333,4.115258333333333,100,11.1675,98.095,124.142264,31.46,8207.02099737533,8270.95387934463,100,10.6825,0.4271396489892291,,107.669994,16.466276,12.1140086225516,56.7996376163207
EV146,05/23/2022,,63.3487930485962,2.0690605555555557,2.3419011111111114,4.410961666666667,100,43.375,79.7175,100.727151,44.06,8270.95387934463,8334.30888610515,100,12.1325,0.46907244086732913,,89.890521,10.82194,11.620336293795,59.7924141762109
EV146,05/24/2022,,65.1010598107055,1.4221294444444446,2.330058055555556,3.7521875000000007,13.295,47.0125,80.58,101.509201,40.28,8334.30888610515,8399.41615962777,100,13.295,0.3790134273525628,,93.020151,8.488774,13.7429160136464,58.6419062673984
EV146,05/25/2022,,65.1631969299292,1.4665683333333335,2.357199722222222,3.8237680555555555,100,58.44,63.555,80.894102,51.08,8399.41615962777,8464.58557026962,100,57.39,0.3835400871667818,,77.081695,3.809333,7.22741434077947,59.4186202576951
EV146,05/26/2022,,32.4666447944007,1.1370850000000001,1.1592769444444444,2.2963619444444445,99.9725,69.33,29.035,40.430794,63.5,8464.58557026962,8497.05842877595,100,69.195,0.4951680212045551,,38.858492,1.549858,13.9428537298165,56.7074031406585
EV146,06/16/2022,,42.7441243140062,0.8132191666666666,1.6791641666666668,2.4923833333333336,100,65.7125,34.1525,50.20637,71.24000000000001,8497.28833611708,8540.03246043108,100,13.37,0.3262817383628788,,48.770159,1.434077,11.5938314209608,44.2702703710331
EV146,06/20/2022,,42.9056808239879,1.0759372222222223,1.597426111111111,2.6733633333333335,100,66.75,32.905,46.727645,68.72,8540.03246043108,8582.94435496699,100,64.1475,0.40246576617801877,,45.043205,1.674383,12.0374035650835,43.4692837578541
EV146,06/21/2022,,80.3184403085978,1.1211794444444445,3.0367047222222223,4.157884166666667,90.6375,42.335,63.715,85.222449,62.78,8582.94435496699,8663.26900898751,100,39.74,0.26965143796761476,,83.391616,1.827408,14.8357509971521,45.0251394356955
EV146,06/22/2022,,80.1755249343832,1.6723441666666665,3.069816111111111,4.742160277777778,100,41.2975,60.8675,84.157531,66.74000000000001,8663.26900898751,8743.45074763382,100,19.125,0.352654501051648,,82.262024,1.889165,14.6353358333054,44.0858007983377
EV146,06/23/2022,,,0.27146472222222223,0,0.27146472222222223,,,,,72.32,,,,,1,,,,,
EV146,06/29/2022,,67.5244074604311,1.2969497222222222,2.5701194444444444,3.8670691666666666,100,48.57,49.68,73.582795,73.58000000000001,8743.45074763382,8810.98136880617,100,3.72,0.3353831199611477,,71.719733,1.861788,14.0721441100981,45.8358343523821
EV146,07/01/2022,,0.211266205360694,0.016505833333333334,0.021400555555555555,0.03790638888888889,100,100,0,0.307698,65.66,8810.98136880617,8811.19884872345,100,100,0.435436711782681,,0.237382,0.065974,3.11171042362602,12.4468416945041
EV146,07/06/2022,,43.3654955062435,0.1576588888888889,0.9655569444444444,1.1232158333333333,13.185,60.5175,36.015,47.577053,63.31999999999999,8811.19884872345,8854.57055794162,100,13.185,0.14036384122275897,,47.225658,0.337141,36.2922689503861,64.6905664668337
EV146,07/07/2022,,0.292044460351547,0.054842777777777775,0.03106,0.08590277777777777,59.9975,59.465,-0.2825,0.807263,69.08000000000001,8854.57055794162,8854.86881611389,59.9975,20.33,0.6384284559417946,,0.60736,0.197509,2.11273146964584,13.1701569086535
EV146,08/15/2022,,9.20872106895729,0.08773916666666666,0.23448666666666668,0.3222258333333333,57.9225,45.325,10.495,12.816679,62.96,8854.86881611389,8864.07753718285,57.9225,44.935,0.2722909139811364,,12.513012,0.297924,25.3654105675032,63.6759841276943
EV146,08/16/2022,,4.41173546488507,0.17890666666666666,0.14625277777777776,0.32515944444444445,45.4525,88.5675,5.83,7.13742,59.72,8864.07753718285,8868.52034120735,88.5675,27.06,0.5502121181574168,,6.562334,0.536157,0.577795030009091,59.5933809055118
EV146,08/17/2022,,42.041974866778,6.987095277777778,0.9289094444444445,7.9160047222222225,88.5675,57.4,32.985,53.555581,65.84,8868.54519605504,8910.56852978605,100,12.8675,0.8826542584244851,,51.011308,2.541277,4.27975224299466,67.8459670524139
EV146,08/18/2022,,,0.042276111111111105,0,0.042276111111111105,,,,,69.98,,,,,1,,,,,
EV146,08/19/2022,,0.0683508311461067,0.0408325,0.01117,0.0520025,56.8825,97.1875,0.3875,0.137787,66.2,8910.79843712718,8910.8046508391,97.1875,56.37,0.7852026344887265,,0.071858,0.059706,0.00422854227179414,2.14809947407142
EV146,08/23/2022,,44.5398870595721,0.5484230555555556,1.4401958333333333,1.988618888888889,78.3375,62.0775,37.4625,50.090083,68.18,8910.8046508391,8955.35075161059,100,61.5575,0.2757808741633641,,48.734304,1.353512,17.7943652533258,55.0374680615207
EV146,08/24/2022,,74.9435794957448,1.6890800000000001,2.6117130555555557,4.300793055555555,100,54.285,66.99,86.93718,68.18,8955.35075161059,9030.30054481826,100,52.205,0.39273686926603657,,83.767876,3.168413,14.357110042735,58.6297702666428
EV146,08/25/2022,,33.0445200031814,3.6513080555555555,1.3701894444444445,5.0214975,94.68,70.1275,17.68,39.616882,63.68000000000001,9030.30054481826,9063.35127853336,100,8.18,0.727135292919205,,37.963307,1.652698,5.76643442663119,55.3699985832737
EV146,08/26/2022,,74.247643760439,1.5016544444444446,2.6196747222222223,4.121329166666667,100,59.7375,64.54,85.949243,65.12,9063.35127853336,9137.60513600573,100,2.4,0.3643616861739251,,83.567343,2.379928,14.4159236170577,54.8457166398234
EV146,08/29/2022,,74.2290026246719,1.4800458333333333,2.746805,4.226850833333334,100,44.155,65.47,85.816635,68.53999999999999,9137.60513600573,9211.84035234232,100,12.78,0.350153315480536,,83.159939,2.654894,13.9619894522104,56.2122479718444
EV146,08/30/2022,,73.5703491609003,2.455881111111111,2.681267222222222,5.137148333333333,100,48.05,45.2075,85.61112,72.14,9211.84035234232,9285.41691521514,100,32.415,0.47806311045676336,,82.731112,2.879373,11.0183877922414,54.0253127982582
EV146,08/31/2022,,74.0053089954665,1.5800683333333332,2.71905,4.299118333333333,100,53.245,64.835,86.605024,72.14,9285.41691521514,9359.42843792253,100,53.245,0.36753311047110043,,83.842858,2.761188,14.2985930160873,55.4331069056709
EV146,09/01/2022,,74.5148333731011,1.5795644444444445,2.686601111111111,4.266165555555555,100,53.245,64.8575,88.929442,73.22,9359.42843792253,9433.94948500756,100,53.245,0.3702539022161197,,85.967807,2.957611,14.4359389289614,60.1662074733556
EV146,09/02/2022,,74.8503738169093,2.234252222222222,2.777204166666667,5.011456388888889,100,50.6475,63.4025,87.756252,75.74000000000001,9433.94948500756,9508.80607253639,100,11.975,0.4458289265323902,,83.431521,4.321176,7.65344395427134,53.1418006342957
EV146,09/06/2022,,74.2041477769824,1.5657930555555555,2.5561005555555556,4.121893611111111,100,54.545,68.4125,90.208907,79.16,9508.80607253639,9583.01643402529,100,53.245,0.3798722634021297,,86.654426,3.543355,14.6379503357649,56.9865348862642
EV146,09/07/2022,,74.5148333731011,1.392458888888889,2.563721666666667,3.956180555555556,100,63.635,59.9575,90.099178,77.53999999999999,9583.01643402529,9657.53748111032,100,22.99,0.3519705102775193,,87.59461,2.504504,13.3086545986603,56.4501163206872
EV146,09/08/2022,,74.5521156446353,1.2574794444444446,2.7048175,3.9622969444444447,100,55.8425,67.9725,88.567806,77.9,9657.53748111032,9732.09581046687,100,52.585,0.3173612331623864,,86.013622,2.551583,15.3856238391324,57.0180887367772
EV146,09/09/2022,,74.3657042869641,1.128681388888889,2.5780052777777778,3.7066866666666667,100,58.44,65.3825,88.139022,48.019999999999996,9732.09581046687,9806.46772846576,100,7.3925,0.3044987317214715,,86.227476,1.909434,14.1398090467093,56.292346446751
EV146,09/12/2022,,74.2662848962062,1.1967975,2.636898888888889,3.833696388888889,90.655,58.44,62.56,86.513074,67.82,9806.46772846576,9880.74022707389,100,24.85,0.31217847700946005,,82.61415,3.885562,14.7468178583727,56.3748726189056
EV146,09/13/2022,,74.8193052572974,1.63543,2.7583733333333336,4.3938033333333335,100,41.5575,55.4175,90.870991,66.38,9880.74022707389,9955.56574604311,100,38.6025,0.3722128361078215,,86.092415,4.774232,12.1751318624781,50.733987264376
EV146,09/14/2022,,74.4340551181102,1.1703372222222221,2.735157777777778,3.905495,100,57.14,61.0275,82.187072,63.14,9955.56574604311,10030.0060148731,100,51.96,0.2996642479947413,,80.450674,1.736322,15.284881856624,55.1127123846735
EV146,09/15/2022,,74.2787123200509,1.0839983333333332,2.7197655555555555,3.8037638888888887,100,48.05,64.6725,86.166514,60.44,10030.0060148731,10104.2909409051,100,45.4525,0.28498044699876945,,82.742607,3.423768,15.8911576449187,56.9816801131393
EV146,09/16/2022,,32.1311043505925,0.5971075,1.2944130555555555,1.8915205555555556,100,100,28.5775,45.967996,62.06,10104.2909409051,10136.4282589676,100,66.2325,0.3156759244546642,,41.698161,4.260358,11.7971681230669,50.7873860405233
EV146,09/19/2022,,74.3159945915851,1.8107044444444444,2.701384722222222,4.512089166666667,100,92.205,65.28,93.679742,70.52,10136.4282589676,10210.7504672711,100,40.8875,0.4013006785905593,,87.929895,5.747375,14.0249176616595,56.2462288982343
EV146,09/20/2022,,74.0425912670007,1.37916,2.610786111111111,3.989946111111111,72.14,87.0125,60.505,96.23599,71.6,10210.7504672711,10284.7992722501,100,33.83,0.34565880380172215,,90.570921,5.664903,14.2396416840971,58.1540329475861
EV146,09/21/2022,,74.1730792173706,1.4466438888888888,2.5627108333333335,4.0093547222222226,100,79.2175,66.4625,98.200523,51.8,10284.7992722501,10358.9785651794,100,57.14,0.3608171362016761,,93.650779,4.549693,14.6121635238202,56.52536064384
