Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV147,03/29/2021,,3.501426668,1.680448889,0.449938611,2.1303875,,,2.429688,10.222536,44,,
EV147,03/30/2021,,39.58755928,2.6823825,2.689895278,5.372277778,,,19.925001,76.780528,57,,
EV147,03/31/2021,,,0.402238611,,,,,0.732812,1.836699,42,,
EV147,04/01/2021,,11.94586117,1.254306667,1.004781667,2.259088334,,,9.170313,36.030985,33,,
EV147,04/02/2021,,0.080778255,0.191403056,0.021961389,0.213364445,,,0.670312,1.784393,36,,
EV147,04/03/2021,,,0.394280556,,,,,0.496875,1.340404,51,,
EV147,04/04/2021,,0.260975901,0.393479722,0.038935278,0.432415,,,0.173437,1.324819,60,,
EV147,04/05/2021,,36.85352603,1.906613615,2.272211944,4.178825559,,,16.351564,70.49250832,67,,
EV147,04/06/2021,,73.49578524,4.40164444,5.213851667,9.615496107,,,37.342186,152.8439097,70,,
EV147,04/08/2021,,24.64668834,10.22894139,1.860904167,12.08984556,,,10.981249,46.923454,63,,
EV147,04/09/2021,,14.54629961,2.111244444,0.920406111,3.031650555,,,9.007813,34.579886,54,,
EV147,04/11/2021,,5.943416075,0.643344444,0.460378611,1.103723055,,,2.95625,11.114809,50,,
EV147,04/12/2021,,32.35479798,1.963038889,1.545585278,3.508624167,,,12.101562,51.089922,54,,
EV147,04/13/2021,,73.78783032,4.558824722,5.335233056,9.894057778,,,37.079689,147.101986,49,,
EV147,04/14/2021,,72.88684147,4.389188846,4.826020833,9.215209679,,,36.360936,141.0767365,44,,
EV147,04/15/2021,,32.86432298,3.864808376,2.176049444,6.04085782,,,21.828125,90.75457155,45,,
EV147,04/16/2021,,,0.515328333,,,,,0.484375,1.227001,47,,
EV147,04/19/2021,,33.40180844,3.872335833,2.159040278,6.031376111,,,20.734376,79.060908,51,,
EV147,04/20/2021,,0.19262507,1.581894167,0.029572222,1.611466389,,,1.290625,4.359065,40,,
EV147,04/21/2021,,22.78257476,0.799226389,1.440551944,2.239778333,,,16.482812,64.394236,39,,
EV147,04/22/2021,,79.9766874,5.475778611,6.007239444,11.48301805,,,48.682812,191.903514,42,,
EV147,04/23/2021,,76.02476599,4.819273333,5.823728611,10.64300194,,,40.704687,154.98275,53,,
EV147,04/24/2021,,,1.071004444,,,,,1.379687,4.525607,55,,
EV147,04/26/2021,,72.86198724,4.574286389,5.330424722,9.904711111,,,35.778125,137.5773397,53,,
EV147,04/27/2021,,1.224101249,4.6177525,0.069146944,4.686899444,,,0.678124,11.10107795,73,,
EV147,04/28/2021,,12.77539171,6.8137875,1.255009444,8.068796944,,,12.26875,47.72088132,52,,
EV147,04/29/2021,,14.67678756,5.322973333,1.122086667,6.44506,,,12.234373,46.844767,53,,
EV147,04/30/2021,,,0.456156111,,,,,0.607813,1.977048,53,,
EV147,05/01/2021,,,0.127530556,,,,,0.223438,0.620687,56,,
EV147,05/02/2021,,,0.018593333,,,,,,,74,,
EV147,05/03/2021,,0.493990098,0.476158056,0.039548611,0.515706667,,,0.384375,1.490533,65,,
