Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC
EV176,2021-01-22,,,,,,56.4,52.8,3.6000000000000014,0.0,34.0,15605.0,15605.0,56.4,52.8
EV176,2021-01-23,,,,,,52.8,91.2,1.1999999999999957,,37.0,15605.0,15605.0,92.0,52.4
EV176,2021-01-25,2.0,118.0,1.9500000000000002,11.783333333333333,13.733333333333334,90.4,70.4,43.20000000000001,,27.0,15605.0,15723.0,90.4,52.8
EV176,2021-01-26,1.0,117.5,2.7333333333333334,13.3,16.033333333333335,70.8,90.4,38.799999999999976,,25.0,15723.0,15840.5,90.4,57.2
EV176,2021-01-27,1.0,117.88,4.083333333333333,13.05,17.133333333333333,90.4,90.0,40.40000000000002,,30.0,15840.5,15958.375,90.4,57.2
EV176,2021-01-28,6.0,118.0,2.266666666666667,18.116666666666667,20.383333333333333,90.0,45.6,52.40000000000002,,39.0,15958.375,16076.375,90.0,43.6
EV176,2021-01-29,3.0,35.62,0.18333333333333332,1.0666666666666667,1.2500000000000002,46.0,81.2,11.599999999999994,,46.0,16076.375,16112.0,92.4,46.0
EV176,2021-02-01,1.0,,1.6333333333333333,1.6333333333333333,3.2666666666666666,79.2,59.2,50.0,,34.0,16112.0,16229.125,79.2,34.8
EV176,2021-02-02,2.0,,0.8833333333333333,0.8833333333333333,1.7666666666666666,59.2,53.2,6.399999999999999,,36.0,16229.125,16229.125,59.2,53.2
EV176,2021-02-03,4.0,,0.08333333333333333,0.11666666666666667,0.2,52.8,52.0,1.1999999999999957,,42.0,16229.125,16229.125,52.8,52.0
EV176,2021-02-04,2.0,,0.35,0.36666666666666664,0.7166666666666666,51.6,48.4,3.200000000000003,,34.0,16229.125,16229.125,51.6,48.4
EV176,2021-02-05,2.0,,0.5833333333333334,0.6166666666666667,1.2,49.2,44.8,4.400000000000006,,34.0,16229.125,16229.125,49.2,44.8
EV176,2021-02-08,1.0,,0.1,0.1,0.2,46.0,44.4,1.6000000000000014,,44.0,16229.125,16229.125,46.0,44.4
EV176,2021-02-11,1.0,,0.36666666666666664,0.38333333333333336,0.75,45.6,43.2,2.3999999999999986,,44.0,16229.125,16229.125,45.6,43.2
EV176,2021-02-12,1.0,,0.05,0.06666666666666667,0.11666666666666667,43.6,42.4,1.2000000000000028,,45.0,16229.125,16229.125,43.6,42.4
EV176,2021-02-13,,,,,,43.6,42.4,1.2000000000000028,,39.0,16229.125,16229.125,43.6,42.4
EV176,2021-02-26,4.0,,1.2333333333333334,1.2833333333333332,2.516666666666667,41.2,34.8,45.60000000000001,,36.0,16229.125,16229.125,41.2,0.0
EV176,2021-03-01,3.0,7.75,7.5,12.366666666666667,19.866666666666667,35.6,80.8,12.8,,32.0,16229.125,16244.75,80.8,28.8
EV176,2021-03-02,1.0,117.5,2.8333333333333335,13.1,15.933333333333334,80.8,88.8,52.79999999999998,,38.0,16244.75,16362.25,90.4,46.0
EV176,2021-03-03,,,,,,88.8,88.0,43.99999999999997,,43.0,16362.25,16475.125,90.0,51.6
EV176,2021-03-04,6.0,231.37,3.7333333333333334,11.466666666666667,15.200000000000003,88.4,87.6,42.00000000000003,,48.0,16475.125,16593.75,89.2,52.4
EV176,2021-03-05,3.0,121.75,3.566666666666667,11.483333333333334,15.05,87.6,90.0,33.599999999999966,,47.0,16593.75,16715.5,90.0,62.8
EV176,2021-03-06,,,,,,90.0,90.0,0.4000000000000057,,54.0,16715.5,16715.5,90.4,90.0
EV176,2021-03-08,4.0,7.38,1.35,1.75,3.0999999999999996,90.0,90.0,31.200000000000017,,54.0,16715.5,16827.624,90.0,65.6
EV176,2021-03-09,3.0,,7.933333333333334,15.633333333333333,23.566666666666666,90.0,90.0,34.000000000000014,,48.0,16827.624,16944.75,90.4,64.0
EV176,2021-03-10,,,,,,90.0,90.0,35.60000000000004,,40.0,16944.75,17062.876,90.4,60.4
EV176,2021-03-11,1.0,,0.8833333333333333,0.8833333333333333,1.7666666666666666,90.0,89.2,4.400000000000034,,40.0,17062.876,17062.876,90.4,89.2
EV176,2021-03-12,,,,,,89.2,82.8,6.400000000000006,,37.0,17062.876,17065.376,89.2,82.8
EV176,2021-03-15,2.0,5.87,1.0833333333333333,1.7833333333333332,2.8666666666666667,82.8,76.0,7.199999999999989,,50.0,17065.376,17071.25,82.8,76.0
EV176,2021-03-16,1.0,,0.9833333333333333,0.9833333333333333,1.9666666666666666,76.4,74.4,2.0,,50.0,17071.25,17071.25,76.4,74.4
EV176,2021-03-17,4.0,122.63,5.7,12.333333333333332,18.033333333333335,74.4,56.8,40.80000000000002,,47.0,17071.25,17193.876,90.8,56.8
EV176,2021-03-18,1.0,,1.45,1.45,2.9,56.8,46.8,51.19999999999999,,52.0,17193.876,17361.75,90.0,46.8
EV176,2021-03-19,,,,,,46.8,85.2,21.19999999999999,,57.0,17362.25,17398.0,85.2,28.4
EV176,2021-03-22,1.0,,0.48333333333333334,0.7666666666666667,1.25,90.0,85.6,4.400000000000006,,36.0,17398.0,17398.0,90.0,85.6
EV176,2021-03-23,,,,,,85.6,81.6,46.800000000000026,,37.0,17398.0,17519.624,85.6,42.4
EV176,2021-03-24,2.0,118.0,6.6,13.116666666666667,19.716666666666665,82.0,90.0,36.400000000000034,,40.0,17519.624,17637.624,90.4,58.4
EV176,2021-03-25,1.0,198.26,2.3,14.333333333333334,16.633333333333333,90.0,34.0,61.999999999999986,,41.0,17637.624,17805.25,90.4,34.0
EV176,2021-03-26,5.0,122.88,5.583333333333334,11.549999999999999,17.133333333333333,34.0,89.6,74.40000000000012,,38.0,17805.624,17959.5,90.4,0.0
EV176,2021-03-27,,,,,,89.6,0.0,90.4,,43.0,17959.5,17959.5,90.4,0.0
EV176,2021-03-29,1.0,198.75,5.116666666666666,14.366666666666667,19.483333333333334,89.2,48.4,50.00000000000004,,52.0,17959.5,18126.876,89.2,48.4
EV176,2021-03-30,3.0,108.87,2.3166666666666664,14.05,16.366666666666667,48.4,68.0,43.60000000000003,,35.0,18127.124,18236.75,90.4,33.6
EV176,2021-03-31,6.0,,5.25,5.333333333333334,10.583333333333332,68.0,88.0,68.79999999999998,,39.0,18237.124,18267.124,88.0,0.0
EV176,2021-04-01,1.0,198.63,0.35,20.333333333333332,20.683333333333334,88.0,54.8,44.0,,47.0,18267.124,18433.876,90.8,54.8
EV176,2021-04-02,1.0,198.63,4.283333333333333,18.616666666666667,22.9,54.4,51.6,59.99999999999999,,55.0,18434.376,18633.0,90.4,47.2
EV176,2021-04-03,,,,,,51.2,90.0,11.200000000000017,,61.0,18633.124,18664.376,90.4,42.4
EV176,2021-04-05,2.0,51.12,2.566666666666667,4.883333333333334,7.450000000000001,88.8,81.2,10.000000000000014,,63.0,18664.376,18702.624,88.8,81.2
EV176,2021-04-06,1.0,,1.0333333333333334,1.05,2.0833333333333335,81.2,75.2,6.400000000000006,,43.0,18703.0,18715.5,81.2,75.2
EV176,2021-04-07,3.0,117.88,7.516666666666667,15.866666666666667,23.383333333333333,75.2,49.6,44.79999999999999,,47.0,18715.5,18833.376,75.2,37.6
EV176,2021-04-08,2.0,,3.4000000000000004,10.966666666666667,14.366666666666665,50.0,90.0,33.199999999999974,,54.0,18833.376,18951.75,90.4,50.0
EV176,2021-04-09,7.0,118.5,3.4,11.583333333333332,14.983333333333333,90.0,90.0,34.80000000000007,,47.0,18951.75,19070.25,90.4,62.0
EV176,2021-04-10,,,,,,90.0,90.0,0.0,,52.0,19070.25,19070.25,90.0,90.0
EV176,2021-04-12,1.0,,0.3,0.31666666666666665,0.6166666666666667,89.6,90.0,43.199999999999996,,44.0,19070.25,19192.376,90.4,51.2
EV176,2021-04-13,2.0,183.5,4.066666666666666,17.333333333333332,21.4,89.2,36.4,59.60000000000001,,47.0,19192.376,19361.5,89.2,36.4
EV176,2021-04-14,,,,,,36.4,82.0,16.000000000000018,,45.0,19361.876,19378.25,90.4,31.2
EV176,2021-04-15,,,,,,82.0,63.6,43.20000000000001,,41.0,19378.25,19476.25,82.0,45.2
EV176,2021-04-16,1.0,169.13,1.6166666666666667,14.4,16.016666666666666,63.6,49.2,43.20000000000001,,42.0,19476.25,19613.5,87.6,49.2
EV176,2021-04-17,1.0,,3.0166666666666666,3.3,6.316666666666666,48.8,86.0,16.4,,47.0,19614.0,19645.376,86.0,33.6
EV176,2021-04-19,1.0,,1.3,1.3166666666666667,2.6166666666666667,90.4,90.0,34.80000000000004,,55.0,19645.376,19758.376,90.4,60.8
EV176,2021-04-20,,,,,,90.0,85.2,6.40000000000002,,45.0,19758.376,19768.0,90.4,85.2
EV176,2021-06-21,,,,,,77.2,77.2,0.0,0.4000000000000341,81.0,25082.75,25082.75,77.2,77.2
EV176,2021-06-22,2.0,24.5,1.2166666666666666,1.8833333333333333,3.1,77.2,72.0,6.0,197.5,86.0,25082.75,25107.25,77.2,72.0
EV176,2021-06-23,5.0,30.12,0.4666666666666667,1.1,1.5666666666666667,72.0,64.4,8.399999999999991,476.5999999999999,86.0,25107.25,25137.624,72.0,64.0
EV176,2021-06-24,2.0,,0.23333333333333334,0.25,0.48333333333333334,64.4,64.0,0.4000000000000057,0.18999999999999773,78.0,25137.624,25137.624,64.4,64.0
EV176,2021-06-25,3.0,25.38,2.0666666666666664,2.533333333333333,4.6,64.0,88.4,9.600000000000009,36.5,72.0,25137.624,25163.0,88.4,54.8
EV176,2021-06-28,1.0,,0.18333333333333332,1.4,1.5833333333333333,90.4,90.0,0.8000000000000114,213.0,82.0,25163.0,25163.0,90.4,89.6
EV176,2021-06-29,,,,,,89.6,40.8,55.99999999999994,206.8000000000001,83.0,25163.0,25328.376,89.6,40.8
EV176,2021-06-30,,,,,,40.8,42.8,62.4,222.5000000000001,80.0,25328.624,25513.25,89.2,34.0
EV176,2021-07-01,1.0,199.38,3.3,19.7,23.0,42.4,34.4,75.20000000000013,270.7000000000001,80.0,25513.376,25712.75,84.8,26.0
EV176,2021-07-02,2.0,76.75,1.1333333333333333,6.766666666666667,7.8999999999999995,34.0,73.6,30.80000000000003,255.60000000000008,84.0,25713.124,25790.75,90.0,22.4
EV176,2021-07-03,1.0,,4.566666666666666,4.583333333333333,9.149999999999999,73.6,90.0,11.600000000000009,46.80000000000007,86.0,25791.25,25821.25,90.4,63.2
EV176,2021-07-06,1.0,,1.35,1.3666666666666667,2.716666666666667,89.6,89.2,0.3999999999999915,2.3000000000000114,85.0,25821.25,25821.25,89.6,89.2
EV176,2021-07-07,3.0,64.13,2.45,7.449999999999999,9.9,89.2,70.8,108.39999999999999,285.3,89.0,25821.25,25868.0,89.2,0.0
EV176,2021-07-08,1.0,196.0,0.18333333333333332,14.433333333333334,14.616666666666667,70.4,33.6,68.00000000000003,265.5,90.0,25868.25,26048.624,90.4,33.6
EV176,2021-07-09,,,,,,33.2,73.2,20.4,272.40000000000003,90.0,26049.0,26081.5,75.2,17.2
EV176,2021-07-10,1.0,,1.9,1.9333333333333333,3.833333333333333,73.2,88.8,0.4000000000000057,1.1999999999999886,85.0,26081.5,26081.5,88.8,72.8
EV176,2021-07-12,,,,,,90.0,29.2,68.40000000000003,248.9,88.0,26081.5,26260.624,90.0,29.2
EV176,2021-07-13,,,,,,29.2,33.6,76.40000000000018,281.3900000000001,91.0,26260.75,26458.624,90.4,17.2
EV176,2021-07-14,1.0,199.26,3.9,17.766666666666666,21.666666666666664,33.6,33.2,71.20000000000005,250.39999999999998,87.0,26458.624,26657.876,88.8,27.6
EV176,2021-07-15,1.0,188.5,2.8,19.316666666666666,22.116666666666667,33.2,35.6,69.20000000000013,251.61999999999998,86.0,26658.124,26846.876,90.0,25.2
EV176,2021-07-16,,,,,,35.6,34.8,70.00000000000014,255.70000000000005,85.0,26847.25,27045.5,90.4,31.2
EV176,2021-07-17,,,,,,34.4,90.0,6.800000000000004,20.69999999999999,86.0,27045.876,27061.0,90.4,29.6
EV176,2021-07-19,1.0,,1.1666666666666667,1.1833333333333333,2.35,89.2,88.0,1.2000000000000028,2.599999999999966,89.0,27061.0,27061.0,89.2,88.0
EV176,2021-07-20,2.0,,1.1333333333333335,1.2,2.3333333333333335,88.0,71.2,18.399999999999977,275.11,84.0,27061.0,27108.376,88.0,71.2
EV176,2021-07-21,1.0,62.38,1.45,1.4666666666666666,2.9166666666666665,71.2,72.0,26.800000000000026,302.49,86.0,27108.876,27171.5,89.2,66.0
EV176,2021-07-22,1.0,77.0,0.7166666666666667,0.7166666666666667,1.4333333333333333,72.0,73.2,32.4,335.70000000000005,87.0,27171.876,27246.376,91.2,60.4
EV176,2021-07-23,,,,,,73.2,90.4,14.000000000000014,54.599999999999966,81.0,27246.876,27277.624,90.4,60.0
EV176,2021-07-26,1.0,199.88,2.1166666666666667,20.35,22.46666666666667,90.4,46.0,50.39999999999997,194.6,84.0,27277.624,27445.75,90.4,46.0
EV176,2021-07-27,1.0,183.88,2.4833333333333334,14.5,16.983333333333334,46.0,45.2,73.60000000000016,263.49,85.0,27446.124,27644.624,90.8,28.8
EV176,2021-07-28,,,,,,45.2,29.2,113.60000000000059,335.2,85.0,27645.0,27829.25,76.0,0.0
EV176,2021-07-29,1.0,,1.1166666666666667,1.1333333333333333,2.25,28.8,72.4,25.200000000000006,301.10999999999996,81.0,27829.376,27891.876,90.4,23.6
EV176,2021-07-30,2.0,154.37,1.0833333333333333,9.533333333333333,10.616666666666667,72.4,76.4,28.799999999999983,322.3,80.0,27892.376,27969.25,90.8,60.8
EV176,2021-07-31,,,,,,76.0,88.8,12.800000000000011,43.99999999999994,82.0,27969.624,27999.75,88.8,65.6
EV176,2021-08-02,1.0,173.0,6.583333333333333,16.166666666666668,22.75,90.4,58.0,42.79999999999999,151.50000000000023,71.0,27999.75,28154.376,90.4,57.6
EV176,2021-08-03,2.0,122.63,6.716666666666667,13.366666666666667,20.083333333333336,57.6,56.0,39.999999999999986,287.91,75.0,28154.624,28264.124,85.2,52.8
EV176,2021-08-04,1.0,194.37,3.1166666666666667,14.816666666666666,17.933333333333334,56.0,45.6,66.80000000000007,251.88999999999996,79.0,28264.376,28458.5,90.4,41.6
EV176,2021-08-05,2.0,183.63,5.216666666666667,15.833333333333332,21.049999999999997,45.6,41.2,71.20000000000013,257.69999999999993,85.0,28458.624,28659.25,90.4,33.2
EV176,2021-08-06,2.0,,3.7,3.7333333333333334,7.433333333333334,41.2,78.8,6.79999999999999,16.799999999999926,86.0,28659.5,28673.376,80.0,37.2
EV176,2021-08-09,,,,,,78.8,0.0,78.8,,80.0,28673.376,28673.376,78.8,0.0
EV176,2021-08-10,,,,,,78.4,38.8,43.60000000000001,163.80999999999997,76.0,28673.376,28794.876,78.4,38.8
EV176,2021-08-11,2.0,76.87,2.8,11.950000000000001,14.75,38.4,65.2,29.200000000000014,318.0,78.0,28795.376,28872.376,81.2,28.4
EV176,2021-08-12,2.0,87.26,6.816666666666666,12.583333333333332,19.4,64.8,70.0,36.39999999999999,134.59999999999997,81.0,28872.876,28960.25,90.0,51.6
EV176,2021-08-13,2.0,82.12,4.866666666666666,10.583333333333334,15.45,70.0,69.6,37.20000000000002,350.49,85.0,28960.624,29042.0,90.4,56.4
EV176,2021-08-14,1.0,31.88,0.8666666666666667,1.5833333333333333,2.45,69.6,80.4,22.0,79.40000000000006,86.0,29042.376,29104.876,87.2,56.0
