Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer,Max SOC,Min SOC,Percent Idling Time,Drive Cycle,Average Speed,Maximum Speed
EV203,01/25/2021,,0.1,,,,,,,0,70.62,,,,,,,0.89,1.9
EV203,01/26/2021,,199,,,6.6,95.23,20,75.23,280.73,65.38,,,96.34,19.55,,,43.93,65.5
EV203,01/27/2021,,0.5,,,,,,,13.43,62.64,,,,,,,3.78,17
EV203,01/28/2021,,20.7,,,0.583333333333333,79.96,70,,38.59,56.22,,,79.96,69.17,,,36.71,65.6
EV203,01/29/2021,,14.3,,,0.733333333333333,68.55,50,18.55,30,51.65,,,68.55,49.83,,,24.47,47.1
EV203,01/30/2021,,0,,,,,,,1.89,,,,,,,,,
EV203,02/01/2021,,0,,,,,,,31.46,,,,,,,,,
EV203,02/02/2021,,0,,,,,,,10.19,,,,,,,,,
EV203,02/03/2021,,0,,,,,,,3.06,65.14,,,,,,,2.13,3.9
EV203,02/04/2021,,0,,,,,,,0.81,,,,,,,,,
EV203,02/05/2021,,0,,,,,,,3.63,66.51,,,,,,,1.31,1.9
EV203,02/09/2021,,0.1,,,,,,,0.77,49.16,,,,,,,1.94,6.4
EV203,02/10/2021,,5.4,,,0.566666666666667,38.3,34,4.3,27,62.34,,,38.3,33.36,,,19.11,66.3
EV203,02/13/2021,,0,,,,,,,3.34,,,,,,,,,
EV203,02/17/2021,,0.2,,,,,,,33.72,61.92,,,,,,,3.19,13.3
EV203,02/18/2021,,0.2,,,,,,,3.68,65.25,,,,,,,1.67,5.6
EV203,02/22/2021,,0.1,,,,,25,,31.1,63.32,,,25,25,,,1.83,6.3
EV203,02/23/2021,,0.3,,,,,,,2.36,60.05,,,,,,,2.53,7.9
EV203,02/24/2021,,0.1,,,,,,,6.34,39.71,,,,,,,3.43,8.7
EV203,02/25/2021,,0,,,,,,,5.44,,,,,,,,,
EV203,03/03/2021,,0,,,,,17,,4.86,,,,17,17,,,,
EV203,03/04/2021,,0,,,,,,,16.79,,,,,,,,,
EV203,03/10/2021,,0,,,,,,,2.17,43.15,,,,,,,2,4.2
EV203,03/15/2021,,0,,,,,,,5.17,,,,,,,,,
EV203,03/16/2021,,0,,,,,72,,13.2,,,,72,72,,,,
EV203,03/17/2021,,0,,,,,98,,9.95,,,,98,98,,,,
EV203,03/19/2021,,0,,,,,95,,8.39,,,,95,95,,,,
EV203,03/20/2021,,0.6,,,,,,,10.15,54.28,,,,,,,5.87,11.8
EV203,03/22/2021,,0,,,,,,,13.29,,,,,,,,,
EV203,03/23/2021,,0,,,,,83,,16.11,,,,83,83,,,,
EV203,03/24/2021,,7.4,,,0.516666666666667,75.7,72,3.7,15,47.4,,,75.7,71.21,,,18.98,38.1
EV203,03/25/2021,,0,,,,,64,,19.71,,,,64,64,,,,
EV203,03/26/2021,,0,,,,,53,,14.34,,,,53,53,,,,
EV203,03/29/2021,,0,,,,,,,4.11,,,,,,,,,
EV203,03/30/2021,,12.8,,,4.48333333333333,95.55,88,7.55,32,45.05,,,95.55,88,,,17.4,49.1
EV203,03/31/2021,,0,,,,,87,,5.01,,,,87,87,,,,
EV203,04/01/2021,,11.3,,,1.13333333333333,85.15,81,4.15000000000001,22.73,76.59,,,99,80.56,,,14.4,37.9
EV203,04/05/2021,,0,,,,,,,2.92,,,,,,,,,
EV203,04/06/2021,,12.8,,,1.65,95.21,85,10.21,41.98,46.93,,,95.21,84.95,,,11.26,37.1
EV203,04/07/2021,,22.4,,,2.11666666666667,100,92,,37.03,57.62,,,100,92,,,16.1,42.3
EV203,04/09/2021,,0,,,,,,,1.22,,,,,,,,,
EV203,04/11/2021,,0,,,,,,,1.88,,,,,,,,,
EV203,04/14/2021,,19.1,,,2.85,88.62,72,16.62,65.76,45.73,,,88.62,71.99,,,13.03,36.7
EV203,04/16/2021,,13.9,,,1.35,72.57,46,26.57,60.99,39.18,,,72.57,45.6,,,16.6,37.7
EV203,04/20/2021,,0.3,,,,,52,,35.2,,,,52,52,,,,
EV203,04/22/2021,,0,,,,,,,0.8,,,,,,,,,
EV203,04/26/2021,,0.3,,,,,,,1.42,66.72,,,,,,,3.91,14
EV203,04/29/2021,,18.8,,,2.81666666666667,100,94,,31.71,74.92,,,100,93.38,,,12.43,39.6
EV203,04/30/2021,,25.5,,,5.2,93.09,81,12.09,46.37,78.88,,,93.09,80.57,,,12.7,39.7
EV203,05/03/2021,,0,,,,,,,8.65,,,,,,,,,
EV203,05/05/2021,,0,,,,,,,1.96,46.12,,,,,,,1.98,5.7
EV203,05/08/2021,,0.1,,,,,,,3.33,52.66,,,,,,,2.28,6.6
EV203,05/10/2021,,0,,,,,,,5.45,,,,,,,,,
EV203,05/11/2021,,0,,,,,,,0.91,,,,,,,,,
EV203,05/13/2021,,21.7,,,1.46666666666667,99.73,89,10.73,36.09,78.64,,,99.73,89,,,18.74,45.5
EV203,05/14/2021,,16.8,,,2.98333333333333,88.87,82,,27.07,66.55,,,88.87,81.57,,,15.2,40.3
EV203,05/16/2021,,0,,,,,,,0.45,46.09,,,,,,,2.51,4.7
EV203,05/17/2021,,0,,,,,,,1.56,,,,,,,,,
EV203,05/18/2021,,85.5,,,11.45,98.64,59,39.64,141.84,67.42,,,98.64,58.2,,,13.41,40.9
EV203,05/19/2021,,113.1,,,15.0666666666667,100,47,53,181.02,72.15,,,100,47,,,13.36,41.2
EV203,05/20/2021,,112.1,,,14.4666666666667,100,51,49,172.25,76.58,,,100,51,,,12.49,39
EV203,05/21/2021,,113.2,,,15.05,98.49,49,49.49,161.66,71.58,,,98.49,48.97,,,12.49,39.8
EV203,05/22/2021,,104.1,,,15.0333333333333,83.13,31,52.13,165.09,65.14,,,83.13,30.11,,,12.79,45.9
EV203,05/23/2021,,115.4,,,15.25,98.56,50,48.56,168.07,70.98,,,98.56,49.23,,,11.93,40.4
EV203,05/24/2021,,116,,,15.15,100,47,53,183.14,74.2,,,100,46.74,,,12.87,41.5
EV203,05/25/2021,,106.8,,,15.25,100,52,48,167.06,77.97,,,100,52,,,12.14,44.7
EV203,05/26/2021,,66.5,,,8.08333333333333,100,75,25,104.11,71.37,,,100,74.09,,,12.98,42
EV203,05/27/2021,,116.2,,,15.4666666666667,100,49,51,186,74.68,,,100,48.25,,,12.3,40.7
EV203,05/28/2021,,111.7,,,14.9666666666667,100,50,50,179.25,76.56,,,100,49.73,,,13.96,44.7
EV203,05/29/2021,,95.6,,,15,100,60,40,145.38,68.98,,,100,59.8,,,13.52,36.1
EV203,05/30/2021,,105.4,,,15.5666666666667,100,27,73,251.91,53.94,,,100,27,,,13.32,41.7
