Vehicle ID,Date,Number of Trips,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature
EV208,05/01/2020,,0,,0,,,,0,0,67.4
EV208,05/02/2020,,0,,0,,,,0,0,67
EV208,05/03/2020,,0,,0,,,,0,0,65.9
EV208,05/04/2020,,0,,0,,,,0,0,67.4
EV208,05/05/2020,,0,,0,,,,0.01,0.016,72.4
EV208,05/06/2020,,0,,0,,,,0.08,0.128,75.3
EV208,05/07/2020,,0,,0.03,,,,0.2,0.32,75.4
EV208,05/08/2020,,0,,0,,,,0.33,0.528,73.5
EV208,05/09/2020,,0,,0,,,,0,0,69.8
EV208,05/10/2020,,0,,0,,,,0.02,0.032,66.2
EV208,05/11/2020,,0,,0,,,,0.88,1.408,66.2
EV208,05/12/2020,,0.221,,1.61,,,,1.05,1.68,61.9
EV208,05/13/2020,,28.526,,5.84,,,,33.52,53.632,62
EV208,05/14/2020,,13.379,,3.74,,,,22.84,36.544,63.9
EV208,05/15/2020,,0.323,,0.12,,,,0.29,0.464,66.9
EV208,05/16/2020,,28.424,,5.33,,,,33.71,53.936,69.6
EV208,05/17/2020,,0,,0,,,,0.04,0.064,68.4
EV208,05/18/2020,,7.004,,2.76,,,,8.36,13.376,64.5
EV208,05/19/2020,,37.791,,6.36,,,,31.27,50.032,60.2
EV208,05/20/2020,,27.574,,6.39,,,,39.81,63.696,62.3
EV208,05/21/2020,,0.357,,0.3,,,,0.45,0.72,66.8
EV208,05/22/2020,,70.686,,14.16,,,,81.42,130.272,65.7
EV208,05/23/2020,,58.922,,13.32,,,,75.66,121.056,64.3
EV208,05/24/2020,,12.41,,2.47,,,,10.49,16.784,67.1
EV208,05/25/2020,,13.974,,4.75,,,,16.93,27.088,71.4
EV208,05/26/2020,,8.16,,1.93,,,,9.1,14.56,74.6
EV208,05/27/2020,,2.04,,0.47,,,,1.66,2.656,75.9
EV208,05/28/2020,,31.042,,7.29,,,,41.5,66.4,70.7
EV208,05/29/2020,,63.104,,14.02,,,,74.83,119.728,67
EV208,05/30/2020,,26.979,,7.93,,,,32.87,52.592,65.7
EV208,05/31/2020,,5.355,,1.41,,,,5.22,8.352,66.3
EV208,06/01/2020,,0.221,,0.03,,,,0.26,0.416,70.6
EV208,06/02/2020,,50.762,,11.84,,,,62.48,99.968,75.5
EV208,06/03/2020,,47.77,,11.03,,,,56.55,90.48,78.2
EV208,06/04/2020,,46.495,,8.82,,,,51.84,82.944,72.1
EV208,06/05/2020,,0.119,,0.1,,,,0.37,0.592,64
EV208,06/06/2020,,0,,0,,,,0,0,64.3
EV208,06/07/2020,,0,,0,,,,0,0,69.7
EV208,06/08/2020,,0.119,,0.05,,,,0.37,0.592,69.3
EV208,06/09/2020,,20.417,,8.42,,,,35.84,57.344,72.8
EV208,06/10/2020,,55.726,,13.3,,,,64.06,102.496,75.6
EV208,06/11/2020,,60.027,,13.12,,,,78.3,125.28,76
EV208,06/12/2020,,39.083,,8.68,,,,48.57,77.712,71.1
EV208,06/13/2020,,24.242,,5.85,,,,31,49.6,67.2
EV208,06/14/2020,,26.979,,7.82,,,,33.07,52.912,67.6
EV208,06/15/2020,,57.783,,13.04,,,,57.38,91.808,71
EV208,06/16/2020,,44.591,,10.62,,,,56.1,89.76,67.3
EV208,06/17/2020,,56.831,,12.13,,,,71.51,114.416,67.7
EV208,06/18/2020,,64.124,,13.85,,,,80.08,128.128,65.3
EV208,06/19/2020,,49.521,,11.88,,,,66.32,106.112,64.8
EV208,06/20/2020,,23.341,,7.13,,,,25.8,41.28,67
EV208,06/21/2020,,26.928,,7.36,,,,32,51.2,68.6
EV208,06/22/2020,,1.343,,0.15,,,,0.7,1.12,71
EV208,06/23/2020,,47.379,,11.44,,,,62.12,99.392,72.3
